"","frag","Sample_or_Control","treat","gen_site","sitename","reef","dominant_type","lineage"
"1","I2A1","Sample","Control","I2A","SP","Inner Reef","C","L2"
"2","I2A12","Sample",NA,NA,NA,NA,NA,NA
"3","I2A2","Sample","Low Var","I2A","SP","Inner Reef","C","L2"
"4","I2A3","Sample","Mod Var","I2A","SP","Inner Reef","C","L2"
"5","I2A4","Sample","High Var","I2A","SP","Inner Reef","C","L2"
"6","I2A7","Sample",NA,NA,NA,NA,NA,NA
"7","I2B2","Sample","Low Var","I2B","SP","Inner Reef","C","L2"
"8","I2B3","Sample","Mod Var","I2B","SP","Inner Reef","D","L2"
"9","I2B4","Sample","High Var","I2B","SP","Inner Reef","C","L2"
"10","I2B8","Sample","Control","I2B","SP","Inner Reef","C","L2"
"11","I2C1","Sample","Control","I2C","SP","Inner Reef","C","L2"
"12","I2C2","Sample","Low Var","I2C","SP","Inner Reef","C","L2"
"13","I2C3","Sample","Mod Var","I2C","SP","Inner Reef","C","L2"
"14","I2C4","Sample","High Var","I2C","SP","Inner Reef","C","L2"
"15","I2E2","Sample","Low Var","I2E","SP","Inner Reef","C","L2"
"16","I2E3","Sample","Mod Var","I2E","SP","Inner Reef","C","L2"
"17","I2E4","Sample","High Var","I2E","SP","Inner Reef","D","L2"
"18","I2E7","Sample","Control","I2E","SP","Inner Reef","C","L2"
"19","I2F1","Sample","Control","I2F","SP","Inner Reef","C","L2"
"20","I2F10","Sample","Mod Var","I2F","SP","Inner Reef","C","L2"
"21","I2F2","Sample","Low Var","I2F","SP","Inner Reef","C","L2"
"22","I2F4","Sample","High Var","I2F","SP","Inner Reef","C","L2"
"23","I2G11","Sample","Mod Var","I2G","SP","Inner Reef","C","L2"
"24","I2G12","Sample","High Var","I2G","SP","Inner Reef","C","L2"
"25","I2G2","Sample","Low Var","I2G","SP","Inner Reef","D","L2"
"26","I2G5","Sample","Control","I2G","SP","Inner Reef","C","L2"
"27","I3A1","Sample","Control","I3A","CI","Inner Reef","C","L1"
"28","I3A4","Sample","High Var","I3A","CI","Inner Reef","D","L1"
"29","I3A7","Sample","Mod Var","I3A","CI","Inner Reef","C","L1"
"30","I3B1","Sample","Control","I3B","CI","Inner Reef",NA,NA
"31","I3B3","Sample","Mod Var","I3B","CI","Inner Reef",NA,NA
"32","I3B8","Sample","Low Var","I3B","CI","Inner Reef",NA,NA
"33","I3C3","Sample","Mod Var","I3C","CI","Inner Reef","C","L2"
"34","I3C4","Sample","High Var","I3C","CI","Inner Reef","C","L2"
"35","I3C5","Sample","Control","I3C","CI","Inner Reef","C","L2"
"36","I3D2","Sample","Low Var","I3D","CI","Inner Reef","D","L2"
"37","I3D3","Sample","Mod Var","I3D","CI","Inner Reef","D","L2"
"38","I3D8","Sample","High Var","I3D","CI","Inner Reef","D","L2"
"39","I3E10","Sample",NA,NA,NA,NA,NA,NA
"40","I3E2","Sample","Low Var","I3E","CI","Inner Reef","D","L2"
"41","I3E3","Sample","Mod Var","I3E","CI","Inner Reef","D","L2"
"42","I3E4","Sample","High Var","I3E","CI","Inner Reef","D","L2"
"43","I3E8","Sample","Control","I3E","CI","Inner Reef","D","L2"
"44","I3F1","Sample","Control","I3F","CI","Inner Reef","C","L1"
"45","I3F2","Sample","Low Var","I3F","CI","Inner Reef","D","L1"
"46","I3F3","Sample","Mod Var","I3F","CI","Inner Reef","D","L1"
"47","I3F4","Sample","High Var","I3F","CI","Inner Reef","C","L1"
"48","I3G1","Sample","Control","I3G","CI","Inner Reef","C","L2"
"49","I3G2","Sample","Low Var","I3G","CI","Inner Reef","C","L2"
"50","I3G3","Sample","Mod Var","I3G","CI","Inner Reef","D","L2"
"51","I3G4","Sample","High Var","I3G","CI","Inner Reef",NA,"L2"
"52","I3H2","Sample","Low Var","I3H","CI","Inner Reef",NA,"L1"
