frag,B19-B19j,B5,B2,B1,C1/C3-C1c-C1b-C72k-C1w,C1/C1c/C3-C1al-C1b,C1/C3-C1b-C1c-C42.2-C72k,C3-C1-C3y-C6a,C3af-C3hq,C3-C3y-C6a,C1/C1c,C1-C1c-C1al-C72k,C1/C1c-C1b,C1-C1c-C1am-C1ao-C1an-C3cm-C72k,C1/C1c-C1al,C3/C1,C15,D1-D4-D1cl-D1ck-D4c-D1cm-D1c-D2,D1-D4-D4c-D1cl-D1az-D1c-D2,D1/D4-D4c-D1c,D1/D4/D4c,D1/D4/D4c-D2,E1c
I4I4,0,0,0,0,12079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4D5,0,0,0,0,16968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4A2,0,0,0,0,28372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2I9,0,0,0,0,18856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2B5,0,0,0,0,28842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2G11,0,0,0,0,13580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O2B2,0,0,0,0,25708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2A12,0,0,0,0,20085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4A5,0,0,0,0,11489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2B8,0,0,0,0,28161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2A4,0,0,0,0,33796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2D4,0,0,0,0,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2F1,0,0,0,0,17843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2F2,0,0,0,0,32992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2C2,0,0,0,0,13898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4I7,0,0,0,0,10607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2F4,0,0,0,0,9109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4A3,0,0,0,0,4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
