ITS2 type profile UID		180764	180723	180868	180918	180871	180920	182919	181695	181661	181347	181995	181966	181082	181735	181091	181223	181023	181084	181690	181059	181004	181040	181686	181859	181925	181689	182348	181595	181218	180981	182745	182747	182541	182545	182746	182662	182539	182765	182768	182839
Clade		A	A	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	E
Majority ITS2 sequence		A4z	A4	B19	B5	B2	B1	B5a	C1	C1	C1	C1	C1	C1	C1	C3	C1	C3	C3af	C1	C1	C1	C1	C1	C1	C1	C1	C15	C1	C1	C1	D1	D1	D1	D1	D1	D1	D1	D1	D1	E1c
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		1	1	7	5	2	2	1	27	22	20	18	13	13	13	11	8	7	7	5	3	2	2	2	2	1	1	1	1	1	1	53	47	22	10	2	1	1	1	1	2
ITS2 profile abundance DB		3	44	7	9	39	51	5	168	88	36	27	20	36	907	14	82	24	9	96	14	28	7	12	35	5	10	75	2	33	7	53	47	222	293	2	250	75	151	14	4
ITS2 type profile		A4z	A4	B19-B19j	B5-B5ay	B2-B2e	B1	B5a	C1/C3-C1c-C1b-C1w	C1/C1c-C1al-C1b-C42.2	C1/C1c-C1al-C1b	C1/C1c-C3-C1al	C1-C1c-C3-C72k	C1-C1c-C72k-C1b	C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3	C3-C1-C3y-C6a	C1/C1c-C1b-C72k-C42.2	C3-C3y-C6a	C3af-C3hq	C1-C1c-C1am-C1ao-C1an-C1b-C3cm	C1/C3/C1c-C1b	C1/C1c	C1/C3-C1c	C1/C3/C42.2-C1c-C1b	C1/C3-C1c-C1b-C42.2-C1bh-C1br	C1-C1c-C1b-C42.2-C3-C1br	C1/C3cm-C1c-C1am-C1ao-C1an	C15	C1-C1b-C1am-C1c	C1/C3-C1c-C1b-C42.2-C1bh	C1/C1b-C1u-C3	D1-D4-D1cl-D1ck-D4c-D1cm-D1c	D1-D4-D1cl-D4c-D1az-D1c	D1-D4-D4c-D1c-D2-D1k	D1-D4-D4c-D1c-D2	D1-D4-D1cl-D4c-D1az	D1-D4-D4c-D1h-D1c	D1/D4-D4c-D1c	D1-D4-D17d-D4c-D1r-D17e-D17c-D17j	D1-D4-D4c-D1az-D1hc-D1c	E1c
131488	O2F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3285.0	0	0	0	0	0	0	0	0	0
131453	O3B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2687.0	0	0	0	0	0	0	0	0	0
131495	I2H4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296.0	0	0	0	0	0	0	0	0	0
131490	I3E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2257.0	0	0	0	0	0	0	0	0	0
131432	O4H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817.0	0	0	0	0	0	0	0	0	0
131431	O2F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211.0	0	0	0	0	0	0	0	0	0
131461	I3D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2042.0	0	0	0	0	0	0	0	0	0
131460	I2H13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1175.0	0	0	0	0	0	0	0	0	0
131475	O3D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2978.0	0	0	0	0	0	0	0	0	0
131502	O3C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3584.0	0	0	0	0	0	0	0	0	0
131456	O2G4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1772.0	0	0	0	0	0	0	0	0	0
131510	O4C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856.0	0	0	0	0	0	0	0	0	0
131506	O4E2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773.0	0	0	0	0	0	0	0	0	0
131425	O3I3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740.0	0	0	0	0	0	0	0	0	0
131440	O4G7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224.0	0	0	0	0	0	0	0	0	0
131478	O3A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2397.0	0	0	0	0	0	0	0	0	0
131509	O3F3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224.0	0	0	0	0	0	0	0	0	0
131464	O4F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1967.0	0	0	0	0	0	0	0	0	0
131424	O4D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822.0	0	0	0	0	0	0	0	0	0
131465	O3C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007.0	0	0	0	0	0	0	0	0	0
131450	O2G7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007.0	0	0	0	0	0	0	0	0	0
131441	O4F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1787.0	0	0	0	0	0	0	0	0	0
131498	O2G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1029.0	0	0	0	0	0	0	0	0	0
131442	O4G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272.0	0	0	0	0	0	0	0	0	0
131454	O4E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800.0	0	0	0	0	0	0	0	0	0
131497	O4A17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1936.0	0	0	0	0	0	0	0	0	0
131486	O3I11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1695.0	0	0	0	0	0	0	0	0	0
131474	O3A10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1245.0	0	0	0	0	0	0	0	0	0
131427	I2H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851.0	0	0	0	0	0	0	0	0	0
131471	O3C10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683.0	0	0	0	0	0	0	0	0	0
131491	O4E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2681.0	0	0	0	0	0	0	0	0	0
131494	O4H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1150.0	0	0	0	0	0	0	0	0	0
131459	I3E4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936.0	0	0	0	0	0	0	0	0	0
131469	O4E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	838.0	0	0	0	0	0	0	0	0	0
131512	O4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541.0	0	0	0	0	0	0	0	0	0
131487	O2H8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794.0	0	0	0	0	0	0	0	0	0
131485	O3D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084.0	0	0	0	0	0	0	0	0	0
131452	O3I13	0	0	152.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1038.0	0	0	0	0	0	0	0	0	0
131554	O3F4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10073.0	0	0	0	0	0	0	0	0
131568	O3E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15392.0	0	0	0	0	0	0	0	0
131565	O2H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12733.0	0	0	0	0	0	0	0	0
131549	O3F13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12882.0	0	0	0	0	0	0	0	0
131544	O4F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7122.0	0	0	0	0	0	0	0	0
131531	O4H11	0	0	0	0	0	0	0	0	0	0	0	217.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7078.0	0	0	0	0	0	0	0	0
131569	I2H12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11302.0	0	0	0	0	0	0	0	382.0
131593	O4D4	0	0	0	0	0	0	0	0	0	0	0	465.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13336.0	0	0	0	0	0	0	0	0
131543	O3F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1536.0	0	0	0	0	0	0	0	0
131535	I3D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5009.0	0	0	0	0	0	0	0	0
131599	O3E2	0	0	0	0	0	0	0	0	0	0	644.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10046.0	0	0	0	0	0	0	0	0
131529	I3E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2072.0	0	0	0	0	0	0	0	0
131530	O4I3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.0	0	0	0	0	0	0	0	0	0	3052.0	0	0	0	0	0	0	0	0
131538	O4G9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3262.0	0	0	0	0	0	0	0	0
131558	I3F2	0	0	322.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.0	0	0	0	0	0	0	0	0	0	0	0	10031.0	0	0	0	0	0	0	0	0
131533	O4C3	0	0	0	0	0	0	0	337.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6452.0	0	0	0	0	0	0	0	0
131597	O4A4	0	0	0	0	0	0	0	0	0	0	735.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10708.0	0	0	0	0	0	0	0	0
131605	I3E8	0	0	0	0	0	0	0	0	0	525.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7778.0	0	0	0	0	0	0	0	0
131590	O4D1	0	0	0	0	0	0	0	1173.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24771.0	0	0	0	0	0	0	0	0
131536	O4D12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305.0	0	0	0	0	0	0	0	0	0	0	0	3673.0	0	0	0	0	0	0	0	0
131575	O3B4	0	0	188.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647.0	0	0	0	0	0	0	0	0	6531.0	0	0	0	0	0	0	0	0
131579	O2F2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367.0	0	0	0	0	0	0	0	0	0	0	0	3740.0	0	0	0	0	0	0	0	0
131574	O3I8	0	0	0	0	0	0	0	0	0	0	1708.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10856.0	0	0	0	0	0	0	0	0
131610	O3D9	0	0	0	0	0	0	0	0	0	0	1132.0	0	0	0	0	0	0	38.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8155.0	0	0	0	0	0	0	0	0
131521	O4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1873.0	0	0	0	0	0	0	0	0	0	0	0	0	9259.0	0	0	0	0	0	0	0	0
131596	O4D8	0	0	479.0	0	0	0	0	0	0	0	1628.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8016.0	0	0	0	0	0	0	0	0
131582	I3D8	0	0	279.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106.0	0	0	0	90.0	0	0	0	0	0	0	0	0	0	1979.0	0	0	0	0	0	0	0	0
131524	O2F8	0	0	0	0	0	0	0	0	0	0	2602.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4382.0	0	0	0	0	0	0	0	0
