"","frag","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage"
"O2F1","O2F1","pre_stress","Sample","Control","O2F","BS","Outer Reef","L1"
"O2F3","O2F3","pre_stress","Sample","Mod Var","O2F","BS","Outer Reef","L1"
"I3D3","I3D3","pre_stress","Sample","Mod Var","I3D","CI","Inner Reef","L2"
"O4C1","O4C1","pre_stress","Sample","Control","O4C","BN","Outer Reef","L1"
"O4G7","O4G7","pre_stress","Sample","Mod Var","O4G","BN","Outer Reef","L1"
"O3F3","O3F3","pre_stress","Sample","Mod Var","O3F","CA","Outer Reef","L1"
"O3C1","O3C1","pre_stress","Sample","Control","O3C","CA","Outer Reef","L1"
"O2G7","O2G7","pre_stress","Sample","Mod Var","O2G","BS","Outer Reef","L2"
"O2G1","O2G1","pre_stress","Sample","Control","O2G","BS","Outer Reef","L2"
"O4G1","O4G1","pre_stress","Sample","Control","O4G","BN","Outer Reef","L1"
"O4A17","O4A17","pre_stress","Sample","Mod Var","O4A","BN","Outer Reef","L1"
"O3I11","O3I11","pre_stress","Sample","Mod Var","O3I","CA","Outer Reef","L1"
"O3C10","O3C10","pre_stress","Sample","Mod Var","O3C","CA","Outer Reef","L1"
"O4E1","O4E1","pre_stress","Sample","Control","O4E","BN","Outer Reef","L1"
"O4H3","O4H3","pre_stress","Sample","Mod Var","O4H","BN","Outer Reef","L1"
"O4E10","O4E10","pre_stress","Sample","Mod Var","O4E","BN","Outer Reef","L1"
"O2H8","O2H8","pre_stress","Sample","Mod Var","O2H","BS","Outer Reef","L1"
"O3D1","O3D1","pre_stress","Sample","Control","O3D","CA","Outer Reef","L1"
"O3E10","O3E10","pre_stress","Sample","Control","O3E","CA","Outer Reef","L1"
"O2H2","O2H2","pre_stress","Sample","Control","O2H","BS","Outer Reef","L1"
"O3F13","O3F13","pre_stress","Sample","Control","O3F","CA","Outer Reef","L1"
"O4F1","O4F1","pre_stress","Sample","Control","O4F","BN","Outer Reef","L1"
"O4C3","O4C3","pre_stress","Sample","Mod Var","O4C","BN","Outer Reef","L1"
"I3E8","I3E8","pre_stress","Sample","Control","I3E","CI","Inner Reef","L2"
"O4D1","O4D1","pre_stress","Sample","Control","O4D","BN","Outer Reef","L1"
"O4D12","O4D12","pre_stress","Sample","Mod Var","O4D","BN","Outer Reef","L1"
