"","A4z","A4","B19.B19j","B5.B5ay","B5a","C1.C3.C1c.C1b.C1w","C1.C1c.C1al.C1b.C42.2","C1.C1c.C1al.C1b","C1.C1c.C3.C1al","C1.C1c.C3.C72k","C1.C1c.C72k.C1b","C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C3.C1.C3y.C6a","C1.C1c.C1b.C72k.C42.2","C3.C3y.C6a","C3af.C3hq","C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1.C3.C1c.C1b","C1.C1c","C1.C3.C1c","C1.C3.C42.2.C1c.C1b","C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1.C1c.C1b.C42.2.C3.C1br","C1.C3cm.C1c.C1am.C1ao.C1an","C15","C1.C1b.C1am.C1c","C1.C3.C1c.C1b.C42.2.C1bh","C1.C1b.C1u.C3","D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1.D4.D1cl.D4c.D1az.D1c","D1.D4.D4c.D1c.D2.D1k","D1.D4.D4c.D1c.D2","D1.D4.D1cl.D4c.D1az","D1.D4.D4c.D1h.D1c","D1.D4.D4c.D1c","D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1.D4.D4c.D1az.D1hc.D1c"
"O2F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O2F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"I3D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3F3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O2G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O2G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4G1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4A17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3I11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3C10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O4E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O2H8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O3E10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O2H2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O3F13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O4F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O4C3",0,0,0,0,0,0.0496391221092944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950360877890706,0,0,0,0,0,0,0
"I3E8",0,0,0,0,0,0,0,0.0632301577742984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936769842225702,0,0,0,0,0,0,0
"O4D1",0,0,0,0,0,0.0452127659574468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.954787234042553,0,0,0,0,0,0,0
"O4D12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766716943187531,0,0,0,0,0,0,0,0,0,0,0,0.923328305681247,0,0,0,0,0,0,0
"O3I8",0,0,0,0,0,0,0,0,0.135943966889526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864056033110474,0,0,0,0,0,0,0
"O3D9",0,0,0,0,0,0,0,0,0.121394101876676,0,0,0,0,0,0,0.00407506702412869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874530831099196,0,0,0,0,0,0,0
"O4A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168253683075817,0,0,0,0,0,0,0,0,0,0,0,0,0.831746316924183,0,0,0,0,0,0,0
"O3B9",0,0,0,0,0,0,0,0.364871501064004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635128498935996,0,0,0,0,0,0,0
"I4D5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2B5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4A5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4A3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4H1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4E3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4C3",0,0,0,0,0,0.950025893319524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499741066804764,0,0,0,0,0,0,0,0
"I2B3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2B10",0,0,0,0,0,0.948390529396116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051609470603884,0,0,0,0,0,0,0,0
"O4B3",0,0,0,0,0,0.913873568095036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0861264319049639,0,0,0,0
