"","frag","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage"
"I2F","I2F","t0","Sample","Initial","I2F","SP","Inner Reef","L2"
"O2I","O2I","t0","Sample","Initial","O2I","BS","Outer Reef","L1"
"I2G","I2G","t0","Sample","Initial","I2G","SP","Inner Reef","L2"
"I4E","I4E","t0","Sample","Initial","I4E","PD","Inner Reef","L2"
"I4D","I4D","t0","Sample","Initial","I4D","PD","Inner Reef","L2"
"I2B","I2B","t0","Sample","Initial","I2B","SP","Inner Reef","L2"
"I4I","I4I","t0","Sample","Initial","I4I","PD","Inner Reef","L2"
"I4B","I4B","t0","Sample","Initial","I4B","PD","Inner Reef","L2"
"I2C","I2C","t0","Sample","Initial","I2C","SP","Inner Reef","L2"
"O2A","O2A","t0","Sample","Initial","O2A","BS","Outer Reef","L1"
"O4A","O4A","t0","Sample","Initial","O4A","BN","Outer Reef","L1"
"O3I","O3I","t0","Sample","Initial","O3I","CA","Outer Reef","L1"
"O3F","O3F","t0","Sample","Initial","O3F","CA","Outer Reef","L1"
"O3D","O3D","t0","Sample","Initial","O3D","CA","Outer Reef","L1"
"O4E","O4E","t0","Sample","Initial","O4E","BN","Outer Reef","L1"
"O2C","O2C","t0","Sample","Initial","O2C","BS","Outer Reef","L1"
"I3D","I3D","t0","Sample","Initial","I3D","CI","Inner Reef","L2"
"O2H","O2H","t0","Sample","Initial","O2H","BS","Outer Reef","L1"
"O2D","O2D","t0","Sample","Initial","O2D","BS","Outer Reef","L1"
"O3C","O3C","t0","Sample","Initial","O3C","CA","Outer Reef","L1"
"O4B","O4B","t0","Sample","Initial","O4B","BN","Outer Reef","L1"
"O3H","O3H","t0","Sample","Initial","O3H","CA","Outer Reef","L1"
"O3B","O3B","t0","Sample","Initial","O3B","CA","Outer Reef","L1"
"O3G","O3G","t0","Sample","Initial","O3G","CA","Outer Reef","L1"
"O3E","O3E","t0","Sample","Initial","O3E","CA","Outer Reef","L1"
"I3C","I3C","t0","Sample","Initial","I3C","CI","Inner Reef","L2"
"I3I","I3I","t0","Sample","Initial","I3I","CI","Inner Reef","L1"
"I3A","I3A","t0","Sample","Initial","I3A","CI","Inner Reef","L1"
"I3H","I3H","t0","Sample","Initial","I3H","CI","Inner Reef","L1"
"I2A","I2A","t0","Sample","Initial","I2A","SP","Inner Reef","L2"
"I2E","I2E","t0","Sample","Initial","I2E","SP","Inner Reef","L2"
"I4H","I4H","t0","Sample","Initial","I4H","PD","Inner Reef","L2"
"I4C","I4C","t0","Sample","Initial","I4C","PD","Inner Reef","L2"
"O2F","O2F","t0","Sample","Initial","O2F","BS","Outer Reef","L1"
"I3E","I3E","t0","Sample","Initial","I3E","CI","Inner Reef","L2"
"O4F","O4F","t0","Sample","Initial","O4F","BN","Outer Reef","L1"
"I3F","I3F","t0","Sample","Initial","I3F","CI","Inner Reef","L1"
"O2G","O2G","t0","Sample","Initial","O2G","BS","Outer Reef","L2"
"O4C","O4C","t0","Sample","Initial","O4C","BN","Outer Reef","L1"
"O4G","O4G","t0","Sample","Initial","O4G","BN","Outer Reef","L1"
"O4H","O4H","t0","Sample","Initial","O4H","BN","Outer Reef","L1"
"O2B","O2B","t0","Sample","Initial","O2B","BS","Outer Reef","L1"
"I4A","I4A","t0","Sample","Initial","I4A","PD","Inner Reef","L1"
"I4F","I4F","t0","Sample","Initial","I4F","PD","Inner Reef","L2"
"O4D","O4D","t0","Sample","Initial","O4D","BN","Outer Reef","L1"
"I3G","I3G","t0","Sample","Initial","I3G","CI","Inner Reef","L2"
"O2E","O2E","t0","Sample","Initial","O2E","BS","Outer Reef","L1"
