"","A4z","A4","B19.B19j","B5.B5ay","B5a","C1.C3.C1c.C1b.C1w","C1.C1c.C1al.C1b.C42.2","C1.C1c.C1al.C1b","C1.C1c.C3.C1al","C1.C1c.C3.C72k","C1.C1c.C72k.C1b","C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C3.C1.C3y.C6a","C1.C1c.C1b.C72k.C42.2","C3.C3y.C6a","C3af.C3hq","C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1.C3.C1c.C1b","C1.C1c","C1.C3.C1c","C1.C3.C42.2.C1c.C1b","C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1.C1c.C1b.C42.2.C3.C1br","C1.C3cm.C1c.C1am.C1ao.C1an","C15","C1.C1b.C1am.C1c","C1.C3.C1c.C1b.C42.2.C1bh","C1.C1b.C1u.C3","D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1.D4.D1cl.D4c.D1az.D1c","D1.D4.D4c.D1c.D2.D1k","D1.D4.D4c.D1c.D2","D1.D4.D1cl.D4c.D1az","D1.D4.D4c.D1h.D1c","D1.D4.D4c.D1c","D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1.D4.D4c.D1az.D1hc.D1c"
"I2F",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2I",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2G",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4E",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4D",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2B",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4I",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4B",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2C",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2A",0,0,0,0,0,0.508636934673367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491363065326633,0,0,0,0,0,0
"O4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O3I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O3D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O4E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"I3D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O2H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337708830548926,0,0,0,0,0,0,0.966229116945107,0,0,0,0,0,0
"O2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O3C",0,0,0,0,0,0,0.0529545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947045454545455,0,0,0,0,0,0
"O4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120466321243523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879533678756477,0,0,0,0,0,0
"O3H",0,0,0,0,0,0,0,0,0,0,0,0.147739584359303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852260415640697,0,0,0,0,0,0
"O3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258736669401148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741263330598852,0,0,0,0,0,0
"O3G",0,0,0,0,0,0,0.333300287498761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666699712501239,0,0,0,0,0,0
"O3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380079900812784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619920099187216,0,0,0,0,0,0
"I3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420081044574516,0,0,0,0,0,0,0,0.579918955425484,0,0,0,0,0,0
"I3I",0,0,0,0,0,0,0.530862329803328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469137670196672,0,0,0,0,0,0
"I3A",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I3H",0,0,0,0,0,0,0,0.786640851887706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213359148112294,0,0,0,0,0,0
"I2A",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I2E",0.022493974828171,0,0,0,0,0,0,0,0,0,0,0.977506025171829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4H",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4C",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O2F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I3E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O4F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O2G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O4G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O4H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359243697478992,0,0,0,0,0,0.964075630252101,0,0,0,0,0
"O2B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"I4A",0,0,0,0,0,0,0,0,0,0,0,0,0,0.872881355932203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127118644067797,0
"I4F",0,0,0,0.0167574361122748,0.00195503421309873,0,0,0,0,0,0,0,0,0,0.981287529674626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O4D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"I3G",0,0.908252043237543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0917479567624572,0,0
"O2E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209291835814163,0,0,0,0,0,0,0,0,0,0,0,0.790708164185837,0,0,0,0,0,0,0,0,0
