frag,A4z,A4,B19-B19j,B5-B5ay,B2-B2e,B1,B5a,C1/C3-C1c-C1b-C1w,C1/C1c-C1al-C1b-C42.2,C1/C1c-C1al-C1b,C1/C1c-C3-C1al,C1-C1c-C3-C72k,C1-C1c-C72k-C1b,C1-C1b-C1c-C42.2-C1bh-C1br-C1cb-C3,C3-C1-C3y-C6a,C1/C1c-C1b-C72k-C42.2,C3-C3y-C6a,C3af-C3hq,C1-C1c-C1am-C1ao-C1an-C1b-C3cm,C1/C3/C1c-C1b,C1/C1c,C1/C3-C1c,C1/C3/C42.2-C1c-C1b,C1/C3-C1c-C1b-C42.2-C1bh-C1br,C1-C1c-C1b-C42.2-C3-C1br,C1/C3cm-C1c-C1am-C1ao-C1an,C15,C1-C1b-C1am-C1c,C1/C3-C1c-C1b-C42.2-C1bh,C1/C1b-C1u-C3,D1-D4-D1cl-D1ck-D4c-D1cm-D1c,D1-D4-D1cl-D4c-D1az-D1c,D1-D4-D4c-D1c-D2-D1k,D1-D4-D4c-D1c-D2,D1-D4-D1cl-D4c-D1az,D1-D4-D4c-D1h-D1c,D1/D4-D4c-D1c,D1-D4-D17d-D4c-D1r-D17e-D17c-D17j,D1-D4-D4c-D1az-D1hc-D1c,E1c
O2F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285,0,0,0,0,0,0,0,0,0
O3B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687,0,0,0,0,0,0,0,0,0
I2H4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0
I3E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,0,0,0,0,0,0
O4H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1817,0,0,0,0,0,0,0,0,0
O2F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0
I3D3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2042,0,0,0,0,0,0,0,0,0
I2H13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,0,0,0,0,0,0,0,0,0
O3D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2978,0,0,0,0,0,0,0,0,0
O3C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3584,0,0,0,0,0,0,0,0,0
O2G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1772,0,0,0,0,0,0,0,0,0
O4C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,0,0,0,0,0,0,0,0,0
O4E2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0
O3I3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0
O4G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224,0,0,0,0,0,0,0,0,0
