frag,treat,gen_site,sitename,reef,dominant_type,lineage
I2A1,Control,I2A,SP,Inner Reef,C,L2
I2B8,Control,I2B,SP,Inner Reef,C,L2
I2C1,Control,I2C,SP,Inner Reef,C,L2
I3A1,Control,I3A,CI,Inner Reef,C,L1
I3B1,Control,I3B,CI,Inner Reef,NA,NA
I3C1,Control,I3C,CI,Inner Reef,NA,L2
I3C5,Control,I3C,CI,Inner Reef,C,L2
I4A5,Control,I4A,PD,Inner Reef,C,L1
I4B1,Control,I4B,PD,Inner Reef,C,L2
I4C1,Control,I4C,PD,Inner Reef,NA,L2
O2A1,Control,O2A,BS,Outer Reef,NA,L1
O2A11,Control,O2A,BS,Outer Reef,D,L1
O2B5,Control,O2B,BS,Outer Reef,C,L1
O2C1,Control,O2C,BS,Outer Reef,D,L1
O3A1,Control,O3A,CA,Outer Reef,NA,NA
O3B1,Control,O3B,CA,Outer Reef,D,L1
O3C1,Control,O3C,CA,Outer Reef,D,L1
O4A1,Control,O4A,BN,Outer Reef,D,L1
O4B4,Control,O4B,BN,Outer Reef,NA,L1
O4C1,Control,O4C,BN,Outer Reef,D,L1
I2D1,Control,I2D,SP,Inner Reef,C,L3
I2E1,Control,I2E,SP,Inner Reef,NA,L2
I2E7,Control,I2E,SP,Inner Reef,C,L2
I2F1,Control,I2F,SP,Inner Reef,C,L2
I3D1,Control,I3D,CI,Inner Reef,NA,L2
I3D10,Control,I3D,CI,Inner Reef,NA,L2
I3D5,Control,I3D,CI,Inner Reef,NA,L2
I3E1,Control,I3E,CI,Inner Reef,NA,L2
I3E8,Control,I3E,CI,Inner Reef,D,L2
I3F1,Control,I3F,CI,Inner Reef,C,L1
I4D1,Control,I4D,PD,Inner Reef,NA,L2
I4D5,Control,I4D,PD,Inner Reef,C,L2
I4E1,Control,I4E,PD,Inner Reef,NA,L2
I4E2,Control,I4E,PD,Inner Reef,NA,L2
I4F1,Control,I4F,PD,Inner Reef,NA,L2
I4F8,Control,I4F,PD,Inner Reef,NA,L2
O2D1,Control,O2D,BS,Outer Reef,NA,L1
O2D7,Control,O2D,BS,Outer Reef,NA,L1
O2E1,Control,O2E,BS,Outer Reef,NA,L1
O2E8,Control,O2E,BS,Outer Reef,C,L1
O2F1,Control,O2F,BS,Outer Reef,D,L1
O3D1,Control,O3D,CA,Outer Reef,D,L1
O3E1,Control,O3E,CA,Outer Reef,NA,L1
O3E10,Control,O3E,CA,Outer Reef,D,L1
O3F1,Control,O3F,CA,Outer Reef,NA,L1
O3F13,Control,O3F,CA,Outer Reef,D,L1
O4D1,Control,O4D,BN,Outer Reef,D,L1
O4E1,Control,O4E,BN,Outer Reef,D,L1
O4F1,Control,O4F,BN,Outer Reef,D,L1
I2G1,Control,I2G,SP,Inner Reef,NA,L2
I2G5,Control,I2G,SP,Inner Reef,C,L2
I2H12,Control,I2H,SP,Inner Reef,D,L3
I2I7,Control,I2I,SP,Inner Reef,C,L3
I3G1,Control,I3G,CI,Inner Reef,C,L2
I3H5,Control,I3H,CI,Inner Reef,D,L1
I3I1,Control,I3I,CI,Inner Reef,NA,L1
I4G1,Control,I4G,PD,Inner Reef,NA,NA
I4G9,Control,I4G,PD,Inner Reef,C,NA
I4H1,Control,I4H,PD,Inner Reef,C,L2
I4I1,Control,I4I,PD,Inner Reef,D,L2
O2G1,Control,O2G,BS,Outer Reef,D,L2
O2H1,Control,O2H,BS,Outer Reef,NA,L1
O2H2,Control,O2H,BS,Outer Reef,D,L1
O2I1,Control,O2I,BS,Outer Reef,C,L1
O3G1,Control,O3G,CA,Outer Reef,C,L1
O3H1,Control,O3H,CA,Outer Reef,C,L1
O3I8,Control,O3I,CA,Outer Reef,D,L1
O4G1,Control,O4G,BN,Outer Reef,D,L1
O4H1,Control,O4H,BN,Outer Reef,NA,L1
O4I1,Control,O4I,BN,Outer Reef,NA,NA
I2A2,Low Var,I2A,SP,Inner Reef,C,L2
I2B2,Low Var,I2B,SP,Inner Reef,C,L2
I2C2,Low Var,I2C,SP,Inner Reef,C,L2
I3A2,Low Var,I3A,CI,Inner Reef,NA,L1
I3B2,Low Var,I3B,CI,Inner Reef,NA,NA
I3B8,Low Var,I3B,CI,Inner Reef,NA,NA
I3C2,Low Var,I3C,CI,Inner Reef,NA,L2
I4A2,Low Var,I4A,PD,Inner Reef,C,L1
I4B2,Low Var,I4B,PD,Inner Reef,NA,L2
I4C2,Low Var,I4C,PD,Inner Reef,C,L2
O2B2,Low Var,O2B,BS,Outer Reef,C,L1
O2C2,Low Var,O2C,BS,Outer Reef,NA,L1
O3A2,Low Var,O3A,CA,Outer Reef,NA,NA
O3B2,Low Var,O3B,CA,Outer Reef,D,L1
O3C2,Low Var,O3C,CA,Outer Reef,NA,L1
