"","DIV","majority_its2","genus"
"A4z","A4z","A4z","A"
"A4","A4","A4","A"
"B19.B19j","B19.B19j","B19","B"
"B5.B5ay","B5.B5ay","B5","B"
"B5a","B5a","B5a","B"
"C1.C3.C1c.C1b.C1w","C1.C3.C1c.C1b.C1w","C1","C"
"C1.C1c.C1al.C1b.C42.2","C1.C1c.C1al.C1b.C42.2","C1","C"
"C1.C1c.C1al.C1b","C1.C1c.C1al.C1b","C1","C"
"C1.C1c.C3.C1al","C1.C1c.C3.C1al","C1","C"
"C1.C1c.C3.C72k","C1.C1c.C3.C72k","C1","C"
"C1.C1c.C72k.C1b","C1.C1c.C72k.C1b","C1","C"
"C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C1.C1b.C1c.C42.2.C1bh.C1br.C1cb.C3","C1","C"
"C3.C1.C3y.C6a","C3.C1.C3y.C6a","C3","C"
"C1.C1c.C1b.C72k.C42.2","C1.C1c.C1b.C72k.C42.2","C1","C"
"C3.C3y.C6a","C3.C3y.C6a","C3","C"
"C3af.C3hq","C3af.C3hq","C3af","C"
"C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1.C1c.C1am.C1ao.C1an.C1b.C3cm","C1","C"
"C1.C3.C1c.C1b","C1.C3.C1c.C1b","C1","C"
"C1.C1c","C1.C1c","C1","C"
"C1.C3.C1c","C1.C3.C1c","C1","C"
"C1.C3.C42.2.C1c.C1b","C1.C3.C42.2.C1c.C1b","C1","C"
"C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1.C3.C1c.C1b.C42.2.C1bh.C1br","C1","C"
"C1.C1c.C1b.C42.2.C3.C1br","C1.C1c.C1b.C42.2.C3.C1br","C1","C"
"C1.C3cm.C1c.C1am.C1ao.C1an","C1.C3cm.C1c.C1am.C1ao.C1an","C1","C"
"C15","C15","C15","C"
"C1.C1b.C1am.C1c","C1.C1b.C1am.C1c","C1","C"
"C1.C3.C1c.C1b.C42.2.C1bh","C1.C3.C1c.C1b.C42.2.C1bh","C1","C"
"C1.C1b.C1u.C3","C1.C1b.C1u.C3","C1","C"
"D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1.D4.D1cl.D1ck.D4c.D1cm.D1c","D1","D"
"D1.D4.D1cl.D4c.D1az.D1c","D1.D4.D1cl.D4c.D1az.D1c","D1","D"
"D1.D4.D4c.D1c.D2.D1k","D1.D4.D4c.D1c.D2.D1k","D1","D"
"D1.D4.D4c.D1c.D2","D1.D4.D4c.D1c.D2","D1","D"
"D1.D4.D1cl.D4c.D1az","D1.D4.D1cl.D4c.D1az","D1","D"
"D1.D4.D4c.D1h.D1c","D1.D4.D4c.D1h.D1c","D1","D"
"D1.D4.D4c.D1c","D1.D4.D4c.D1c","D1","D"
"D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1.D4.D17d.D4c.D1r.D17e.D17c.D17j","D1","D"
"D1.D4.D4c.D1az.D1hc.D1c","D1.D4.D4c.D1az.D1hc.D1c","D1","D"
