"frag","A4z_sum","A4_sum","B19_sum","B5_sum","B5a_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"I2F",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I2F","SP","Inner Reef","L2","C1",NA
"O2I",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"O2I","BS","Outer Reef","L1","C1",NA
"I2G",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I2G","SP","Inner Reef","L2","C1",NA
"I4E",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I4E","PD","Inner Reef","L2","C1",NA
"I4D",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I4D","PD","Inner Reef","L2","C1",NA
"I2B",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I2B","SP","Inner Reef","L2","C1",NA
"I4I",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I4I","PD","Inner Reef","L2","C1",NA
"I4B",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I4B","PD","Inner Reef","L2","C1",NA
"I2C",0,0,0,0,0,1,0,0,0,0,"t0","Sample",NA,"I2C","SP","Inner Reef","L2","C1",NA
"O2A",0,0,0,0,0,0.508636934673367,0,0,0,0.491363065326633,"t0","Sample",NA,"O2A","BS","Outer Reef","L1","C1","D1"
"O4A",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O4A","BN","Outer Reef","L1","D1",NA
"O3I",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O3I","CA","Outer Reef","L1","D1",NA
"O3F",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O3F","CA","Outer Reef","L1","D1",NA
"O3D",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O3D","CA","Outer Reef","L1","D1",NA
"O4E",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O4E","BN","Outer Reef","L1","D1",NA
"O2C",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O2C","BS","Outer Reef","L1","D1",NA
"I3D",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"I3D","CI","Inner Reef","L2","D1",NA
"O2H",0,0,0,0,0,0.0337708830548926,0,0,0,0.966229116945107,"t0","Sample",NA,"O2H","BS","Outer Reef","L1","D1","C1"
"O2D",0,0,0,0,0,0,0,0,0,1,"t0","Sample",NA,"O2D","BS","Outer Reef","L1","D1",NA
"O3C",0,0,0,0,0,0.0529545454545455,0,0,0,0.947045454545455,"t0","Sample",NA,"O3C","CA","Outer Reef","L1","D1","C1"
