"frag","B19_sum","B5_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"I4I4",0,0,1,0,0,0,0,"Sample","High Var","I4I","PD","Inner Reef","L2","C1",NA
"I4D5",0,0,1,0,0,0,0,"Sample","Control","I4D","PD","Inner Reef","L2","C1",NA
"I4A2",0,0,1,0,0,0,0,"Sample","Low Var","I4A","PD","Inner Reef","L1","C1",NA
"O2I9",0,0,1,0,0,0,0,"Sample","Low Var","O2I","BS","Outer Reef","L1","C1",NA
"O2B5",0,0,1,0,0,0,0,"Sample","Control","O2B","BS","Outer Reef","L1","C1",NA
"I2G11",0,0,1,0,0,0,0,"Sample","Mod Var","I2G","SP","Inner Reef","L2","C1",NA
"O2B2",0,0,1,0,0,0,0,"Sample","Low Var","O2B","BS","Outer Reef","L1","C1",NA
"I4A5",0,0,1,0,0,0,0,"Sample","Control","I4A","PD","Inner Reef","L1","C1",NA
"I2B8",0,0,1,0,0,0,0,"Sample","Control","I2B","SP","Inner Reef","L2","C1",NA
"I2A4",0,0,1,0,0,0,0,"Sample","High Var","I2A","SP","Inner Reef","L2","C1",NA
"I2F1",0,0,1,0,0,0,0,"Sample","Control","I2F","SP","Inner Reef","L2","C1",NA
"I2F2",0,0,1,0,0,0,0,"Sample","Low Var","I2F","SP","Inner Reef","L2","C1",NA
"I2C2",0,0,1,0,0,0,0,"Sample","Low Var","I2C","SP","Inner Reef","L2","C1",NA
"I4I7",0,0,1,0,0,0,0,"Sample","Mod Var","I4I","PD","Inner Reef","L2","C1",NA
"I2F4",0,0,1,0,0,0,0,"Sample","High Var","I2F","SP","Inner Reef","L2","C1",NA
"I4A3",0,0,1,0,0,0,0,"Sample","Mod Var","I4A","PD","Inner Reef","L1","C1",NA
"I2F10",0,0,1,0,0,0,0,"Sample","Mod Var","I2F","SP","Inner Reef","L2","C1",NA
"I2G5",0,0,1,0,0,0,0,"Sample","Control","I2G","SP","Inner Reef","L2","C1",NA
"I4H1",0,0,1,0,0,0,0,"Sample","Control","I4H","PD","Inner Reef","L2","C1",NA
"I2B2",0,0,1,0,0,0,0,"Sample","Low Var","I2B","SP","Inner Reef","L2","C1",NA
"I4A4",0,0,1,0,0,0,0,"Sample","High Var","I4A","PD","Inner Reef","L1","C1",NA
"I4D9",0,0,1,0,0,0,0,"Sample","Mod Var","I4D","PD","Inner Reef","L2","C1",NA
"I4D4",0,0,1,0,0,0,0,"Sample","High Var","I4D","PD","Inner Reef","L2","C1",NA
"I2G12",0,0,0.987167195220886,0,0,0,0.0128328047791135,"Sample","High Var","I2G","SP","Inner Reef","L2","C1","D1"
"I2C4",0,0,1,0,0,0,0,"Sample","High Var","I2C","SP","Inner Reef","L2","C1",NA
