"frag","A4z_sum","A4_sum","B19_sum","B5_sum","B5a_sum","C1_sum","C3_sum","C3af_sum","C15_sum","D1_sum","timepoint","Sample_or_Control","treat","gen_site","sitename","reef","lineage","dominant_type","minor_type"
"O2F1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O2F","BS","Outer Reef","L1","D1",NA
"O2F3",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O2F","BS","Outer Reef","L1","D1",NA
"I3D3",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","I3D","CI","Inner Reef","L2","D1",NA
"O4C1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O4C","BN","Outer Reef","L1","D1",NA
"O4G7",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O4G","BN","Outer Reef","L1","D1",NA
"O3F3",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O3F","CA","Outer Reef","L1","D1",NA
"O3C1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O3C","CA","Outer Reef","L1","D1",NA
"O2G7",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O2G","BS","Outer Reef","L2","D1",NA
"O2G1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O2G","BS","Outer Reef","L2","D1",NA
"O4G1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O4G","BN","Outer Reef","L1","D1",NA
"O4A17",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O4A","BN","Outer Reef","L1","D1",NA
"O3I11",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O3I","CA","Outer Reef","L1","D1",NA
"O3C10",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O3C","CA","Outer Reef","L1","D1",NA
"O4E1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O4E","BN","Outer Reef","L1","D1",NA
"O4H3",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O4H","BN","Outer Reef","L1","D1",NA
"O4E10",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O4E","BN","Outer Reef","L1","D1",NA
"O2H8",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Mod Var","O2H","BS","Outer Reef","L1","D1",NA
"O3D1",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O3D","CA","Outer Reef","L1","D1",NA
"O3E10",0,0,0,0,0,0,0,0,0,1,"pre_stress","Sample","Control","O3E","CA","Outer Reef","L1","D1",NA
