"Year","param","SST"
1870,"Annual Mean SST",27.6497100194295
1870,"Annual Summer Mean",28.0803422927856
1871,"Annual Mean SST",27.5099601745605
1871,"Annual Summer Mean",27.6869053840637
1872,"Annual Mean SST",27.3719601631165
1872,"Annual Summer Mean",27.4504680633545
1873,"Annual Mean SST",27.2282101313273
1873,"Annual Summer Mean",27.5639052391052
1874,"Annual Mean SST",27.3449597358704
1874,"Annual Summer Mean",27.4271545410156
1875,"Annual Mean SST",27.5038766860962
1875,"Annual Summer Mean",27.5530309677124
1876,"Annual Mean SST",27.4761679967244
1876,"Annual Summer Mean",27.7823419570923
1877,"Annual Mean SST",28.1846701304118
1877,"Annual Summer Mean",28.6030988693237
1878,"Annual Mean SST",28.3818771044413
1878,"Annual Summer Mean",28.1984052658081
1879,"Annual Mean SST",27.6753141085307
1879,"Annual Summer Mean",27.7802805900574
1880,"Annual Mean SST",27.7819808324178
1880,"Annual Summer Mean",28.0278425216675
1881,"Annual Mean SST",27.7609597841899
1881,"Annual Summer Mean",27.7372179031372
1882,"Annual Mean SST",27.4724807739258
1882,"Annual Summer Mean",27.6405935287476
1883,"Annual Mean SST",27.6165849367778
1883,"Annual Summer Mean",27.681405544281
1884,"Annual Mean SST",27.923585096995
1884,"Annual Summer Mean",28.1039681434631
1885,"Annual Mean SST",27.8580640157064
1885,"Annual Summer Mean",28.1462798118591
1886,"Annual Mean SST",27.6477306683858
1886,"Annual Summer Mean",27.7096548080444
1887,"Annual Mean SST",27.4613976478577
1887,"Annual Summer Mean",27.840717792511
1888,"Annual Mean SST",27.965824286143
1888,"Annual Summer Mean",28.4699892997742
1889,"Annual Mean SST",27.9483353296916
1889,"Annual Summer Mean",27.8204689025879
1890,"Annual Mean SST",27.1699597040812
1890,"Annual Summer Mean",27.1647176742554
1891,"Annual Mean SST",27.7927929560343
1891,"Annual Summer Mean",27.9972796440125
1892,"Annual Mean SST",27.3419122695923
1892,"Annual Summer Mean",27.2191987037659
1893,"Annual Mean SST",27.3335645993551
1893,"Annual Summer Mean",27.5527811050415
1894,"Annual Mean SST",27.252313931783
1894,"Annual Summer Mean",27.4529056549072
1895,"Annual Mean SST",27.6437517801921
1895,"Annual Summer Mean",28.0901551246643
1896,"Annual Mean SST",27.9836681683858
1896,"Annual Summer Mean",28.2456545829773
1897,"Annual Mean SST",28.0992512702942
1897,"Annual Summer Mean",28.1864671707153
1898,"Annual Mean SST",27.5674804051717
1898,"Annual Summer Mean",27.9208421707153
1899,"Annual Mean SST",27.8296268781026
1899,"Annual Summer Mean",28.2910923957825
1900,"Annual Mean SST",28.1041474342346
1900,"Annual Summer Mean",28.210967540741
1901,"Annual Mean SST",27.6215038299561
1901,"Annual Summer Mean",27.7141623497009
1902,"Annual Mean SST",27.8986266454061
1902,"Annual Summer Mean",28.2030930519104
1903,"Annual Mean SST",27.5473976135254
1903,"Annual Summer Mean",27.6114048957825
1904,"Annual Mean SST",27.5812722841899
1904,"Annual Summer Mean",28.032030582428
1905,"Annual Mean SST",27.946564356486
1905,"Annual Summer Mean",28.1880931854248
1906,"Annual Mean SST",27.7064391771952
1906,"Annual Summer Mean",27.6362180709839
1907,"Annual Mean SST",27.3387722969055
1907,"Annual Summer Mean",27.5252180099487
1908,"Annual Mean SST",27.3973118464152
1908,"Annual Summer Mean",27.5445303916931
1909,"Annual Mean SST",27.2132816314697
1909,"Annual Summer Mean",27.2977080345154
1910,"Annual Mean SST",27.0092228253682
1910,"Annual Summer Mean",27.2584466934204
1911,"Annual Mean SST",27.3956125577291
1911,"Annual Summer Mean",27.9394912719727
1912,"Annual Mean SST",27.6571249961853
1912,"Annual Summer Mean",27.446789264679
1913,"Annual Mean SST",27.5759388605754
1913,"Annual Summer Mean",27.7559185028076
1914,"Annual Mean SST",27.927640914917
1914,"Annual Summer Mean",28.2229046821594
1915,"Annual Mean SST",27.9497516949972
1915,"Annual Summer Mean",27.9787802696228
1916,"Annual Mean SST",27.1704179445903
1916,"Annual Summer Mean",27.2115302085876
1917,"Annual Mean SST",27.1631800333659
1917,"Annual Summer Mean",27.3522777557373
1918,"Annual Mean SST",27.7983557383219
1918,"Annual Summer Mean",28.1138434410095
1919,"Annual Mean SST",27.7733559608459
1919,"Annual Summer Mean",27.6554679870605
1920,"Annual Mean SST",27.6555339495341
1920,"Annual Summer Mean",27.7689685821533
1921,"Annual Mean SST",27.4677168528239
1921,"Annual Summer Mean",27.6541256904602
1922,"Annual Mean SST",27.5048988660177
1922,"Annual Summer Mean",27.4554419517517
1923,"Annual Mean SST",27.6617420514425
1923,"Annual Summer Mean",27.8530764579773
1924,"Annual Mean SST",27.5594070752462
1924,"Annual Summer Mean",27.389844417572
1925,"Annual Mean SST",27.7655272483826
1925,"Annual Summer Mean",28.1100997924805
1926,"Annual Mean SST",28.0411683718363
1926,"Annual Summer Mean",27.8973488807678
1927,"Annual Mean SST",27.7907412846883
1927,"Annual Summer Mean",27.8256697654724
1928,"Annual Mean SST",27.8504157066345
1928,"Annual Summer Mean",27.8465270996094
1929,"Annual Mean SST",27.7463054656982
1929,"Annual Summer Mean",27.8173055648804
1930,"Annual Mean SST",28.1571661631266
1930,"Annual Summer Mean",28.3391342163086
1931,"Annual Mean SST",28.0303808848063
1931,"Annual Summer Mean",27.9150147438049
1932,"Annual Mean SST",28.0353624025981
1932,"Annual Summer Mean",28.1434240341187
1933,"Annual Mean SST",27.6872429847717
1933,"Annual Summer Mean",27.5913877487183
1934,"Annual Mean SST",27.7850314776103
1934,"Annual Summer Mean",28.0469131469727
1935,"Annual Mean SST",27.6730125745138
1935,"Annual Summer Mean",27.7003922462463
1936,"Annual Mean SST",28.0612862904867
1936,"Annual Summer Mean",28.0355825424194
1937,"Annual Mean SST",28.0195225079854
1937,"Annual Summer Mean",28.1335706710815
1938,"Annual Mean SST",27.8491036097209
1938,"Annual Summer Mean",27.9553008079529
1939,"Annual Mean SST",27.9056164423625
1939,"Annual Summer Mean",28.0534167289734
1940,"Annual Mean SST",28.1579451560974
1940,"Annual Summer Mean",28.1112680435181
1941,"Annual Mean SST",28.6408311525981
1941,"Annual Summer Mean",28.795280456543
1942,"Annual Mean SST",28.2005670865377
1942,"Annual Summer Mean",27.9746556282043
1943,"Annual Mean SST",28.0388975143433
1943,"Annual Summer Mean",28.2144050598145
1944,"Annual Mean SST",28.0734237035116
1944,"Annual Summer Mean",28.1547179222107
1945,"Annual Mean SST",28.0394062995911
1945,"Annual Summer Mean",28.1805658340454
1946,"Annual Mean SST",27.9099659919739
1946,"Annual Summer Mean",28.015260219574
1947,"Annual Mean SST",27.9505248069763
1947,"Annual Summer Mean",27.9382181167603
1948,"Annual Mean SST",27.9831992785136
1948,"Annual Summer Mean",27.8215131759644
1949,"Annual Mean SST",27.9938039779663
1949,"Annual Summer Mean",28.0755209922791
1950,"Annual Mean SST",27.713578859965
1950,"Annual Summer Mean",28.0651712417603
1951,"Annual Mean SST",28.1391293207804
1951,"Annual Summer Mean",28.6034517288208
1952,"Annual Mean SST",28.1752010981242
1952,"Annual Summer Mean",28.433346748352
1953,"Annual Mean SST",28.3429560661316
1953,"Annual Summer Mean",28.6001968383789
1954,"Annual Mean SST",27.9267803827922
1954,"Annual Summer Mean",27.9814915657043
1955,"Annual Mean SST",27.8594624201457
1955,"Annual Summer Mean",28.0625019073486
1956,"Annual Mean SST",27.9565738042196
1956,"Annual Summer Mean",28.100191116333
1957,"Annual Mean SST",28.4539794921875
1957,"Annual Summer Mean",28.7736377716064
1958,"Annual Mean SST",28.7506960233053
1958,"Annual Summer Mean",28.7063150405884
1959,"Annual Mean SST",28.4764347076416
1959,"Annual Summer Mean",28.4735155105591
1960,"Annual Mean SST",28.389758904775
1960,"Annual Summer Mean",28.544979095459
1961,"Annual Mean SST",28.3256130218506
1961,"Annual Summer Mean",28.3395066261292
1962,"Annual Mean SST",28.1117517153422
1962,"Annual Summer Mean",28.3595948219299
1963,"Annual Mean SST",28.3311829566956
1963,"Annual Summer Mean",28.5951800346375
1964,"Annual Mean SST",28.1101002693176
1964,"Annual Summer Mean",28.0284566879272
1965,"Annual Mean SST",28.104702313741
1965,"Annual Summer Mean",28.3473467826843
1966,"Annual Mean SST",28.164059638977
1966,"Annual Summer Mean",28.2515335083008
