frag,treat,sitename,depth_ft,depth_m,max_irr_kd0.38,dli_kd0.38,reef,lineage,hcarb_mgcm2,scarb_mgcm2,prot_mgcm2,sym_cm2,chlA_cm2,chlA_m2,ci,tiss_thick_mm,tiss_thick_cm,area_cor_mm2,area_cor_cm2,den_cor_cm2,diam_cal_cm,dist_cor_cm,s_length_cm,s_thick_cm,t_thick_cm,lef
I2A6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L2,0.218518669,0.058276062,0.077641625,676226.7501,1.642902157,16.42902157,2.429513705,5.517,0.55,11.73,0.12,23,0.34,0.42,0.14,0.01,0.02,2.174516997
I2C6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L2,0.168359908,0.159313393,0.090722413,420575.9426,1.511100786,15.11100786,3.592932057,4.25,0.43,14.84,0.15,16,0.32,0.36,0.14,0.01,0.03,1.561097623
I2D6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L3,0.177053989,0.113333531,0.094228566,823884.1117,5.959485303,59.59485303,7.23340239,3.583,0.36,18.7,0.19,6,0.34,0.44,0.17,0.01,0.11,2.5
I2E6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L2,0.164997917,0.010155775,0.036664054,288217.5154,0.762181862,7.621818617,2.644467532,5.3,0.53,12.28,0.12,23,0.34,0.38,0.09,0.01,0.02,1.739838415
I2F6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L2,0.210204766,0.059293562,0.035043136,730211.9743,2.261294176,22.61294176,3.09676403,3.933,0.39,18,0.18,17,0.4,0.41,0.16,0.02,0.02,2.368348412
I2G6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L2,0.192416203,0.045813762,0.106331783,490463.7665,1.269616224,12.69616224,2.588603502,4.183,0.42,15.31,0.15,16,0.34,0.4,0.12,0.01,0.08,2.668665553
I2H6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L3,0.094979091,0.065681938,0.039842439,666737.3988,2.97058721,29.7058721,4.455408103,3.1,0.31,14.11,0.14,10,0.44,0.45,0.19,0.01,0.06,2.452
I2I6,Initial,SP,19,5.790917403,221.5,4.7,Inner Reef,L3,0.107928957,0.020783586,0.036654159,134091.056,0.421449908,4.21449908,3.143012821,3.633,0.36,18.92,0.19,7,0.3,0.34,0.12,0.01,0.03,1.876
I3A8,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L1,0.271041485,0.171659419,0.203316309,511782.492,8.721174189,87.21174189,17.04078261,4.067,0.41,8.5,0.09,16,0.3,0.31,0.13,0.02,0.05,1.392271734
I3C6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L2,0.068673764,0.022579637,0.017375383,445289.0689,2.146632339,21.46632339,4.820761364,4.533,0.45,14.61,0.15,16,0.32,0.38,0.15,0.01,0.03,2.300068681
I3E6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L2,0.221813294,0.105340813,NA,911839.348,5.356650908,53.56650908,5.874555556,5.183,0.52,12.88,0.13,24,0.32,0.39,0.15,0.02,0.03,2.149342309
I3F6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L1,0.211224567,0.158247758,0.366008543,3078744.29,13.90652357,139.0652357,4.516946605,4.217,0.42,6.43,0.06,19,0.25,0.3,0.09,0.01,0.02,1.353573571
I3G6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L2,0.346638587,0.06589322,0.195230297,448139.7179,1.941558369,19.41558369,4.332484472,4.817,0.48,12.82,0.13,17,0.35,0.38,0.17,0.02,0.02,1.399155625
I3H6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L1,0.254264548,0.084712397,0.078380452,1042088.608,4.377195172,43.77195172,4.200405933,4.667,0.47,5.54,0.06,21,0.24,0.27,0.1,0.01,0.02,1.094139617
I3I6,Initial,CI,5,1.523925632,1120.8,23.5,Inner Reef,L1,0.343211335,0.241321819,0.148936166,1938017.096,7.210258848,72.10258848,3.720430983,5.583,0.56,9.61,0.1,15,0.29,0.35,0.1,0.01,0.02,1.246
I4A6,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L1,0.227173293,0.090800836,0.060070796,613755.6247,3.769080187,37.69080187,6.141011236,3.917,0.39,8.53,0.09,15,0.28,0.32,0.11,0.01,0.03,1.242046077
I4B6,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.231584648,0.144222687,0.08220562,939140.6086,4.388925795,43.88925795,4.67334258,3.433,0.34,13.15,0.13,18,0.35,0.4,0.15,0.01,0.02,2.016015118
I4C12,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.193320249,0.08410542,0.065839811,1337824.015,5.78539773,57.8539773,4.324483388,5.783,0.58,15.68,0.16,17,0.33,0.35,0.15,0.01,0.02,2.535
I4E8,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.21360201,0.031507343,0.069807228,1209561.605,2.139192856,21.39192856,1.76856875,5,0.5,14.88,0.15,9,0.34,0.35,0.14,0.01,0.03,2.554
I4F6,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.232703546,0.09963835,0.049672318,1265364.531,5.296184165,52.96184165,4.185500726,3.683,0.37,14.56,0.15,12,0.33,0.36,0.17,0.02,0.02,2.475
I4H12,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.187993844,0.084746422,0.059061736,330896.4234,6.067864228,60.67864228,18.33765432,5.183,0.52,14.98,0.15,17,0.34,0.34,0.13,0.01,0.02,2.261419182
I4I6,Initial,PD,8,2.438281012,791.8,16.6,Inner Reef,L2,0.08767824,0.053709648,0.063939979,356569.7198,1.778842692,17.78842692,4.988765432,2.75,0.28,9.25,0.09,15,0.34,0.34,0.13,0.01,0.02,1.327059199
O2A6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.137886091,0.084800112,0.084401087,1931483.905,6.828538482,68.28538482,3.535384615,5.517,0.55,9.22,0.09,17,0.28,0.31,0.12,0.02,0.05,1.074353637
O2B13,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.225966185,0.133632873,0.230979633,1450421.472,11.08286764,110.8286764,7.64113594,5.1,0.51,11.31,0.11,16,0.28,0.31,0.13,0.01,0.06,1.0753984
O2C6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.096184996,0.034465716,0.122306064,757044.8388,2.784939324,27.84939324,3.678697987,5.317,0.53,10.24,0.1,11,0.28,0.32,0.1,0.01,0.01,1.143887104
O2D6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.120693366,0.07645962,0.113526865,1465215.419,6.839405093,68.39405093,4.667849523,6.95,0.7,9.05,0.09,13,0.27,0.29,0.11,0.01,0.02,1.265
O2E6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.146925464,0.079794578,0.071295497,793418.602,3.717680148,37.17680148,4.685647826,5.35,0.54,9.67,0.1,15,0.29,0.31,0.12,0.01,0.02,1.516641022
O2F6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.447871521,0.088666874,0.076315416,1118412.561,4.880334833,48.80334833,4.363626629,6.567,0.66,9.57,0.1,15,0.29,0.31,0.11,0.01,0.02,1.442336654
O2G6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L2,0.290701181,0.076613767,0.102949468,438294.6129,2.203392243,22.03392243,5.027194444,4.95,0.5,13.54,0.14,15,0.35,0.37,0.15,0.01,0.02,2.592332355
O2I6,Initial,BS,6,1.828710759,998.2,21,Outer Reef,L1,0.320315629,0.077611135,0.185116914,1363706.371,5.502483539,55.02483539,4.034947446,5.667,0.57,7.25,0.07,19,0.25,0.28,0.1,0.01,0.02,1.38036135
O3B6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.37281559,0.202217331,0.355453393,2495404.819,12.27289768,122.7289768,4.918199079,5.7,0.57,7.98,0.08,16,0.27,0.28,0.11,0.01,0.03,1.238985299
O3C6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.397383942,0.160142998,0.256172481,957301.6539,3.069544328,30.69544328,3.206454638,3.45,0.35,8.37,0.08,21,0.28,0.28,0.13,0.01,0.02,1.701906286
O3D8,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.218595939,0.048337796,0.078571957,2461176.961,15.70157734,157.0157734,6.379702715,5.683,0.57,8.36,0.08,13,0.23,0.26,0.11,0.01,0.02,1.747911694
O3E6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.470047132,0.145717087,0.101461716,1355841.025,15.38709388,153.8709388,11.34874488,4.983,0.5,9.08,0.09,15,0.25,0.3,0.1,0.01,0.02,1.165318392
O3F6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.369376629,0.241980493,0.307256777,893245.1462,4.237008937,42.37008937,4.743388704,4.117,0.41,8.53,0.09,14,0.26,0.3,0.1,0.01,0.02,1.569694387
O3G6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.174703203,0.056187871,0.061898743,2581441.72,14.387491,143.87491,5.57343243,5.75,0.58,7.48,0.07,17,0.24,0.29,0.09,0.01,0.01,1.112560081
O3H6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.310215658,0.127139871,0.285236747,2036852.258,11.22116731,112.2116731,5.50907277,4.617,0.46,7.97,0.08,9,0.3,0.33,0.12,0.01,0.03,1.378556255
O3I6,Initial,CA,6,1.828710759,998.2,21,Outer Reef,L1,0.260247125,0.073195308,0.220275789,890918.0009,14.17870612,141.7870612,15.91471505,4.7,0.47,8.08,0.08,15,0.26,0.3,0.12,0.01,0.02,1.170258887
O4A6,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.302687954,0.136187284,0.195584939,1350745.009,10.28038617,102.8038617,7.610900726,6.133,0.61,6.81,0.07,20,0.27,0.31,0.09,0.01,0.04,1.815418227
O4C10,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.292306855,0.157421616,0.348549824,1615211.963,8.390854099,83.90854099,5.194893482,5.117,0.51,9.79,0.1,16,0.35,0.34,0.12,0.01,0.03,1.833216856
O4D6,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.281867771,0.088549451,0.190944451,1873812.05,8.269868328,82.69868328,4.41339265,4.9,0.49,8.04,0.08,20,0.25,0.29,0.12,0.01,0.02,1.274484986
O4E6,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.339302054,0.172157155,0.295024525,1420097.511,6.386408602,63.86408602,4.497162027,6.333,0.63,7.42,0.07,21,0.25,0.28,0.1,0.01,0.02,1.138923228
O4F6,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.262354741,0.188515677,0.125878146,1734775.238,0.077381068,0.773810683,0.044605818,5.05,0.51,8.84,0.09,17,0.28,0.32,0.12,0.01,0.02,1.539641
O4G6,Initial,BN,10,3.047851265,628.1,13.2,Outer Reef,L1,0.246188568,0.106641009,0.11891417,3120965.928,13.48818222,134.8818222,4.321797332,4.983,0.5,9.94,0.1,17,0.32,0.38,0.14,0.03,0.02,1.166183304
