date,plate,frag,blk_630_1,blk_630_2,blk_630_3,blk_663_1,blk_663_2,blk_663_3
7/17/19,4,O3G8,0.101,0.109,0.127,0.314,0.335,0.381
7/16/19,2,I2A12,0.007,0.008,0.01,0.034,0.04,0.041
7/16/19,2,I2A2,0.008,0.011,0.008,0.036,0.046,0.044
7/16/19,3,I2A3,0.023,0.029,0.027,0.094,0.114,0.112
7/17/19,5,I2A4,0.033,0.042,0.041,0.082,0.096,0.095
7/17/19,7,I2A6,0.031,0.044,0.04,0.091,0.112,0.109
7/16/19,3,I2B3,0.002,0.003,0.003,0.027,0.033,0.033
7/17/19,5,I2B4,0.041,0.055,0.05,0.095,0.114,0.11
7/16/19,2,I2C2,0.006,0.008,0.008,0.033,0.037,0.038
7/17/19,6,I2C5,0.019,0.053,0.06,0.032,0.066,0.072
7/17/19,4,I2D3,0.01,0.016,0.016,0.032,0.042,0.041
7/17/19,7,I2D6,0.086,0.103,0.104,0.314,0.358,0.357
7/17/19,4,I2E3,0.036,0.043,0.041,0.104,0.12,0.118
7/17/19,5,I2E4,0.008,0.01,0.01,0.024,0.027,0.026
7/16/19,3,I2G2,0.022,0.033,0.033,0.083,0.104,0.105
7/16/19,1,I2H12,0.042,0.048,0.051,0.155,0.18,0.183
7/18/19,8,I2H6,0.057,0.067,0.07,0.167,0.198,0.209
7/17/19,6,I2I4,0.006,0.015,0.01,0.02,0.03,0.025
7/16/19,1,I2I7,0.013,0.019,0.02,0.05,0.059,0.058
7/18/19,8,I3A8,0.142,0.163,0.171,0.447,0.512,0.523
7/18/19,8,I3B10,0.151,0.178,0.177,0.406,0.474,0.471
7/18/19,8,I3C6,0.033,0.038,0.041,0.096,0.11,0.115
7/17/19,7,I3E5,0.073,0.095,0.094,0.189,0.225,0.223
7/18/19,8,I3E6,0.1,0.116,0.112,0.292,0.339,0.329
7/16/19,1,I3E8,0.022,0.034,0.039,0.08,0.098,0.108
7/17/19,5,I3F4,0.071,0.084,0.095,0.197,0.224,0.236
7/18/19,8,I3F6,0.291,0.297,0.284,0.873,0.887,0.854
7/16/19,3,I3G2,0.088,0.099,0.119,0.266,0.314,0.331
7/17/19,6,I3G4,0.063,0.076,0.071,0.192,0.22,0.214
7/17/19,7,I3H1,0.005,0.011,0.009,0.051,0.062,0.062
7/16/19,1,I3H5,0.088,0.015,0.017,1.028,0.059,0.057
7/18/19,8,I3H6,0.083,0.094,0.093,0.248,0.283,0.283
7/17/19,6,I3H8,0.074,0.093,0.1,0.245,0.283,0.291
7/17/19,6,I3I10,0.127,0.157,0.144,0.295,0.341,0.333
7/17/19,4,I3I3,0.117,0.137,0.132,0.33,0.388,0.378
7/17/19,7,I4A1,0.023,0.037,0.036,0.1,0.122,0.119
7/23/19,10,I4A5,0.065,0.07,0.068,0.167,0.177,0.177
7/23/19,10,I4B1,0.065,0.054,0.04,0.138,0.139,0.117
7/17/19,5,I4B4,0.025,0.032,0.028,0.063,0.074,0.072
7/18/19,8,I4C12,0.093,0.105,0.102,0.281,0.311,0.304
7/16/19,3,I4C3,0.071,0.082,0.088,0.232,0.259,0.275
7/17/19,5,I4D4,0.062,0.067,0.068,0.269,0.3,0.299
7/16/19,1,I4D5,0.046,0.06,0.06,0.526,0.167,0.166
7/17/19,5,I4F4,0.032,0.034,0.036,0.083,0.093,0.095
7/18/19,8,I4F6,NA,0.085,0.085,NA,0.254,0.255
7/17/19,6,I4G4,0.026,0.027,0.022,0.082,0.09,0.085
7/16/19,2,I4H1,0.035,0.042,0.046,0.128,0.143,0.152
7/18/19,8,I4H12,0.091,0.107,0.109,0.269,0.312,0.318
7/17/19,6,I4H4,0.041,0.042,0.052,0.107,0.112,0.124
7/16/19,2,I4I1,0.022,0.056,0.06,0.076,0.114,0.119
7/17/19,6,I4I4,0.038,0.052,0.056,0.099,0.122,0.126
7/18/19,8,O2A6,0.109,0.121,0.124,0.325,0.36,0.365
7/17/19,3,O2B10,0.023,0.029,0.034,0.073,0.087,0.092
7/18/19,8,O2B13,0.157,0.182,0.182,0.473,0.542,0.537
7/16/19,2,O2B2,0.032,0.049,0.049,0.117,0.158,0.156
7/17/19,5,O2B4,0.065,0.079,0.075,0.158,0.186,0.182
7/17/19,4,O2D3,0.108,0.125,0.121,0.338,0.389,0.374
7/18/19,9,O2D6,0.191,NA,0.131,0.455,0.406,0.398
7/16/19,2,O2E2,0.006,0.002,0,0.022,0.021,0.019
7/16/19,1,O2F1,0.053,0.069,0.077,0.168,0.203,0.209
7/16/19,2,O2F2,0.04,0.056,0.053,0.132,0.164,0.164
7/17/19,7,O2F5,0.029,0.038,0.036,0.106,0.122,0.12
7/16/19,3,O2G2,0.012,0.019,0.006,0.033,0.042,0.029
7/17/19,6,O2G4,0.018,0.027,0.024,0.043,0.056,0.053
7/17/19,4,O2G7,0.03,0.033,0.034,0.087,0.099,0.096
7/17/19,6,O2I4,0.066,0.082,0.089,0.195,0.231,0.236
7/18/19,9,O3A6,0.202,0.233,0.232,0.585,0.668,0.669
7/18/19,9,O3B6,0.283,0.304,0.308,0.82,0.88,0.887
7/17/19,5,O3C4,0.154,0.174,0.17,0.468,0.533,0.517
7/16/19,1,O3D1,NA,0.039,0.035,NA,0.109,0.107
7/16/19,3,O3D2,0.019,0.029,0.033,0.075,0.096,0.099
7/18/19,9,O3D8,0.277,0.315,0.317,0.828,0.938,0.945
7/17/19,4,O3D9,0.068,0.078,0.086,0.202,0.23,0.238
7/16/19,1,O3E10,0.024,0.02,0.16,0.065,0.074,0.229
7/17/19,4,O3E3,0.132,0.152,0.151,0.377,0.438,0.424
7/18/19,9,O3E6,0.234,0.267,0.27,0.7,0.796,0.809
7/16/19,3,O3F2,0.013,0.026,0.021,0.05,0.069,0.065
7/17/19,7,O3F4,0.007,0.004,0.016,0.038,0.041,0.052
7/17/19,7,O3F5,0.007,0.036,0.036,0.056,0.09,0.091
7/18/19,9,O3F6,0.073,0.081,0.08,0.219,0.241,0.242
7/16/19,2,O3G1,0.003,0.005,0.005,0.024,0.028,0.028
7/16/19,2,O3H1,0.021,0.024,0.027,0.079,0.092,0.095
7/17/19,4,O3H3,0.034,0.037,0.036,0.091,0.106,0.1
7/18/19,9,O3H6,0.14,0.162,0.162,0.431,0.497,0.492
7/17/19,6,O3H7,0.068,0.092,0.095,0.212,0.251,0.258
7/16/19,2,O4A2,0.018,0.023,0.028,0.078,0.089,0.096
7/17/19,7,O4A2,0.01,0.019,0.014,0.067,0.082,0.077
7/18/19,9,O4A6,0.245,0.284,0.279,0.724,0.83,0.824
7/17/19,5,O4B1,0.048,0.055,0.058,0.136,0.154,0.157
7/18/19,9,O4C10,0.192,0.218,0.219,0.568,0.643,0.643
7/17/19,7,O4C5,0.084,0.107,0.111,0.284,0.325,0.326
7/17/19,4,O4D12,0.049,0.058,0.055,0.139,0.163,0.156
7/17/19,4,O4E10,0.009,0.01,0.009,0.028,0.031,0.031
7/17/19,5,O4E4,0.05,0.065,0.066,0.137,0.164,0.167
7/16/19,3,O4F2,0.039,0.053,0.05,0.125,0.157,0.153
7/17/19,4,O4F3,0.066,0.075,0.075,0.197,0.227,0.22
7/17/19,6,O4F4,0.063,0.074,0.073,0.199,0.223,0.219
7/17/19,7,O4F5,0.026,0.034,0.047,0.09,0.105,0.122
7/18/19,9,O4F6,0.002,0.001,0.002,0.005,0.006,0.005
7/18/19,9,O4G6,0.346,0.405,0.405,1.076,1.252,1.249
7/16/19,3,O4G9,0.085,0.107,0.115,0.286,0.357,0.358
7/17/19,7,O4H11,0.027,0.043,0.053,0.109,0.131,0.141
7/16/19,3,O4H2,0.058,0.068,0.062,0.177,0.211,0.202
12/8/20,O1,I2A1,0.017,0.024,0.023,0.059,0.077,0.074
12/8/20,O1,I2B8,0.018,0.025,0.027,0.053,0.067,0.066
12/8/20,O1,I2C1,0.022,0.023,0.027,0.061,0.071,0.075
12/8/20,O1,I3A1,0.141,0.144,0.14,0.413,0.428,0.414
12/8/20,O1,I3B1,0.046,0.062,0.065,0.138,0.163,0.17
12/8/20,O1,I3C5,0.06,0.074,0.061,0.162,0.185,0.167
12/8/20,O1,O2A11,0.05,0.065,0.071,0.142,0.159,0.173
12/8/20,O1,O2B5,0.085,0.15,0.121,0.212,0.278,0.26
12/8/20,O1,O2C1,0.041,0.045,0.045,0.128,0.138,0.136
12/8/20,O1,O3B1,0.092,0.102,0.114,0.226,0.258,0.262
12/8/20,O1,O3C1,0.079,0.099,0.101,0.228,0.262,0.268
12/8/20,O1,O4A1,0.107,0.136,0.115,0.271,0.323,0.285
12/8/20,O2,O4C1,0.055,0.074,0.064,0.16,0.19,0.174
12/8/20,O2,I2D1,0.036,0.049,0.045,0.093,0.115,0.108
12/8/20,O2,I2F1,0.022,0.021,0.019,0.049,0.054,0.052
12/8/20,O2,I3F1,0.088,0.112,0.144,0.271,0.291,0.351
12/8/20,O2,O2E8,0.048,0.057,0.061,0.143,0.162,0.169
12/8/20,O2,O3F13,0.022,0.032,0.031,0.074,0.092,0.094
12/8/20,O2,I2G5,0.021,0.028,0.035,0.064,0.079,0.088
12/8/20,O2,I3G1,0.002,0.006,0.007,0.018,0.025,0.027
12/8/20,O2,O4D1,0.019,0.02,0.021,0.046,0.055,0.055
12/8/20,O2,O4E1,0.055,0.072,0.068,0.148,0.183,0.177
12/8/20,O2,O4F1,0.083,0.104,0.116,0.254,0.293,0.317
12/8/20,O2,I4G9,0.017,0.024,0.024,0.053,0.066,0.066
12/8/20,O3,O2G1,0.025,0.033,0.034,0.094,0.114,0.114
12/8/20,O3,O2I1,0.105,0.137,0.139,0.334,0.409,0.411
12/8/20,O3,O2H2,0.066,0.09,0.09,0.185,0.231,0.233
12/8/20,O3,O3I8,0.026,0.035,0.032,0.084,0.102,0.096
