frag,survivedtoend,endtank,treat,normtankpa,pabwrec1,pabwrec2,pabwrec3,normtankt0,t0bwrec1,t0bwrec2,t0bwrec3,normtankt1,t1bwrec1,t1bwrec2,t1bwrec3,normtankt2,t2bwrec1,t2bwrec2,t2bwrec3,normtankt3,t3bwrec1,t3bwrec2,t3bwrec3,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,t0sastan1,t0sastan2,t0sastan3,t0sarec1,t0sarec2,t0sarec3,t1sastan1,t1sastan2,t1sastan3,t1sarec1,t1sarec2,t1sarec3,t2sastan1,t2sastan2,t2sastan3,t2sarec1,t2sarec2,t2sarec3,t3sastan1,t3sastan2,t3sastan3,t3sarec1,t3sarec2,t3sarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,hcarbplate,hcarb1,hcarb2,hcarb3,scarbplate,scarb1,scarb2,scarb3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,papamrec1,papamrec2,papamrec3,t0pamrec1,t0pamrec2,t0pamrec3,t1pamrec1,t1pamrec2,t1pamrec3,t2pamrec1,t2pamrec2,t2pamrec3,t3pamrec1,t3pamrec2,t3pamrec3,t4pamrec1,t4pamrec2,t4pamrec3,t5pamrec1,t5pamrec2,t5pamrec3,t6pamrec1,t6pamrec2,t6pamrec3,t7pamrec1,t7pamrec2,t7pamrec3,t8pamrec1,t8pamrec2,t8pamrec3,t9pamrec1,t9pamrec2,t9pamrec3
I2A1,yes,1_1,1,1_1,25.167,25.163,25.161,1_1,25.232,25.231,25.232,1_1,25.316,25.318,25.32,1_1,25.314,25.313,25.316,1_1,25.525,25.524,25.522,297576,297858,298390,1604687,1604437,1604575,292670,294032,394288,1625308,1625816,1622710,306516,307414,311251,1648694,1645211,1647186,307813,305901,305549,1630203,1633844,1633993,320658,319222,319773,1695937,1696249,1695342,19,Darren,D1,0.152,0.159,0.075,O1,0.308,0.368,0.263,NA,NA,NA,NA,0.116,0.137,0.13,0.122,0.143,0.137,12,10,13,1,0,0,0.599,0.613,0.582,0.544,0.517,NA,0.5,0.45,0.494,0.475,0.493,0.503,0.516,0.504,0.493,0.453,0.424,0.439,0.426,0.433,0.434,0.501,0.463,0.507,0.464,0.454,0.464,0.442,0.45,0.435,0.465,0.453,0.411
I2B8,yes,1_1,1,1_1,33.485,33.493,33.488,1_1,33.549,33.558,33.554,1_1,33.722,33.722,33.723,1_1,34.251,34.251,34.249,1_1,NA,NA,NA,297563,298111,297796,1952274,1951124,1950793,297494,297779,296168,2000812,1994276,1997733,311786,312112,312082,2038172,2045083,2045616,306350,303897,301748,2066845,2067463,2053675,317875,320675,317838,2115190,2114893,2115567,16,Darren,D1,0.143,0.154,0.148,O1,0.4,0.341,0.357,NA,NA,NA,NA,0.089,0.109,0.099,0.093,0.114,0.103,15,14,8,0,0,0,NA,NA,NA,0.588,0.614,0.57,0.554,0.598,0.557,0.563,0.592,0.549,0.524,0.565,0.531,0.534,0.531,0.54,0.511,0.542,0.561,0.589,0.596,0.589,0.554,0.555,0.548,0.579,0.548,0.556,0.568,0.554,0.55
I2C1,yes,1_1,1,1_1,26.888,26.887,26.888,1_1,26.83,26.82,26.825,1_1,26.688,26.688,26.689,1_1,26.563,26.562,26.561,1_1,26.444,26.442,26.442,296192,297256,298060,1315954,1314838,1315407,294817,293715,295312,1335793,1337348,1331411,312125,308535,310454,1363952,1362063,1364138,305301,306961,307258,1296216,1296456,1294457,319551,320082,320082,1321513,1322343,1321124,15,Darren,D1,0.139,0.138,0.136,O1,0.36,0.359,0.543,NA,NA,NA,NA,0.098,0.118,0.11,0.103,0.125,0.117,8,6,2,0,0,0,0.562,0.564,0.567,0.525,0.595,0.536,0.387,0.45,0.43,0.443,0.448,0.453,0.399,0.371,0.389,0.323,0.32,0.304,0.38,0.316,0.26,0.335,0.27,0.305,0.429,0.425,0.472,0.436,0.426,0.411,0.482,0.432,0.444
I3A1,yes,1_1,1,1_1,20.305,20.307,20.308,1_1,20.402,20.403,20.403,1_1,20.511,20.513,20.518,1_1,20.736,20.733,20.734,1_1,21.226,21.228,21.223,295650,297030,297282,1409053,1408921,1409115,294866,294022,291262,1379459,1376415,1375338,308413,310602,308643,1438536,1437165,1440182,307188,304179,304998,1434221,1432974,1437037,318739,317352,316764,1509693,1508591,1509872,11,Alyssa,D5,0.471,0.424,0.409,O1,1.282,1.199,1.326,NA,NA,NA,NA,0.396,0.46,0.451,0.434,0.505,0.487,173,293,233,4,4,1,0.643,0.641,0.648,0.6,0.586,NA,0.524,0.561,0.592,0.564,0.57,0.558,0.589,0.582,0.577,0.589,0.592,0.578,0.615,0.599,0.638,0.623,0.635,0.63,0.588,0.615,0.618,0.603,0.624,0.638,0.59,0.6,0.62
I3B1,yes,1_1,1,1_1,10.085,10.085,10.084,1_1,10.113,10.114,10.115,1_1,10.255,10.254,10.253,1_1,10.454,10.454,10.454,1_1,11.061,11.063,11.059,296695,296965,298594,978976,985333,977427,303930,302519,303025,991336,989133,992488,311817,309219,310153,1003703,1004766,1004871,308040,307511,308889,1040406,1041314,1040625,320930,321213,321763,1075434,1074527,1075982,14,Alyssa,D5,0.203,0.243,0.197,O1,0.668,0.618,0.53,NA,NA,NA,NA,0.172,0.209,0.208,0.185,0.226,0.224,93,78,91,0,0,0,0.599,0.6,0.577,0.527,0.541,0.526,0.505,0.455,0.514,0.469,0.482,0.474,0.554,0.567,0.536,0.521,0.524,0.536,0.549,0.526,0.571,0.552,0.593,0.539,0.55,0.559,0.545,0.545,0.511,0.536,0.576,0.538,0.559
I3C1,no,1_1,1,1_1,22.494,22.489,22.489,1_1,22.542,22.543,22.542,1_1,22.68,22.684,22.684,NA,NA,NA,NA,NA,NA,NA,NA,297846,299748,299206,1196963,1199029,1199347,298127,297818,298662,1237455,1237228,1238356,309562,310054,310384,1280226,1287043,1293791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.594,0.608,0.603,0.511,0.551,0.569,0.526,0.56,0.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I3C5,yes,1_1,1,5_1,19.796,19.79,19.795,5_1,19.986,19.982,19.981,5_1,20.295,20.294,20.296,1_1,20.532,20.53,20.531,1_1,21.086,21.083,21.078,303570,301105,301097,1249809,1254895,1251373,300062,300575,301664,1240809,1244722,1243994,310813,309891,312548,1309270,1313564,1318582,305525,305576,305277,1344306,1341846,1346585,322056,315579,322056,1339115,1340335,1340138,20,Darren,D6,0.135,0.075,0.129,O1,0.555,0.567,0.582,NA,NA,NA,NA,0.168,0.189,0.186,0.18,0.202,0.199,24,61,71,0,0,0,0.641,0.637,0.652,0.548,0.558,0.548,0.606,0.559,0.576,0.588,0.614,0.61,0.591,0.616,0.613,0.583,0.59,0.61,0.569,0.578,0.585,0.586,0.631,0.591,0.579,0.57,0.563,0.588,0.597,0.563,0.564,0.577,0.559
I4A5,yes,1_1,1,5_1,29.749,29.753,29.753,5_1,29.622,29.619,29.618,5_1,29.492,29.49,29.49,1_1,29.427,29.427,29.426,1_1,29.527,29.517,29.521,296970,295039,297716,1470280,1476130,1480544,298599,299708,299684,1526852,1532088,1526338,NA,NA,NA,NA,NA,NA,306668,304724,307747,1482816,1485148,1488754,318069,318360,319192,1565256,1558149,1562891,16,Darren,D3,0.168,0.16,0.15,O1,0.351,0.4,0.244,NA,NA,NA,NA,0.065,0.07,0.068,0.167,0.177,0.177,61,69,109,0,1,0,0.664,0.65,0.663,0.598,0.598,0.607,0.594,0.554,0.598,0.536,0.546,0.518,0.6,0.599,0.636,0.625,0.635,0.635,0.479,0.476,0.47,0.555,0.581,0.571,0.555,0.531,0.529,0.613,0.564,0.59,0.526,0.576,0.569
I4B1,yes,1_1,1,1_1,19.227,19.227,19.227,1_1,19.274,19.272,19.272,1_1,19.308,19.306,19.303,1_1,19.284,19.286,19.285,1_1,19.222,19.22,19.217,299198,299472,300306,1190629,1190132,1190395,298077,297519,297267,1225324,1219467,1216846,308528,309358,310199,1232863,1232106,1233594,304480,305864,304976,1253789,1252903,1251938,320922,320373,318429,874960,849547,850293,14,Darren,D8,0.147,0.135,0.126,NA,NA,NA,NA,NA,NA,NA,NA,0.065,0.054,0.04,0.138,0.139,0.117,19,11,14,0,0,0,0.58,0.585,0.577,0.521,0.489,0.558,0.568,0.594,0.561,0.56,0.581,0.573,0.595,0.597,0.583,0.594,0.578,0.53,0.444,0.458,0.432,0.48,0.453,0.5,0.465,0.514,0.465,0.482,0.499,NA,0.462,0.439,0.447
I4C1,no,1_1,1,1_1,19.425,19.427,19.421,1_1,19.472,19.473,19.472,1_1,19.487,19.484,19.488,NA,NA,NA,NA,NA,NA,NA,NA,299504,300600,299512,1228533,1238191,1243509,NA,NA,NA,NA,NA,NA,312664,311208,311493,1318497,1313041,1318840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.624,0.641,0.635,0.573,0.648,0.576,0.585,0.593,0.553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
