"frag","treat","sitename","reef","T2_T0_perc","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA"
"I2A1","Control","SP","Inner Reef",0.327630622894517,0.237970879067506,0.076549334819941,0.0571918798190902,0.504333333333333,104531.651553892,0.873293570885507
"I2B8","Control","SP","Inner Reef",2.07627581685061,0.186927108222075,0.0356830470556681,0.0436650573775285,NA,74352.9945710841,0.617119807238029
"I2C1","Control","SP","Inner Reef",-0.980428704566629,0.323073869049945,0.0775484190038474,0.0567400202216199,0.386333333333333,48409.5758364481,1.10362940752538
"I3A1","Control","CI","Inner Reef",1.62560449614431,0.617869364033868,0.0560939351168463,0.805267131648375,0.582666666666667,1348323.33791062,5.81811428003658
"I3B1","Control","CI","Inner Reef",3.36167688352778,0.534272284434824,0.0501362931843185,0.346646828037399,0.552333333333333,913326.534287804,3.09868685621538
"I3C5","Control","CI","Inner Reef",2.74233098133413,0.343436985004961,0.0724488169399451,0.194634245075911,0.606666666666667,620759.291748308,2.70137333096078
"I4A5","Control","PD","Inner Reef",-0.651594098515631,0.391158313318691,0.0486869633581262,0.0897452730143462,0.611666666666667,649819.300075511,2.3381599574945
"I4B1","Control","PD","Inner Reef",0.0639939119305451,0.366924925227917,0.0449332765076122,0.149994803466362,0.591666666666667,191338.480658692,3.231141620087
"O2A11","Control","BS","Outer Reef",-0.365032582537922,0.569528950654807,0.159500947567918,0.0990602534772444,NA,455646.321376858,4.4768645910954
"O2B5","Control","BS","Outer Reef",1.82400965905825,0.409381169692093,0.0797561893291455,0.304481431250169,NA,1080833.8600756,3.45028552068912
"O2C1","Control","BS","Outer Reef",1.02469015321558,0.42067475846965,0.109230724543847,0.146649322208109,0.557333333333333,621519.872578268,1.99850786613529
"O3B1","Control","CA","Outer Reef",2.35431320383394,0.413455434994065,0.0851285989466053,0.465907435259603,0.565333333333333,1333811.79678584,3.11315499166364
"O3C1","Control","CA","Outer Reef",0.891572045418202,0.625146966491778,0.142929530570781,0.185199491712747,0.573333333333333,1264668.13494608,4.18781219229589
"O4A1","Control","BN","Outer Reef",0.975293448198281,0.472237254527543,0.0880316332289422,0.193800696786108,0.535333333333333,820895.821611801,4.07561603160978
"O4C1","Control","BN","Outer Reef",0.511107737462683,0.369810068370144,0.0643091240837883,0.117408716677523,0.554,904096.816345177,2.48351448995663
"I2D1","Control","SP","Inner Reef",1.42936995927494,0.300084267921082,0.111896654972599,0.129112518550444,NA,403165.003844569,3.45996869945506
"I2E7","Control","SP","Inner Reef",2.08806684818328,NA,NA,NA,NA,NA,NA
"I2F1","Control","SP","Inner Reef",0.165772131258917,0.264579626504767,0.00288725469592241,0.0809988522483199,0.502333333333333,201374.45779256,0.754715323673063
"I3D5","Control","CI","Inner Reef",1.81131575460448,NA,NA,NA,NA,NA,NA
"I3E8","Control","CI","Inner Reef",2.13857641447779,0.443631734755536,0.0106774025248963,0.0959229896261761,NA,929306.931267584,2.13664870793071
"I3F1","Control","CI","Inner Reef",4.25768677668972,NA,NA,NA,0.621,NA,NA
"I4D5","Control","PD","Inner Reef",0.762750682094277,0.413892236045847,0.0481113734084067,0.118053817836295,NA,687299.38932004,4.77856439333919
"O2E8","Control","BS","Outer Reef",0.530221244380057,0.440089898179045,0.0945395567522309,0.235556494333071,NA,403461.937251371,2.02510736408258
"O3D1","Control","CA","Outer Reef",1.73125822798505,0.596993542927,0.0792607212652415,0.160507158167698,0.541666666666667,216355.622693462,2.0589699189246
"O3E10","Control","CA","Outer Reef",0.806039279376815,0.463240629081731,0.0468903845354124,0.233528711822122,NA,876675.926173522,4.04356334329368
"O3F13","Control","CA","Outer Reef",-0.0999290825865533,0.313066621189892,0.0268659880007362,0.197214102995696,NA,838820.610780427,2.05602258299418
"O4D1","Control","BN","Outer Reef",3.79135665664083,1.3349451606301,0.210195239787326,0.286371603875017,0.558333333333333,775158.513051322,5.06968432459623
"O4E1","Control","BN","Outer Reef",0.213442109756667,0.543552970183915,0.193167766261134,0.330022707679764,0.535,1188158.95401425,2.4890418221575
"O4F1","Control","BN","Outer Reef",2.51572327044025,0.560657136740635,0.0849166831453073,0.316158563273589,0.558333333333333,407120.303478299,3.66746496151821
"I2G5","Control","SP","Inner Reef",0.850633698779251,0.159339425189888,0.0163930549662625,0.13032909411338,NA,315478.841591722,1.06095795153611
"I2H12","Control","SP","Inner Reef",2.183551318998,0.25723527959507,0.0103716962230616,0.116655794823809,NA,106636.921946562,2.05093161766009
"I2I7","Control","SP","Inner Reef",1.59312864469894,0.184217559275206,0.0194969297528845,0.125635915102196,NA,587876.619977255,0.972629757934354
"I3G1","Control","CI","Inner Reef",0.0205819547711521,0.167712445514126,0.0511308437714378,0.0320561884091198,0.493,117139.791471272,0.371503342079745
"I3H5","Control","CI","Inner Reef",2.58222599189521,0.484901123067793,0.0372273897164575,0.141284866912842,NA,413886.624224751,9.82608234571981
"I4H1","Control","PD","Inner Reef",0.834741330758722,0.391444828998159,0.139836513505898,0.14882214693252,0.582333333333333,184969.393914459,2.44742056781965
"I4I1","Control","PD","Inner Reef",-0.198972395728378,0.360100080110413,0.115939182085975,0.0886609814961352,0.581333333333333,114131.888147826,2.10951444037692
"O2G1","Control","BS","Outer Reef",-0.136175649776408,0.281564715741313,0.0913705041375026,0.076210174165435,0.432666666666667,99795.2766647729,1.55760321598192
"O2H2","Control","BS","Outer Reef",1.37844075910412,0.467305989068737,0.3078416891151,0.250928095515595,NA,393576.557550446,3.69512347066176
"O2I1","Control","BS","Outer Reef",2.4167223087766,0.520436863805479,0.321525477974033,0.246904044850988,0.56,374160.351919234,5.16140673452622
"O3G1","Control","CA","Outer Reef",1.14329268292682,0.43821073040819,0.0751532285640717,0.083532388986092,0.553,247827.045651466,0.477343675643275
"O3H1","Control","CA","Outer Reef",0.936034159988221,0.375741574327261,0.0653959602029792,0.153015693827307,0.562,517724.171561384,1.63270681822755
"O3I8","Control","CA","Outer Reef",0.235491617897365,0.676114158731192,0.120824009523508,0.0838013674794665,NA,928081.349782932,2.04260624392515
"O4G1","Control","BN","Outer Reef",0.395010957495746,0.407122626712868,0.101060754583092,0.1990309122975,0.554333333333333,478380.969754516,0.909733178891215
"I2A2","Low Var","SP","Inner Reef",0.485455161253909,0.408311982022352,0.0582661299227507,0.0685190393901321,0.47,58658.4936538768,0.583013053264487
"I2B2","Low Var","SP","Inner Reef",0.684612646164805,0.203088427968633,0.0425031575852311,0.0470211639502034,0.589666666666667,125173.888418033,0.43327057955179
"I2C2","Low Var","SP","Inner Reef",-0.393468424158963,0.407587507020551,0.0305715276045987,0.13083392349252,0.492333333333333,123217.055078097,0.646117740023806
"I3B8","Low Var","CI","Inner Reef",2.05650247895092,0.559407207162725,0.212828366711007,0.184026762201488,NA,563448.440936732,2.98007880411437
"I3C2","Low Var","CI","Inner Reef",0.699768458965775,NA,NA,NA,NA,NA,NA
"I4A2","Low Var","PD","Inner Reef",-0.0566679259539074,0.329378411997799,0.0939670057929394,0.196278599183802,0.614333333333333,291952.726567537,1.37358468178884
"I4B2","Low Var","PD","Inner Reef",0.623534520191058,NA,NA,NA,NA,NA,NA
"I4C2","Low Var","PD","Inner Reef",0.356389555604045,0.346810493932314,0.0372688296197067,0.0541585339772088,0.539666666666667,339758.509433703,0.820508088525742
"O2B2","Low Var","BS","Outer Reef",0.445728193774465,0.316852602046763,0.09537225591836,0.158237088554592,0.586333333333333,198527.840260671,2.25255416223805
"O3A2","Low Var","CA","Outer Reef",2.42500483839752,0.753843724394639,0.260181619537524,0.185234285855179,0.499666666666667,745200.108351522,2.07683635075089
"O3B2","Low Var","CA","Outer Reef",2.46991268779989,0.398043132140029,0.0858515635106918,0.120449820062426,0.558666666666667,464976.464115022,1.39666026167081
"O4A2","Low Var","BN","Outer Reef",1.89743432547589,NA,NA,NA,0.530666666666667,NA,1.27205748092954
"O4A2","Low Var","BN","Outer Reef",1.89743432547589,NA,NA,NA,0.530666666666667,NA,1.09470594753764
"O4C2","Low Var","BN","Outer Reef",1.33467640392849,0.969782934299603,0.117567355592028,0.290380886023729,0.579333333333333,1145612.79197726,4.07958781675903
"I2D2","Low Var","SP","Inner Reef",2.10974273002772,NA,NA,NA,0.477666666666667,NA,NA
"I2E2","Low Var","SP","Inner Reef",2.05243561898853,0.711052695710683,0.164899158368355,0.0862459695090276,0.593666666666667,516856.758522376,0.0333803323212368
"I2F2","Low Var","SP","Inner Reef",0.88928198118518,0.151831524543506,0.0651179214205247,0.0401487567483885,0.497666666666667,26319.557185395,0.125155760977788
"I3D2","Low Var","CI","Inner Reef",0.866546890086659,0.231098062701053,0.0713359652864097,0.225230258500957,0.452,391700.279550621,2.13342483753587
"I3F2","Low Var","CI","Inner Reef",3.85228768289851,0.251641652086451,0.0276390548511103,0.1387230117318,0.532666666666667,383838.961340127,0.624284297493588
"I4F2","Low Var","PD","Inner Reef",0.954121347366946,0.208352795831589,0.0335557030086361,0.0851480763178027,0.568,213561.600309539,0.888298580487511
"O2D2","Low Var","BS","Outer Reef",1.11397456147642,NA,NA,NA,NA,NA,NA
"O2E2","Low Var","BS","Outer Reef",2.25639638014492,0.3396959476735,0.046920713221003,0.066148693146397,0.583,55702.7267956448,0.260492535888769
"O2F2","Low Var","BS","Outer Reef",1.70393374741199,0.384694510311697,0.144193261384871,0.217679728851591,0.521,341316.45379982,2.7351949395236
"O3D2","Low Var","CA","Outer Reef",3.3617764984065,0.352229709000511,0.104014209780925,0.23713321298548,0.577,430270.92933085,1.58848022068404
"O3E2","Low Var","CA","Outer Reef",1.55035977677688,0.355313694494684,0.12858928284017,0.298729430812387,0.549666666666667,471509.706554359,1.34188372882767
"O3F2","Low Var","CA","Outer Reef",3.42885771543087,NA,NA,NA,0.553666666666667,NA,0.899615122555594
"O4D2","Low Var","BN","Outer Reef",3.88590714135046,0.245932830501827,0.186456711540644,0.0946763139224601,0.54,82654.3842656426,0.944322650307098
"O4F2","Low Var","BN","Outer Reef",3.33228306761611,0.363129811794668,0.0719038873488788,0.414958420115488,0.532333333333333,497258.081951614,1.86015273556132
"I2G2","Low Var","SP","Inner Reef",2.01620830511808,0.203669337191123,0.0582193378523357,0.140058342872071,0.581,115935.935330556,1.42849344037467
"I2H2","Low Var","SP","Inner Reef",3.40229944922592,0.122207253866546,0.0424850035576556,0.134639869627669,0.545,507495.929871971,0.820909875615679
"I2I10","Low Var","SP","Inner Reef",0.60415940513535,0.149138809524544,0.0135470517500467,0.0368012972188328,NA,111580.216764328,0.39527291788763
"I3G2","Low Var","CI","Inner Reef",2.06760748276994,0.217171211794685,0.0864282811086594,0.236130960565006,0.510666666666667,461173.417192289,4.75497826783316
"I3H2","Low Var","CI","Inner Reef",1.59963073201013,0.217452174082581,0.178725801598795,0.0458487604276676,0.581,300131.543656226,2.24711150624857
"I3I2","Low Var","CI","Inner Reef",0.842094855146494,0.112758323555122,0.0848846961563242,0.0444314708249844,0.592666666666667,446877.525281908,0.542945113609453
"I4I2","Low Var","PD","Inner Reef",0.916825396825394,0.281735780825385,0.0917614031200927,0.178903031025805,0.61,333641.957468813,1.41267802343031
"O2G2","Low Var","BS","Outer Reef",0.0916855667615785,0.147075500278009,0.0328012917598147,0.145906337661647,0.458333333333333,309051.792943652,0.481535630898881
"O2I9","Low Var","BS","Outer Reef",1.13019891500903,0.280584529842416,0.116468156318499,0.221215527847666,NA,565768.608620691,2.67844470834078
"O3G2","Low Var","CA","Outer Reef",1.78750551699234,0.244123024082734,0.104839863620611,0.340411673779932,0.552333333333333,518223.510500732,2.92181104399781
"O3H2","Low Var","CA","Outer Reef",1.32729931841387,NA,NA,NA,0.588666666666667,NA,1.19755524337224
"O3I3","Low Var","CA","Outer Reef",0.169283884619673,0.177241541789663,0.0881641976997572,0.0938399820425141,NA,749996.822331004,NA
"O4G9","Low Var","BN","Outer Reef",0.630647847334079,0.318205320046986,0.194904176794185,0.213942981063635,NA,215809.742248515,5.01300285519664
