"frag","treat","sitename","lineage","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA","T3_T0_rgr_2"
"I2A1","Control","SP","L2",-1.43560696965609,-2.56981984640097,-2.86134335187855,-0.814185508937001,11.5572451902096,-0.135483501452017,0.693220002635702
"I2C1","Control","SP","L2",-1.12987428515754,-2.55685277636499,-2.86927549321059,-0.792599259531605,10.7874529209959,0.0986042099119018,0.693056319335151
"I3A1","Control","CI","L1",-0.481478228927882,-2.88072758073174,-0.216581216053487,-0.505285443390375,14.1143724066103,1.76097620237521,0.693397437407291
"I3C5","Control","CI","L2",-1.06875163391592,-2.6248749396801,-1.63663314796047,-0.567984037605939,13.338698671842,0.993760284792836,0.69348606930083
"I4A5","Control","PD","L1",-0.938642907545798,-3.02234397758134,-2.41077992136461,-0.585190039054853,13.3844496033389,0.849364277088755,0.693126205035641
"I4B1","Control","PD","L2",-1.00259801526519,-3.10257663384022,-1.89715462904357,-0.799990276177994,12.1617992886691,1.17283551753978,0.693129751313954
"O2C1","Control","BS","L1",-0.865895289069314,-2.21429289495407,-1.91971110540291,-0.667479433811368,13.339923164608,0.692400835181157,0.693376126976689
"O3B1","Control","CA","L1",-0.883205545431588,-2.46359223703195,-0.763768301369357,-0.63424953931246,14.103551413635,1.13563667874035,0.693535484634472
"O3C1","Control","CA","L1",-0.469768510501469,-1.94540356339603,-1.68632170130543,-0.528763324452658,14.0503203018094,1.43217844775631,0.693354877252558
"O4A1","Control","BN","L1",-0.750273761789407,-2.43005906058655,-1.64092498414438,-0.789658080940789,13.6181514883146,1.40502190866845,0.693345777338827
"O4C1","Control","BN","L1",-0.994765733871506,-2.744053759146,-2.1420941266653,-0.544152627882058,13.7146917313667,0.909674690038536,0.693275575605837
"I2F1","Control","SP","L2",-1.32961302760221,-5.84744916053611,-2.51332029418392,-0.87787162197021,12.2129214279496,-0.281414655573788,0.693194729935401
"O3D1","Control","CA","L1",-0.515848981515698,-2.53501259127082,-1.82941673823089,-0.608193474679782,12.284678734192,0.72220581838313,0.693392085214041
"O4D1","Control","BN","L1",0.288890212828779,-1.55971846690739,-1.25046499729227,-0.711311151187616,13.5608228203909,1.6232785522714,0.693585301096608
"O4E1","Control","BN","L1",-0.609628115929956,-1.64419621242176,-1.10859381573819,-0.592397277459802,13.9879155696296,0.91189782603959,0.693238574553191
"O4F1","Control","BN","L1",-0.578645724751762,-2.46608470149082,-1.15151140873461,-0.637397165455453,12.9168640066896,1.2995006772111,0.693468538310608
"I3G1","Control","CI","L2",-1.78550439994224,-2.97336736755352,-3.4402650281662,-0.669430653942629,11.6711232994755,-0.990197418687817,0.693388998702989
"I4H1","Control","PD","L2",-0.937910695580943,-1.96728129940876,-1.90500333074617,-0.532730459154041,12.1279456520738,0.895034640481021,0.693373850710714
"I4I1","Control","PD","L2",-1.0213732858602,-2.15468951772736,-2.42293537938887,-0.630485419435234,11.6451099722453,0.746457797961491,0.693146064608703
"O2G1","Control","BS","L2",-1.26739296176294,-2.39283256444822,-2.57426030597101,-0.806689221959074,11.5108761331713,0.44314823977706,0.69317308965914
"O2I1","Control","BS","L1",-0.653086697409368,-1.13467849124674,-1.39875550021765,-0.558033706752771,12.8324397329575,1.64120916530878,0.693527520630099
"O3G1","Control","CA","L1",-0.825055364653241,-2.58822620210822,-2.48252083028699,-0.62548853208613,12.4204863852863,-0.739518553513943,0.693357288727943
"O3H1","Control","CA","L1",-0.978853674213876,-2.72729479302351,-1.87721478881537,-0.603306476560156,13.1571978920867,0.490239262185578,0.693378640875427
"O4G1","Control","BN","L1",-0.898640844784695,-2.29203341246218,-1.61429512814298,-0.513050318788102,13.0781627018861,-0.0946039324753549,0.693301358245891
"I2A2","Low Var","SP","L2",-0.895723734963385,-2.84273431632335,-2.68064362503295,-0.867500567704723,10.9794876629293,-0.539545703063275,0.693221684306927
"I2B2","Low Var","SP","L2",-1.59411378903218,-3.1581769096885,-3.05715748181242,-0.560366069326127,11.7374591569353,-0.836392851106475,0.693279155555031
"I2C2","Low Var","SP","L2",-0.897499628200076,-3.48768617361808,-2.0338265196671,-0.817954831153293,11.7217027545759,-0.436773531708119,0.693115974438755
"I4A2","Low Var","PD","L1",-1.11054800073356,-2.3648115605306,-1.62822020461186,-0.529895186486341,12.5843471728273,0.317423878667102,0.693203797823551
"I4C2","Low Var","PD","L2",-1.05897677521316,-3.2895979687287,-2.91583971911211,-0.562118918153541,12.7359903778622,-0.197831510455802,0.693263392966272
"O2B2","Low Var","BS","L1",-1.149318591011,-2.34996756128962,-1.84366081019894,-1.01980110824382,12.1986846224772,0.81206475559997,0.693199210121516
"O3B2","Low Var","CA","L1",-0.921194907358414,-2.45513547968228,-2.11652204380011,-0.541284831250699,13.0497420684821,0.334083859339537,0.693371734182311
"O4C2","Low Var","BN","L1",-0.0306830115995558,-2.1407438705556,-1.23656181767521,-0.736750818042077,13.9514502413074,1.40599595800851,0.693353275802307
"I2E2","Low Var","SP","L2",-0.341008737001666,-1.80242115332073,-2.45055195449268,-0.65456769859247,13.1555210522822,-3.39978840509888,0.693375112942565
"I2F2","Low Var","SP","L2",-1.88498376401677,-2.73155547701527,-3.21516380423969,-1.29341136697318,10.1780675610346,-2.07819622958062,0.693268843142364
"I3D2","Low Var","CI","L2",-1.46491314468349,-2.6403546567706,-1.49063202894959,-1.06905348642657,12.8782522333392,0.757728593372596,0.693267849695934
"I3E2","Low Var","CI","L2",-1.9377633718312,-2.97972363584107,-2.87609852857801,-0.666180732330131,11.3930048060797,-1.23216749378111,0.693391580426039
"I3F2","Low Var","CI","L1",-1.37974921902428,-3.58852547563439,-1.97527605531621,-0.750070327959566,12.857978372099,-0.471149409411462,0.693587750768336
"I4F2","Low Var","PD","L2",-1.56852250228559,-3.39454844465604,-2.46336346381621,-0.627983854653532,12.2716805960752,-0.11844735321799,0.693310630782048
"O2E2","Low Var","BS","L1",-1.07970433301981,-3.05929605452375,-2.71585014452869,-0.569161200778954,10.9277843797556,-1.34518107121738,0.693503300349707
"O2F2","Low Var","BS","L1",-0.955305739375881,-1.9366007862574,-1.52473043013641,-0.586986984731555,12.7405653429324,1.00620270921094,0.6934782237196
"O3D2","Low Var","CA","L1",-1.04347173383552,-2.26322775666524,-1.43913321564735,-0.7079224661421,12.9721703574714,0.462777723081793,0.693582513129652
"O3E2","Low Var","CA","L1",-1.03475423322852,-2.05113180781955,-1.20821702894394,-0.616186139423817,13.0636949673853,0.294074394578175,0.69344690163409
"O4D2","Low Var","BN","L1",-1.40269682707436,-1.67955617654153,-2.35729142704965,-0.694481403573082,11.3224231480085,-0.0572873806541777,0.693674340128894
"O4E2","Low Var","BN","L1",-1.27969053219548,-2.48392025215525,-1.93205199169569,-0.604525988906417,13.1068998204961,-0.680629272378178,0.693462953088948
"O4F2","Low Var","BN","L1",-1.0129949003941,-2.63242494966827,-0.879576956263842,-0.605136303237232,13.1168644498805,0.620658600246967,0.693553649907921
"I2G2","Low Var","SP","L2",-1.59125749633324,-2.84353771392865,-1.96569620838216,-0.594207232705042,11.6607930358917,0.356620350710818,0.693405718802076
"I2H2","Low Var","SP","L3",-2.10203687339638,-3.15860412278754,-2.00515169740317,-0.710632494900965,13.1372439699092,-0.197341949470435,0.693497608633533
"I3G2","Low Var","CI","L2",-1.52706924208862,-2.44844032908561,-1.44336871021806,-0.689819390467271,13.0415294273644,1.55919212560482,0.693433161492755
"I3H2","Low Var","CI","L1",-1.52577634190808,-1.72190248224321,-3.0824071160286,-0.519193873436507,12.6119761363887,0.809645616470633,0.693393824734635
"I3I2","Low Var","CI","L1",-2.18250848021884,-2.46646145920025,-3.1138072582612,-0.702524342372542,13.0100398433949,-0.610747044066047,0.693272235866456
"I4I2","Low Var","PD","L2",-1.26678559468134,-2.3885635150825,-1.72091134604081,-0.61742147003181,12.7178237133471,0.345487210383748,0.693238616324094
"O2G2","Low Var","BS","L2",-1.91680921672111,-3.41728738144635,-1.92479038600307,-0.670081907628949,12.6412641565385,-0.730775050691814,0.693213310318735
"O3G2","Low Var","CA","L1",-1.41008298369318,-2.25532120136132,-1.07759958857033,-0.607581292230298,13.1581619156308,1.07220364457011,0.693488330831643
"O4H2","Low Var","BN","L1",-1.32561204566244,-2.21294127029895,-1.81195671581779,-0.769308541525509,13.4634169372699,1.15707738386267,0.693577681666412
"I2A3","Mod Var","SP","L2",-1.53207167254189,-2.54015847345651,-1.70644281719448,-0.869884359059999,12.6551284627189,0.40584632325782,0.693310232191052
"I2B3","Mod Var","SP","L2",-2.07199492629886,-2.26818108806843,-2.90482152926351,-0.545877261824909,10.8490358383952,-0.695222472089386,0.693385775177889
"I3C3","Mod Var","CI","L2",-1.45627133176574,-1.83889733251949,-1.18650868377812,-0.555125882662571,13.3954393639278,1.40153861379921,0.693452775070757
"I4A3","Mod Var","PD","L1",-1.58532118369264,-1.64161172108717,-2.24382495272135,-0.504181081047322,13.0908203570873,0.466677171986268,0.693141991773228
"I4B3","Mod Var","PD","L2",-1.86587574846566,-1.87912512762564,-1.83908862700786,-0.472139241376157,12.4150474566067,-0.0289249118117025,0.693301075396403
"I4C3","Mod Var","PD","L2",-1.88348025633725,-2.31858586467889,-2.21534872447673,-0.540140011434766,12.7675632646218,1.26759252368342,0.693462880078791
"O4B3","Mod Var","BN","L1",-0.76542758742911,-1.97601549156897,-0.445791005483168,-0.568572445978315,14.3961144991751,1.88668794275978,0.693398783798653
"O4C3","Mod Var","BN","L1",-1.02102084818422,-2.30530238657752,-1.19965632335466,-0.545302053295964,14.3342248280439,1.13322865625083,0.693465574295277
"I2D3","Mod Var","SP","L3",-2.54148327848518,-2.67638332037001,-3.14667536982539,-0.738842139822075,11.6542485245243,-0.66419608764355,0.693504594220267
"I2E3","Mod Var","SP","L2",-1.03187031644089,-2.64143295322088,-1.86938742900808,-0.581009680623095,13.6609393444748,0.766070041121971,0.69333790026498
"I3D3","Mod Var","CI","L2",-1.06210407698051,-2.19520634250248,-1.38127655874048,-1.12804109935892,13.5312648414119,0.709750073063072,0.693276568164232
"I3E3","Mod Var","CI","L2",-1.75368954980299,-2.00195888420115,-2.70880389592141,-0.608193474679782,13.3630672411999,0.315336311608712,0.693431384507501
"I4E3","Mod Var","PD","L2",-1.16596174495911,-1.96760513417434,-1.65360501306137,-0.685179010910768,13.317156684223,0.522578699764765,0.693181287333977
"O2D3","Mod Var","BS","L1",-1.06008319615278,-2.29000871825104,-1.75697772638465,-0.467872568236781,13.9090895004089,1.65335484016981,0.69350220672936
"O2E3","Mod Var","BS","L1",-1.09831954389635,-1.73995060518374,-1.52988410346441,-0.611260021087761,13.4673951270179,1.24177908321962,0.693152190786978
"O2F3","Mod Var","BS","L1",-0.929032585107514,-2.69424361124018,-1.11168314289466,-0.74795541705494,14.1922454901223,0.85276103527191,0.693530920110196
"O3E3","Mod Var","CA","L1",-0.981595927422619,-1.26613225189058,-0.922513835344566,-0.58279912339108,14.4420001362391,1.61403747959754,0.693462899729608
"O4F3","Mod Var","BN","L1",-1.25449634763899,-2.23713574113245,-1.27636716115626,-0.614952332974888,12.6589176704906,0.871710422983682,0.693624505809787
"I2I3","Mod Var","SP","L3",-1.99701992938819,-2.66418870477782,-3.41375164945394,-0.727048732235627,13.1739640243365,-0.0741875151538788,0.69333843034964
"I3G3","Mod Var","CI","L2",-1.29238059016817,-1.38302835467059,-2.25535776697058,-0.705219761794215,14.6262336430496,1.97923181249822,0.693580332398224
"I3H3","Mod Var","CI","L1",-1.16052922937249,-1.72179508753359,-2.75154851478792,-0.648173814917214,13.7253469098351,1.06469393920335,0.6932377205981
"I3I3","Mod Var","CI","L1",-0.791703465012379,-1.39348008232293,-1.34999080758931,-0.573292218751666,14.8521734638719,1.68054113533518,0.693365851513031
"I4H3","Mod Var","PD","L2",-1.09917269251664,-1.58972838028237,-2.07660095525977,-0.509160344446929,13.8683900717756,1.05344291649098,0.693408099469639
"O4H3","Mod Var","BN","L1",-1.49462040283361,-1.95449768176003,-1.2084023665068,-0.817954831153293,13.9592305944845,1.27185426745726,0.693531775919091
"I2A4","High Var","SP","L2",-1.62816257202571,-3.0572435845624,-2.52218645381977,-0.920466103284636,12.3961583082094,0.136002223876584,0.69325765962345
"I2B4","High Var","SP","L2",-1.64737293845905,-2.66109509108656,-2.19597390399991,-0.541857733013719,12.3848893267719,0.46803804456767,0.693375215315574
"I2C4","High Var","SP","L2",-1.10891749418137,-2.650184429553,-3.17409358748025,-0.689155159290408,11.6908564554572,-0.667871367100557,0.693112734364062
"I3C4","High Var","CI","L2",-1.20860015071079,-2.36014021455707,-2.05841783588559,-0.480727592608711,13.9314917804659,1.47177389194443,0.693352634153854
