frag,hcarbplate_ha,hcarb1_ha,hcarb2_ha,hcarb3_ha,scarbplate_ha,scarb1_ha,scarb2_ha,scarb3_ha
I2A1,O1,0.308,0.368,0.263,O18,0.257,0.092,0.074
I2A12,O3,0.49,0.513,0.551,O20,0.076,0.107,0.074
I2A2,O3,0.49,0.277,0.28,O20,0.091,0.07,0.071
I2A3,O6,0.343,0.37,0.428,O23,0.115,0.112,0.17
I2A4,O9,0.444,0.429,0.405,O26,0.1,0.101,0.117
I2A6,O14,0.398,0.377,0.333,O31,0.099,0.068,0.066
I2A7,O9,0.268,0.285,0.264,O36,0.065,0.06,0.067
I2B2,O3,0.276,0.24,0.366,O20,0.094,0.106,0.081
I2B3,O6,0.157,0.256,0.177,O23,0.264,0.076,0.063
I2B4,O9,0.414,0.393,0.334,O26,0.113,0.165,0.168
I2B6,O14,0.276,0.54,0.522,O31,0.014,0.016,0.034
I2B8,O1,0.4,0.341,0.357,O18,0.072,0.132,0.114
I2C1,O1,0.36,0.359,0.543,O18,0.152,0.143,0.128
I2C2,O3,0.384,0.412,0.405,O20,0.045,0.047,0.052
I2C3,O6,0.271,0.371,0.328,O23,0.087,0.173,0.082
I2C4,O9,0.811,0.224,0.338,O26,0.084,0.12,0.1
I2C5,O12,0.26,0.269,0.216,O29,0.081,0.073,0.063
I2C6,O14,0.221,0.24,0.249,O31,0.048,0.39,0.047
I2D1,O35,0.239,0.261,0.293,O18,0.114,0.135,0.132
I2D3,O7,0.149,0.076,0.075,O24,0.09,0.097,0.077
I2D4,O10,0.255,0.396,0.312,O27,0.109,0.144,0.121
I2D5,O13,0.236,0.281,0.344,O30,0.577,0.34,0.23
I2D6,O14,0.237,0.278,0.223,O31,0.114,0.118,NA
I2E2,O4,0.196,0.171,0.866,O21,0.139,0.165,0.131
I2E3,O7,0.376,0.38,0.365,O35,0.081,0.095,0.092
I2E4,O10,0.244,0.556,0.248,O27,0.061,0.056,0.066
I2E5,O13,0.189,0.335,0.334,O30,0.2,0.26,0.19
I2E6,O14,0.177,0.205,0.236,O31,0.008,0.034,0.002
I2E7,O2,0.553,0.516,0.55,O19,0.105,0.107,0.025
I2F1,O2,0.356,0.296,0.268,O19,0.007,-0.011,-0.021
I2F10,O7,0.065,0.056,0.074,O24,0.025,0.023,0.021
I2F2,O4,0.097,0.066,0.205,O21,0.026,0.17,0.025
I2F4,O10,0.3,0.361,0.34,O27,0.063,0.078,0.082
I2F5,O13,0.183,0.215,0.185,O30,0.305,0.303,0.316
I2F6,O14,0.34,0.393,0.319,O31,0.069,0.077,0.087
I2G11,O8,0.35,0.378,0.369,O25,0.061,0.059,0.056
I2G12,O11,0.258,0.287,0.157,O28,0.144,0.097,0.198
I2G2,O5,0.307,0.198,0.103,O22,0.085,0.118,0.097
I2G5,O2,0.291,0.222,0.33,O35,0.017,0.013,0.06
I2G6,O14,0.26,0.215,0.232,O31,0.049,0.035,0.051
I2H12,O2,0.466,0.178,0.345,O19,-0.018,0.003,0.017
I2H13,O8,0.135,0.1,0.12,O25,0.051,0.065,0.049
I2H2,O5,0.2,0.175,0.155,O22,0.118,0.081,0.116
I2H4,O11,0.25,0.175,0.162,O28,0.137,0.146,0.226
I2H6,O15,0.105,0.106,0.123,O32,0.129,0.127,0.142
I2I10,O5,0.143,0.136,0.283,O22,0.037,0.03,0.043
I2I3,O8,0.253,0.24,0.328,O25,0.07,0.082,0.074
I2I4,O11,0.152,0.096,0.107,O28,0.057,0.061,0.073
I2I5,O14,0.282,0.365,0.653,O31,0.143,0.103,0.134
I2I6,O15,0.008,0.005,0.24,O32,0.021,0.043,0.032
I2I7,O2,0.286,0.204,0.296,O35,0.036,0.017,0.032
I3A1,O1,1.282,1.199,1.326,O18,0.154,0.172,0.143
I3A4,O9,0.337,0.286,0.402,O26,0.285,0.348,0.329
I3A7,O6,0.278,0.395,0.422,O23,0.139,0.183,0.21
I3A8,O15,0.254,0.21,0.192,O32,0.162,0.214,0.217
I3B1,O1,0.668,0.618,0.53,O18,0.095,0.09,0.088
I3B10,O15,0.187,0.149,0.176,O32,0.255,0.267,0.271
I3B3,O6,0.359,0.274,0.413,O23,0.218,0.217,0.246
I3B5,O12,0.378,0.383,0.346,O29,0.224,0.206,0.205
I3B6,O15,0.256,0.198,0.217,O32,0.152,0.174,0.155
I3B8,O35,0.445,0.51,0.449,O21,0.232,0.127,0.192
I3C3,O6,0.322,0.364,0.296,O23,0.203,0.203,0.212
I3C4,O10,0.583,0.616,0.444,O27,0.201,0.209,0.196
I3C5,O1,0.324,0.313,0.381,O18,0.1,0.122,0.102
I3C6,O15,0.08,0.069,0.046,O32,0.05,0.048,0.042
I3D2,O4,0.394,0.275,0.238,O21,0.183,0.127,0.113
I3D3,O7,0.53,0.399,0.508,O24,0.173,0.15,0.147
I3D8,O10,0.603,0.635,0.47,O27,0.172,0.264,0.176
I3E10,O35,0.339,0.33,0.284,O21,0.133,0.11,0.095
I3E2,O4,0.191,0.121,0.1,O21,0.068,0.067,0.068
I3E3,O7,0.265,0.213,0.243,O24,0.416,0.072,0.092
I3E4,O10,0.279,0.37,0.141,O27,0.102,0.115,0.075
I3E5,O13,0.367,0.407,0.412,O30,0.198,0.185,0.186
I3E6,O15,0.34,0.238,0.203,O32,0.088,0.329,0.095
I3E8,O2,0.504,0.834,0.377,O19,0.015,0.007,-0.015
I3F1,O2,0.736,0.747,0.644,O19,0.087,0.125,0.095
I3F2,O4,0.556,0.364,0.239,O21,0.069,0.063,0.049
I3F3,O7,0.19,0.14,0.197,O24,0.204,0.159,0.172
I3F4,O10,0.449,0.432,0.494,O27,0.237,0.25,0.239
I3F5,O13,0.517,0.498,0.5,O30,0.267,0.196,0.192
I3F6,O15,0.565,0.389,-0.027,O32,0.278,0.317,0.333
I3G1,O3,0.268,0.14,0.154,O20,0.085,0.082,0.081
I3G2,O5,0.289,0.209,0.22,O22,0.132,0.199,0.144
I3G3,O8,0.42,0.386,0.356,O25,0.199,0.197,0.184
I3G4,O11,0.186,0.211,0.232,O28,0.322,0.162,0.126
I3G5,O14,0.312,0.28,0.265,O31,0.081,0.077,0.09
I3G6,O15,0.387,0.368,0.284,O32,0.104,0.092,0.066
I3H1,O14,0.29,0.291,0.312,O31,0.05,0.083,0.073
I3H2,O5,0.197,0.129,0.171,O22,0.214,0.241,0.204
I3H3,O8,0.232,0.314,0.342,O25,0.081,0.098,0.094
I3H5,O3,0.44,0.538,0.406,O20,0.051,0.067,0.052
I3H6,O15,0.435,0.42,0.392,O32,0.171,0.199,0.164
I3H8,O36,0.367,0.321,0.279,O28,NA,0.294,0.299
I3I10,O11,0.357,0.407,0.358,O28,0.246,0.265,0.292
I3I2,O5,0.101,0.125,0.102,O22,0.14,0.135,0.129
I3I3,O36,0.618,0.5,0.55,O25,0.203,0.252,0.194
I3I4,O11,0.334,0.498,0.418,O28,0.191,0.209,0.251
I3I6,O15,0.327,0.42,0.359,O32,0.309,0.376,0.327
I4A1,O12,0.313,0.312,0.264,O29,0.171,0.144,0.143
I4A2,O4,0.334,0.416,0.45,O21,0.181,0.175,0.169
I4A3,O6,0.296,0.299,0.184,O23,0.196,0.225,0.229
I4A4,O10,0.39,0.416,0.194,O27,0.267,0.139,0.176
I4A5,O1,0.555,0.567,0.582,O18,0.109,0.101,0.11
I4A6,O15,0.201,0.285,0.238,O32,0.112,0.134,0.16
I4B1,O1,0.351,0.4,0.244,O18,0.065,0.132,0.022
I4B3,O6,0.282,0.266,0.178,O23,0.197,0.293,0.133
I4B4,O10,0.436,0.603,0.259,O27,0.066,0.062,0.084
I4B5,O12,0.276,0.418,0.364,O29,0.166,0.151,0.15
I4B6,O15,0.156,0.212,0.15,O32,0.147,0.173,0.167
I4C12,O15,0.216,0.311,0.28,O32,0.149,0.168,0.165
I4C2,O4,0.265,0.277,0.625,O21,0.074,0.051,0.053
I4C3,O6,0.307,0.241,0.258,O23,0.155,0.155,0.157
I4C4,O10,0.373,0.359,0.273,O27,0.198,0.163,0.197
I4D3,O13,0.289,0.242,0.294,O30,0.133,0.128,0.175
I4D4,O11,NA,0.57,0.579,O28,0.131,0.238,0.126
I4D5,O2,0.49,0.411,0.46,O35,0.057,0.05,0.067
I4D9,O7,0.353,0.372,0.328,O24,0.308,0.269,0.314
