frag,survivedtoend,treat,pasastan1,pasastan2,pasastan3,pasarec1,pasarec2,pasarec3,blastvol,blaster,hprotplate,hprot1,hprot2,hprot3,chl630_1,chl630_2,chl630_3,chl663_1,chl663_2,chl663_3,symcount1,symcount2,symcount3,symmit1,symmit2,symmit3,tisthick1,tisthick2,tisthick3,tisthick4,tisthick5,tisthick6,origsitecode,sitename,newsitecode,fragid,nubbin,reef,SAcm2,symcm2,symmit,tissue,chl630adj,chl663adj,chlA,chlC2
I2A6,NA,init,262398,263160,267057,1106881,1103725,1103547,13,Olivia,O3,0.106,0.107,0.086,0.031,0.044,0.04,0.091,0.112,0.109,84,85,92,0,0,0,6.6,5.4,4.5,5.4,6,5.2,I2,I-STRI Point,ISP,A6,ISPA6,Inner Reef,16.72515913,676226.7501,0,5.516666667,-0.005066667,0.0625,0.996394705,-0.938912442
I2C6,NA,init,263730,264739,264456,1147890,1149678,1147875,17,Olivia,D6,0.133,0.028,0.02,0.076,0.079,0.082,0.142,0.152,0.155,44,46,39,0,0,0,4.9,4,3.9,4.1,3.3,5.3,I2,I-STRI Point,ISP,C6,ISPC6,Inner Reef,17.38092758,420575.9426,0,4.25,0.0356,0.108166667,1.645581143,1.076901098
I2D6,NA,init,266040,260462,267414,1007548,1006723,1009105,15,Darren,D8,0.123,0.129,0.112,0.086,0.103,0.104,0.314,0.358,0.357,51,97,103,0,2,0,3.5,4.5,3.8,3.6,3.4,2.7,I2,I-STRI Point,ISP,D6,ISPD6,Inner Reef,15.23272487,823884.1117,0.007968127,3.583333333,0.054266667,0.3015,5.249635943,0.371722069
I2E6,NA,init,264418,265693,264418,1176063,1178078,1183623,20,Olivia,D4,0.062,0.063,0.061,0.057,0.059,0.059,0.095,0.097,0.096,32,30,15,0,0,0,5.7,5.3,5.8,5.6,4.5,4.9,I2,I-STRI Point,ISP,E6,ISPE6,Inner Reef,17.81062239,288217.5154,0,5.3,0.014933333,0.0545,0.810036824,0.355054409
I2F6,NA,init,264686,265978,264958,922576,922481,921560,11,Joyce,D3,0.082,0.099,0.111,0.086,0.093,0.094,0.178,0.195,0.195,45,105,127,0,0,0,3.6,4.2,3.8,3.8,3.3,4.9,I2,I-STRI Point,ISP,F6,ISPF6,Inner Reef,13.90920311,730211.9743,0,3.933333333,0.0476,0.147833333,2.810814754,1.760714816
I2G6,NA,init,263027,261566,263046,993812,996350,990133,17,Joyce,D2,0.063,0.067,0.093,0.076,0.088,0.092,0.136,0.155,0.159,39,45,47,0,0,0,5.1,4.2,3.3,4.1,4.4,4,I2,I-STRI Point,ISP,G6,ISPG6,Inner Reef,15.13533484,490463.7665,0,4.183333333,0.041933333,0.1085,1.893335053,1.665832984
I2H6,NA,init,267353,267826,267351,1139940,1138514,1137955,13,Olivia,O3,0.056,0.071,0.056,0.057,0.067,0.07,0.167,0.198,0.209,80,98,84,0,0,0,2.9,2.8,3.1,3.6,3.2,3,I2,I-STRI Point,ISP,H6,ISPH6,Inner Reef,17.02819334,666737.3988,0,3.1,0.021266667,0.149833333,2.335585023,-0.181103182
I2I6,NA,init,268588,265552,265528,1037300,1033272,1030510,16,Olivia,D7,0.013,0.014,0.009,0.048,0.051,0.051,0.069,0.075,0.073,11,13,15,0,0,0,4.1,3.3,3.9,3.1,3.7,3.7,I2,I-STRI Point,ISP,I6,ISPI6,Inner Reef,15.51184742,134091.056,0,3.633333333,0.0066,0.030833333,0.526835593,0.107372124
I3A8,NA,init,263921,264939,264677,988237,991324,992299,20,Darren,O3,0.132,0.14,0.125,0.142,0.163,0.171,0.447,0.512,0.523,43,38,34,0,0,0,4.3,4.6,3.6,3.3,4.2,4.4,I3,I-Cristobal,ICB,A8,ICBA8,Inner Reef,14.98032228,511782.492,0,4.066666667,0.115266667,0.4525,7.999364618,2.902697231
I3B10,NA,init,266755,265725,264688,757056,755326,757694,15,Lauren,D6,0.123,0.125,0.096,0.151,0.178,0.177,0.406,0.474,0.471,173,162,151,0,0,0,4.7,5.5,5.1,3.9,4.3,3.9,I3,I-Cristobal,ICB,B10,ICBB10,Inner Reef,11.39070309,2133318.708,0,4.566666667,0.125266667,0.408833333,9.495023484,5.367284137
