SAMPLE_ID,PROJECT,,
1,Panama lineages 2022,,
2,Panama lineages 2022,,
3,Panama lineages 2022,,
4,Panama lineages 2022,,
7,Panama lineages 2022,,
8,Panama lineages 2022,,
9,Panama lineages 2022,,
10,Panama lineages 2022,,
11,Panama lineages 2022,on plate twice... both in row 10 (one is labeled 22-11 and the other is just 11),
12,Panama lineages 2022,,
13,Panama lineages 2022,,
14,Panama lineages 2022,,
15,Panama lineages 2022,,
16,Panama lineages 2022,,
17,Panama lineages 2022,,
18,Panama lineages 2022,,
19,Panama lineages 2022,,
20,Panama lineages 2022,,
21,Panama lineages 2022,,
22,Panama lineages 2022,,
23,Panama lineages 2022,,
25,Panama lineages 2022,,
26,Panama lineages 2022,,
27,Panama lineages 2022,,
28,Panama lineages 2022,,
29,Panama lineages 2022,,
30,Panama lineages 2022,,
31,Panama lineages 2022,,
32,Panama lineages 2022,,
33,Panama lineages 2022,,
34,Panama lineages 2022,,
35,Panama lineages 2022,,
36,Panama lineages 2022,,
37,Panama lineages 2022,,
38,Panama lineages 2022,,
39,Panama lineages 2022,,
40,Panama lineages 2022,,
41,Panama lineages 2022,,
42,Panama lineages 2022,,
43,Panama lineages 2022,,
44,Panama lineages 2022,,
45,Panama lineages 2022,,
46,Panama lineages 2022,,
47,Panama lineages 2022,,
48,Panama lineages 2022,,
50,Panama lineages 2022,,
51,Panama lineages 2022,,
52,Panama lineages 2022,,
53,Panama lineages 2022,,
54,Panama lineages 2022,,
55,Panama lineages 2022,,
56,Panama lineages 2022,,
61,Panama lineages 2022,,
62,Panama lineages 2022,,
64,Panama lineages 2022,,
65,Panama lineages 2022,,
66,Panama lineages 2022,,
67,Panama lineages 2022,,
68,Panama lineages 2022,,
69,Panama lineages 2022,,
70,Panama lineages 2022,,
71,Panama lineages 2022,,
74,Panama lineages 2022,,
75,Panama lineages 2022,,
77,Panama lineages 2022,,
78,Panama lineages 2022,,
79,Panama lineages 2022,,
88,Panama lineages 2022,,
89,Panama lineages 2022,,
90,Panama lineages 2022,,
91,Panama lineages 2022,,
92,Panama lineages 2022,,
93,Panama lineages 2022,,
94,Panama lineages 2022,,
95,Panama lineages 2022,,
97,Panama lineages 2022,,
98,Panama lineages 2022,,
101,Panama lineages 2022,,
102,Panama lineages 2022,,
103,Panama lineages 2022,,
104,Panama lineages 2022,,
105,Panama lineages 2022,,
106,Panama lineages 2022,,
107,Panama lineages 2022,,
108,Panama lineages 2022,,
109,Panama lineages 2022,,
110,Panama lineages 2022,,
111,Panama lineages 2022,,
112,Panama lineages 2022,,
113,Panama lineages 2022,,
114,Panama lineages 2022,,
115,Panama lineages 2022,,
116,Panama lineages 2022,,
117,Panama lineages 2022,,
118,Panama lineages 2022,,
119,Panama lineages 2022,,
120,Panama lineages 2022,,
121,Panama lineages 2022,,
122,Panama lineages 2022,,
123,Panama lineages 2022,,
124,Panama lineages 2022,,
