"frag","treat","sitename","lineage","area_cor_cm2","den_cor_cm2","diam_cal_cm","dist_cor_cm","s_length_cm","s_thick_cm","t_thick_cm","lef"
"I2A6","Initial","SP","L2",0.12,23,0.34,0.42,0.14,0.01,0.02,2.174516997
"I2C6","Initial","SP","L2",0.15,16,0.32,0.36,0.14,0.01,0.03,1.561097623
"I2E6","Initial","SP","L2",0.12,23,0.34,0.38,0.09,0.01,0.02,1.739838415
"I2F6","Initial","SP","L2",0.18,17,0.4,0.41,0.16,0.02,0.02,2.368348412
"I2G6","Initial","SP","L2",0.15,16,0.34,0.4,0.12,0.01,0.08,2.668665553
"I3A8","Initial","CI","L1",0.09,16,0.3,0.31,0.13,0.02,0.05,1.392271734
"I3C6","Initial","CI","L2",0.15,16,0.32,0.38,0.15,0.01,0.03,2.300068681
"I3E6","Initial","CI","L2",0.13,24,0.32,0.39,0.15,0.02,0.03,2.149342309
"I3F6","Initial","CI","L1",0.06,19,0.25,0.3,0.09,0.01,0.02,1.353573571
"I3G6","Initial","CI","L2",0.13,17,0.35,0.38,0.17,0.02,0.02,1.399155625
"I3H6","Initial","CI","L1",0.06,21,0.24,0.27,0.1,0.01,0.02,1.094139617
"I3I6","Initial","CI","L1",0.1,15,0.29,0.35,0.1,0.01,0.02,1.246
"I4A6","Initial","PD","L1",0.09,15,0.28,0.32,0.11,0.01,0.03,1.242046077
"I4B6","Initial","PD","L2",0.13,18,0.35,0.4,0.15,0.01,0.02,2.016015118
"I4C12","Initial","PD","L2",0.16,17,0.33,0.35,0.15,0.01,0.02,2.535
"I4E8","Initial","PD","L2",0.15,9,0.34,0.35,0.14,0.01,0.03,2.554
"I4F6","Initial","PD","L2",0.15,12,0.33,0.36,0.17,0.02,0.02,2.475
"I4H12","Initial","PD","L2",0.15,17,0.34,0.34,0.13,0.01,0.02,2.261419182
"I4I6","Initial","PD","L2",0.09,15,0.34,0.34,0.13,0.01,0.02,1.327059199
"O2A6","Initial","BS","L1",0.09,17,0.28,0.31,0.12,0.02,0.05,1.074353637
"O2B13","Initial","BS","L1",0.11,16,0.28,0.31,0.13,0.01,0.06,1.0753984
"O2C6","Initial","BS","L1",0.1,11,0.28,0.32,0.1,0.01,0.01,1.143887104
"O2D6","Initial","BS","L1",0.09,13,0.27,0.29,0.11,0.01,0.02,1.265
"O2E6","Initial","BS","L1",0.1,15,0.29,0.31,0.12,0.01,0.02,1.516641022
"O2F6","Initial","BS","L1",0.1,15,0.29,0.31,0.11,0.01,0.02,1.442336654
"O2G6","Initial","BS","L2",0.14,15,0.35,0.37,0.15,0.01,0.02,2.592332355
"O2I6","Initial","BS","L1",0.07,19,0.25,0.28,0.1,0.01,0.02,1.38036135
"O3B6","Initial","CA","L1",0.08,16,0.27,0.28,0.11,0.01,0.03,1.238985299
"O3C6","Initial","CA","L1",0.08,21,0.28,0.28,0.13,0.01,0.02,1.701906286
"O3D8","Initial","CA","L1",0.08,13,0.23,0.26,0.11,0.01,0.02,1.747911694
"O3E6","Initial","CA","L1",0.09,15,0.25,0.3,0.1,0.01,0.02,1.165318392
"O3F6","Initial","CA","L1",0.09,14,0.26,0.3,0.1,0.01,0.02,1.569694387
"O3G6","Initial","CA","L1",0.07,17,0.24,0.29,0.09,0.01,0.01,1.112560081
"O3H6","Initial","CA","L1",0.08,9,0.3,0.33,0.12,0.01,0.03,1.378556255
"O3I6","Initial","CA","L1",0.08,15,0.26,0.3,0.12,0.01,0.02,1.170258887
"O4A6","Initial","BN","L1",0.07,20,0.27,0.31,0.09,0.01,0.04,1.815418227
"O4C10","Initial","BN","L1",0.1,16,0.35,0.34,0.12,0.01,0.03,1.833216856
"O4D6","Initial","BN","L1",0.08,20,0.25,0.29,0.12,0.01,0.02,1.274484986
"O4E6","Initial","BN","L1",0.07,21,0.25,0.28,0.1,0.01,0.02,1.138923228
"O4F6","Initial","BN","L1",0.09,17,0.28,0.32,0.12,0.01,0.02,1.539641
"O4G6","Initial","BN","L1",0.1,17,0.32,0.38,0.14,0.03,0.02,1.166183304
"O4H12","Initial","BN","L1",0.11,11,0.35,0.39,0.16,0.01,0.02,1.02
