"frag","treat","sitename","lineage","area_cor_cm2","den_cor_cm2","diam_cal_cm","dist_cor_cm","s_length_cm","s_thick_cm","t_thick_cm","lef"
"I2A6","Initial","SP","L2",-2.12026353620009,3.13549421592915,-1.07880966137193,-0.867500567704723,-1.96611285637283,-4.60517018598809,-3.91202300542815,0.77680656953455
"I2C6","Initial","SP","L2",-1.89711998488588,2.77258872223978,-1.13943428318836,-1.02165124753198,-1.96611285637283,-4.60517018598809,-3.50655789731998,0.445389178335035
"I2E6","Initial","SP","L2",-2.12026353620009,3.13549421592915,-1.07880966137193,-0.967584026261706,-2.40794560865187,-4.60517018598809,-3.91202300542815,0.553792243971693
"I2F6","Initial","SP","L2",-1.71479842809193,2.83321334405622,-0.916290731874155,-0.891598119283784,-1.83258146374831,-3.91202300542815,-3.91202300542815,0.862192839644641
"I2G6","Initial","SP","L2",-1.89711998488588,2.77258872223978,-1.07880966137193,-0.916290731874155,-2.12026353620009,-4.60517018598809,-2.52572864430826,0.981578554590169
"I3A8","Initial","CI","L1",-2.40794560865187,2.77258872223978,-1.20397280432594,-1.17118298150295,-2.04022082852655,-3.91202300542815,-2.99573227355399,0.330936754067896
"I3C6","Initial","CI","L2",-1.89711998488588,2.77258872223978,-1.13943428318836,-0.967584026261706,-1.89711998488588,-4.60517018598809,-3.50655789731998,0.832938983793612
"I3E6","Initial","CI","L2",-2.04022082852655,3.17805383034795,-1.13943428318836,-0.941608539858445,-1.89711998488588,-3.91202300542815,-3.50655789731998,0.765161892551071
"I3F6","Initial","CI","L1",-2.81341071676004,2.94443897916644,-1.38629436111989,-1.20397280432594,-2.40794560865187,-4.60517018598809,-3.91202300542815,0.302748184708758
"I3G6","Initial","CI","L2",-2.04022082852655,2.83321334405622,-1.04982212449868,-0.967584026261706,-1.77195684193188,-3.91202300542815,-3.91202300542815,0.335868929668166
"I3H6","Initial","CI","L1",-2.81341071676004,3.04452243772342,-1.42711635564015,-1.30933331998376,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.0899683165151013
"I3I6","Initial","CI","L1",-2.30258509299405,2.70805020110221,-1.23787435600162,-1.04982212449868,-2.30258509299405,-4.60517018598809,-3.91202300542815,0.219938420365261
"I4A6","Initial","PD","L1",-2.40794560865187,2.70805020110221,-1.27296567581289,-1.13943428318836,-2.20727491318972,-4.60517018598809,-3.50655789731998,0.216760081856951
"I4B6","Initial","PD","L2",-2.04022082852655,2.89037175789616,-1.04982212449868,-0.916290731874155,-1.89711998488588,-4.60517018598809,-3.91202300542815,0.701122849188941
"I4C12","Initial","PD","L2",-1.83258146374831,2.83321334405622,-1.10866262452161,-1.04982212449868,-1.89711998488588,-4.60517018598809,-3.91202300542815,0.930193637043147
"I4E8","Initial","PD","L2",-1.89711998488588,2.19722457733622,-1.07880966137193,-1.04982212449868,-1.96611285637283,-4.60517018598809,-3.50655789731998,0.937660757610348
