"frag","gen_site","treat","sitename","lineage","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","sym_cm2","avgtiss","chlA","corallite.avg.poly.mm2"
"I2A6","I2A","Initial","SP","L2",0.2185186687501,0.0582760618920675,0.0776416245201077,676226.750092708,5.51666666666667,1.64290215682559,11.7316321215866
"I2C6","I2C","Initial","SP","L2",0.168359907921432,0.159313392751748,0.0907224126911741,420575.942629148,4.25,1.51110078648329,14.8350111101629
"I2D6","I2D","Initial","SP","L3",0.177053988865857,0.113333531225193,0.0942285655635739,823884.111668546,3.58333333333333,5.95948530278735,18.6988470427311
"I2E6","I2E","Initial","SP","L2",0.164997917254543,0.0101557746083402,0.0366640539219517,288217.515357158,5.3,0.762181861650466,12.2798112533604
"I2F6","I2F","Initial","SP","L2",0.210204766059894,0.0592935616012459,0.0350431355091751,730211.974287249,3.93333333333333,2.26129417638943,18.0035633374085
"I2G6","I2G","Initial","SP","L2",0.192416202679037,0.0458137617843515,0.106331783191652,490463.766450413,4.18333333333333,1.26961622366802,15.3103148601132
"I2H6","I2H","Initial","SP","L3",0.0949790913130497,0.0656819379736267,0.0398424386365114,666737.398830175,3.1,2.97058720955249,14.1138781431335
"I2I6","I2I","Initial","SP","L3",0.107928957462537,0.020783585561406,0.0366541592582122,134091.055960468,3.63333333333333,0.421449907999853,18.9224795376333
"I3A8","I3A","Initial","CI","L1",0.271041485255497,0.171659418636501,0.203316309444999,511782.491997156,4.06666666666667,8.72117418906005,8.50468484395186
"I3B10","I3B","Initial","CI",NA,0.22105116605541,0.226774329892709,0.214662335884497,2133318.70827232,4.56666666666667,10.444301146687,6.38287833668577
"I3C6","I3C","Initial","CI","L2",0.0686737642145891,0.0225796371466577,0.0173753829181898,445289.068949803,4.53333333333333,2.14663233924282,14.6058937030299
"I3E6","I3E","Initial","CI","L2",0.221813294186985,0.10534081311547,NA,911839.348045791,5.18333333333333,5.35665090783656,12.876094460483
"I3F6","I3F","Initial","CI","L1",0.211224566958292,0.158247757827876,0.366008542619114,3078744.28974389,4.21666666666667,13.906523566597,6.4266634858626
"I3G6","I3G","Initial","CI","L2",0.346638587221335,0.0658932202396468,0.195230297428897,448139.717897368,4.81666666666667,1.94155836909907,12.824892639225
"I3H6","I3H","Initial","CI","L1",0.254264547826305,0.0847123972212678,0.0783804516177357,1042088.6081219,4.66666666666667,4.37719517212619,5.53554301940083
