"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"1"	837	"6/10/15 0:00"	29.439	"6/10/15"	"0:00"	2015-06-10 00:00:00
"2"	838	"6/10/15 0:15"	29.439	"6/10/15"	"0:15"	2015-06-10 00:15:00
"3"	839	"6/10/15 0:30"	29.34	"6/10/15"	"0:30"	2015-06-10 00:30:00
"4"	840	"6/10/15 0:45"	29.34	"6/10/15"	"0:45"	2015-06-10 00:45:00
"5"	841	"6/10/15 1:00"	29.34	"6/10/15"	"1:00"	2015-06-10 01:00:00
"6"	842	"6/10/15 1:15"	29.29	"6/10/15"	"1:15"	2015-06-10 01:15:00
"7"	843	"6/10/15 1:30"	29.215	"6/10/15"	"1:30"	2015-06-10 01:30:00
"8"	844	"6/10/15 1:45"	29.19	"6/10/15"	"1:45"	2015-06-10 01:45:00
"9"	845	"6/10/15 2:00"	29.19	"6/10/15"	"2:00"	2015-06-10 02:00:00
"10"	846	"6/10/15 2:15"	29.19	"6/10/15"	"2:15"	2015-06-10 02:15:00
"11"	847	"6/10/15 2:30"	29.165	"6/10/15"	"2:30"	2015-06-10 02:30:00
"12"	848	"6/10/15 2:45"	29.165	"6/10/15"	"2:45"	2015-06-10 02:45:00
"13"	849	"6/10/15 3:00"	29.14	"6/10/15"	"3:00"	2015-06-10 03:00:00
"14"	850	"6/10/15 3:15"	29.065	"6/10/15"	"3:15"	2015-06-10 03:15:00
"15"	851	"6/10/15 3:30"	29.065	"6/10/15"	"3:30"	2015-06-10 03:30:00
"16"	852	"6/10/15 3:45"	29.065	"6/10/15"	"3:45"	2015-06-10 03:45:00
"17"	853	"6/10/15 4:00"	29.04	"6/10/15"	"4:00"	2015-06-10 04:00:00
"18"	854	"6/10/15 4:15"	29.04	"6/10/15"	"4:15"	2015-06-10 04:15:00
"19"	855	"6/10/15 4:30"	29.04	"6/10/15"	"4:30"	2015-06-10 04:30:00
"20"	856	"6/10/15 4:45"	29.065	"6/10/15"	"4:45"	2015-06-10 04:45:00
"21"	857	"6/10/15 5:00"	29.065	"6/10/15"	"5:00"	2015-06-10 05:00:00
"22"	858	"6/10/15 5:15"	29.09	"6/10/15"	"5:15"	2015-06-10 05:15:00
"23"	859	"6/10/15 5:30"	29.065	"6/10/15"	"5:30"	2015-06-10 05:30:00
"24"	860	"6/10/15 5:45"	29.065	"6/10/15"	"5:45"	2015-06-10 05:45:00
"25"	861	"6/10/15 6:00"	29.065	"6/10/15"	"6:00"	2015-06-10 06:00:00
"26"	862	"6/10/15 6:15"	29.14	"6/10/15"	"6:15"	2015-06-10 06:15:00
"27"	863	"6/10/15 6:30"	29.165	"6/10/15"	"6:30"	2015-06-10 06:30:00
"28"	864	"6/10/15 6:45"	29.09	"6/10/15"	"6:45"	2015-06-10 06:45:00
