"obv"	"datetime"	"temp"	"datetimew"
"1"	645	"6/10/15 0:00"	29.565	2015-06-10 00:00:00
"2"	646	"6/10/15 0:15"	29.565	2015-06-10 00:15:00
"3"	647	"6/10/15 0:30"	29.59	2015-06-10 00:30:00
"4"	648	"6/10/15 0:45"	29.59	2015-06-10 00:45:00
"5"	649	"6/10/15 1:00"	29.59	2015-06-10 01:00:00
"6"	650	"6/10/15 1:15"	29.59	2015-06-10 01:15:00
"7"	651	"6/10/15 1:30"	29.565	2015-06-10 01:30:00
"8"	652	"6/10/15 1:45"	29.565	2015-06-10 01:45:00
"9"	653	"6/10/15 2:00"	29.565	2015-06-10 02:00:00
"10"	654	"6/10/15 2:15"	29.565	2015-06-10 02:15:00
"11"	655	"6/10/15 2:30"	29.615	2015-06-10 02:30:00
"12"	656	"6/10/15 2:45"	29.59	2015-06-10 02:45:00
"13"	657	"6/10/15 3:00"	29.565	2015-06-10 03:00:00
"14"	658	"6/10/15 3:15"	29.565	2015-06-10 03:15:00
"15"	659	"6/10/15 3:30"	29.565	2015-06-10 03:30:00
"16"	660	"6/10/15 3:45"	29.565	2015-06-10 03:45:00
"17"	661	"6/10/15 4:00"	29.565	2015-06-10 04:00:00
"18"	662	"6/10/15 4:15"	29.615	2015-06-10 04:15:00
"19"	663	"6/10/15 4:30"	29.64	2015-06-10 04:30:00
"20"	664	"6/10/15 4:45"	29.64	2015-06-10 04:45:00
"21"	665	"6/10/15 5:00"	29.64	2015-06-10 05:00:00
"22"	666	"6/10/15 5:15"	29.64	2015-06-10 05:15:00
"23"	667	"6/10/15 5:30"	29.665	2015-06-10 05:30:00
"24"	668	"6/10/15 5:45"	29.665	2015-06-10 05:45:00
"25"	669	"6/10/15 6:00"	29.665	2015-06-10 06:00:00
"26"	670	"6/10/15 6:15"	29.64	2015-06-10 06:15:00
"27"	671	"6/10/15 6:30"	29.665	2015-06-10 06:30:00
"28"	672	"6/10/15 6:45"	29.665	2015-06-10 06:45:00
"29"	673	"6/10/15 7:00"	29.69	2015-06-10 07:00:00
"30"	674	"6/10/15 7:15"	29.69	2015-06-10 07:15:00
"31"	675	"6/10/15 7:30"	29.64	2015-06-10 07:30:00
"32"	676	"6/10/15 7:45"	29.64	2015-06-10 07:45:00
"33"	677	"6/10/15 8:00"	29.69	2015-06-10 08:00:00
"34"	678	"6/10/15 8:15"	29.715	2015-06-10 08:15:00
"35"	679	"6/10/15 8:30"	29.715	2015-06-10 08:30:00
"36"	680	"6/10/15 8:45"	29.715	2015-06-10 08:45:00
"37"	681	"6/10/15 9:00"	29.665	2015-06-10 09:00:00
"38"	682	"6/10/15 9:15"	29.64	2015-06-10 09:15:00
"39"	683	"6/10/15 9:30"	29.665	2015-06-10 09:30:00
"40"	684	"6/10/15 9:45"	29.69	2015-06-10 09:45:00
"41"	685	"6/10/15 10:00"	29.64	2015-06-10 10:00:00
"42"	686	"6/10/15 10:15"	29.69	2015-06-10 10:15:00
"43"	687	"6/10/15 10:30"	29.69	2015-06-10 10:30:00
"44"	688	"6/10/15 10:45"	29.665	2015-06-10 10:45:00
"45"	689	"6/10/15 11:00"	29.69	2015-06-10 11:00:00
"46"	690	"6/10/15 11:15"	29.69	2015-06-10 11:15:00
"47"	691	"6/10/15 11:30"	29.69	2015-06-10 11:30:00
"48"	692	"6/10/15 11:45"	29.715	2015-06-10 11:45:00
"49"	693	"6/10/15 12:00"	29.69	2015-06-10 12:00:00
"50"	694	"6/10/15 12:15"	29.665	2015-06-10 12:15:00
"51"	695	"6/10/15 12:30"	29.64	2015-06-10 12:30:00
"52"	696	"6/10/15 12:45"	29.665	2015-06-10 12:45:00
"53"	697	"6/10/15 13:00"	29.715	2015-06-10 13:00:00
"54"	698	"6/10/15 13:15"	29.715	2015-06-10 13:15:00
"55"	699	"6/10/15 13:30"	29.765	2015-06-10 13:30:00
"56"	700	"6/10/15 13:45"	29.765	2015-06-10 13:45:00
"57"	701	"6/10/15 14:00"	29.84	2015-06-10 14:00:00
"58"	702	"6/10/15 14:15"	29.765	2015-06-10 14:15:00
"59"	703	"6/10/15 14:30"	29.765	2015-06-10 14:30:00
"60"	704	"6/10/15 14:45"	29.765	2015-06-10 14:45:00
"61"	705	"6/10/15 15:00"	29.765	2015-06-10 15:00:00
"62"	706	"6/10/15 15:15"	29.715	2015-06-10 15:15:00
"63"	707	"6/10/15 15:30"	29.715	2015-06-10 15:30:00
"64"	708	"6/10/15 15:45"	29.665	2015-06-10 15:45:00
