"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"1"	647	"6/10/15 0:00"	29.615	"6/10/15"	"0:00"	2015-06-10 00:00:00
"2"	648	"6/10/15 0:15"	29.615	"6/10/15"	"0:15"	2015-06-10 00:15:00
"3"	649	"6/10/15 0:30"	29.84	"6/10/15"	"0:30"	2015-06-10 00:30:00
"4"	650	"6/10/15 0:45"	29.865	"6/10/15"	"0:45"	2015-06-10 00:45:00
"5"	651	"6/10/15 1:00"	29.865	"6/10/15"	"1:00"	2015-06-10 01:00:00
"6"	652	"6/10/15 1:15"	29.815	"6/10/15"	"1:15"	2015-06-10 01:15:00
"7"	653	"6/10/15 1:30"	29.615	"6/10/15"	"1:30"	2015-06-10 01:30:00
"8"	654	"6/10/15 1:45"	29.79	"6/10/15"	"1:45"	2015-06-10 01:45:00
"9"	655	"6/10/15 2:00"	29.615	"6/10/15"	"2:00"	2015-06-10 02:00:00
"10"	656	"6/10/15 2:15"	29.665	"6/10/15"	"2:15"	2015-06-10 02:15:00
"11"	657	"6/10/15 2:30"	29.79	"6/10/15"	"2:30"	2015-06-10 02:30:00
"12"	658	"6/10/15 2:45"	29.865	"6/10/15"	"2:45"	2015-06-10 02:45:00
"13"	659	"6/10/15 3:00"	29.84	"6/10/15"	"3:00"	2015-06-10 03:00:00
"14"	660	"6/10/15 3:15"	29.715	"6/10/15"	"3:15"	2015-06-10 03:15:00
"15"	661	"6/10/15 3:30"	29.715	"6/10/15"	"3:30"	2015-06-10 03:30:00
"16"	662	"6/10/15 3:45"	29.74	"6/10/15"	"3:45"	2015-06-10 03:45:00
"17"	663	"6/10/15 4:00"	29.715	"6/10/15"	"4:00"	2015-06-10 04:00:00
"18"	664	"6/10/15 4:15"	29.715	"6/10/15"	"4:15"	2015-06-10 04:15:00
"19"	665	"6/10/15 4:30"	29.69	"6/10/15"	"4:30"	2015-06-10 04:30:00
"20"	666	"6/10/15 4:45"	29.715	"6/10/15"	"4:45"	2015-06-10 04:45:00
