"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"1"	934	"6/10/15 0:05"	29.464	"6/10/15"	"0:05"	2015-06-10 00:05:00
"2"	935	"6/10/15 0:20"	29.439	"6/10/15"	"0:20"	2015-06-10 00:20:00
"3"	936	"6/10/15 0:35"	29.464	"6/10/15"	"0:35"	2015-06-10 00:35:00
"4"	937	"6/10/15 0:50"	29.439	"6/10/15"	"0:50"	2015-06-10 00:50:00
"5"	938	"6/10/15 1:05"	29.464	"6/10/15"	"1:05"	2015-06-10 01:05:00
"6"	939	"6/10/15 1:20"	29.414	"6/10/15"	"1:20"	2015-06-10 01:20:00
"7"	940	"6/10/15 1:35"	29.365	"6/10/15"	"1:35"	2015-06-10 01:35:00
"8"	941	"6/10/15 1:50"	29.414	"6/10/15"	"1:50"	2015-06-10 01:50:00
"9"	942	"6/10/15 2:05"	29.414	"6/10/15"	"2:05"	2015-06-10 02:05:00
"10"	943	"6/10/15 2:20"	29.389	"6/10/15"	"2:20"	2015-06-10 02:20:00
"11"	944	"6/10/15 2:35"	29.315	"6/10/15"	"2:35"	2015-06-10 02:35:00
"12"	945	"6/10/15 2:50"	29.29	"6/10/15"	"2:50"	2015-06-10 02:50:00
"13"	946	"6/10/15 3:05"	29.315	"6/10/15"	"3:05"	2015-06-10 03:05:00
"14"	947	"6/10/15 3:20"	29.215	"6/10/15"	"3:20"	2015-06-10 03:20:00
"15"	948	"6/10/15 3:35"	29.19	"6/10/15"	"3:35"	2015-06-10 03:35:00
"16"	949	"6/10/15 3:50"	29.215	"6/10/15"	"3:50"	2015-06-10 03:50:00
"17"	950	"6/10/15 4:05"	29.215	"6/10/15"	"4:05"	2015-06-10 04:05:00
"18"	951	"6/10/15 4:20"	29.215	"6/10/15"	"4:20"	2015-06-10 04:20:00
"19"	952	"6/10/15 4:35"	29.165	"6/10/15"	"4:35"	2015-06-10 04:35:00
"20"	953	"6/10/15 4:50"	29.165	"6/10/15"	"4:50"	2015-06-10 04:50:00
"21"	954	"6/10/15 5:05"	29.165	"6/10/15"	"5:05"	2015-06-10 05:05:00
"22"	955	"6/10/15 5:20"	29.165	"6/10/15"	"5:20"	2015-06-10 05:20:00
"23"	956	"6/10/15 5:35"	29.215	"6/10/15"	"5:35"	2015-06-10 05:35:00
"24"	957	"6/10/15 5:50"	29.24	"6/10/15"	"5:50"	2015-06-10 05:50:00
"25"	958	"6/10/15 6:05"	29.19	"6/10/15"	"6:05"	2015-06-10 06:05:00
"26"	959	"6/10/15 6:20"	29.19	"6/10/15"	"6:20"	2015-06-10 06:20:00
"27"	960	"6/10/15 6:35"	29.215	"6/10/15"	"6:35"	2015-06-10 06:35:00
"28"	961	"6/10/15 6:50"	29.19	"6/10/15"	"6:50"	2015-06-10 06:50:00
"29"	962	"6/10/15 7:05"	29.19	"6/10/15"	"7:05"	2015-06-10 07:05:00
"30"	963	"6/10/15 7:20"	29.19	"6/10/15"	"7:20"	2015-06-10 07:20:00
"31"	964	"6/10/15 7:35"	29.215	"6/10/15"	"7:35"	2015-06-10 07:35:00
"32"	965	"6/10/15 7:50"	29.24	"6/10/15"	"7:50"	2015-06-10 07:50:00
"33"	966	"6/10/15 8:05"	29.29	"6/10/15"	"8:05"	2015-06-10 08:05:00
"34"	967	"6/10/15 8:20"	29.34	"6/10/15"	"8:20"	2015-06-10 08:20:00
"35"	968	"6/10/15 8:35"	29.365	"6/10/15"	"8:35"	2015-06-10 08:35:00
"36"	969	"6/10/15 8:50"	29.389	"6/10/15"	"8:50"	2015-06-10 08:50:00
"37"	970	"6/10/15 9:05"	29.414	"6/10/15"	"9:05"	2015-06-10 09:05:00
"38"	971	"6/10/15 9:20"	29.414	"6/10/15"	"9:20"	2015-06-10 09:20:00
"39"	972	"6/10/15 9:35"	29.464	"6/10/15"	"9:35"	2015-06-10 09:35:00
"40"	973	"6/10/15 9:50"	29.565	"6/10/15"	"9:50"	2015-06-10 09:50:00
