"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"1"	453	"6/10/15 0:00"	29.865	"6/10/15"	"0:00"	2015-06-10 00:00:00
"2"	454	"6/10/15 0:15"	29.865	"6/10/15"	"0:15"	2015-06-10 00:15:00
"3"	455	"6/10/15 0:30"	29.84	"6/10/15"	"0:30"	2015-06-10 00:30:00
"4"	456	"6/10/15 0:45"	29.84	"6/10/15"	"0:45"	2015-06-10 00:45:00
"5"	457	"6/10/15 1:00"	29.84	"6/10/15"	"1:00"	2015-06-10 01:00:00
"6"	458	"6/10/15 1:15"	29.84	"6/10/15"	"1:15"	2015-06-10 01:15:00
"7"	459	"6/10/15 1:30"	29.991	"6/10/15"	"1:30"	2015-06-10 01:30:00
"8"	460	"6/10/15 1:45"	30.041	"6/10/15"	"1:45"	2015-06-10 01:45:00
"9"	461	"6/10/15 2:00"	30.041	"6/10/15"	"2:00"	2015-06-10 02:00:00
"10"	462	"6/10/15 2:15"	30.016	"6/10/15"	"2:15"	2015-06-10 02:15:00
"11"	463	"6/10/15 2:30"	30.016	"6/10/15"	"2:30"	2015-06-10 02:30:00
"12"	464	"6/10/15 2:45"	29.916	"6/10/15"	"2:45"	2015-06-10 02:45:00
"13"	465	"6/10/15 3:00"	29.89	"6/10/15"	"3:00"	2015-06-10 03:00:00
"14"	466	"6/10/15 3:15"	29.89	"6/10/15"	"3:15"	2015-06-10 03:15:00
"15"	467	"6/10/15 3:30"	29.865	"6/10/15"	"3:30"	2015-06-10 03:30:00
"16"	468	"6/10/15 3:45"	29.865	"6/10/15"	"3:45"	2015-06-10 03:45:00
"17"	469	"6/10/15 4:00"	29.865	"6/10/15"	"4:00"	2015-06-10 04:00:00
"18"	470	"6/10/15 4:15"	29.865	"6/10/15"	"4:15"	2015-06-10 04:15:00
"19"	471	"6/10/15 4:30"	29.89	"6/10/15"	"4:30"	2015-06-10 04:30:00
"20"	472	"6/10/15 4:45"	29.89	"6/10/15"	"4:45"	2015-06-10 04:45:00
"21"	473	"6/10/15 5:00"	29.89	"6/10/15"	"5:00"	2015-06-10 05:00:00
"22"	474	"6/10/15 5:15"	29.941	"6/10/15"	"5:15"	2015-06-10 05:15:00
"23"	475	"6/10/15 5:30"	29.966	"6/10/15"	"5:30"	2015-06-10 05:30:00
"24"	476	"6/10/15 5:45"	30.016	"6/10/15"	"5:45"	2015-06-10 05:45:00
"25"	477	"6/10/15 6:00"	30.016	"6/10/15"	"6:00"	2015-06-10 06:00:00
"26"	478	"6/10/15 6:15"	30.016	"6/10/15"	"6:15"	2015-06-10 06:15:00
"27"	479	"6/10/15 6:30"	30.016	"6/10/15"	"6:30"	2015-06-10 06:30:00
"28"	480	"6/10/15 6:45"	30.016	"6/10/15"	"6:45"	2015-06-10 06:45:00
"29"	481	"6/10/15 7:00"	30.041	"6/10/15"	"7:00"	2015-06-10 07:00:00
"30"	482	"6/10/15 7:15"	30.066	"6/10/15"	"7:15"	2015-06-10 07:15:00
"31"	483	"6/10/15 7:30"	30.091	"6/10/15"	"7:30"	2015-06-10 07:30:00
"32"	484	"6/10/15 7:45"	30.091	"6/10/15"	"7:45"	2015-06-10 07:45:00
"33"	485	"6/10/15 8:00"	30.091	"6/10/15"	"8:00"	2015-06-10 08:00:00
"34"	486	"6/10/15 8:15"	30.117	"6/10/15"	"8:15"	2015-06-10 08:15:00
"35"	487	"6/10/15 8:30"	30.142	"6/10/15"	"8:30"	2015-06-10 08:30:00
"36"	488	"6/10/15 8:45"	30.117	"6/10/15"	"8:45"	2015-06-10 08:45:00
"37"	489	"6/10/15 9:00"	30.091	"6/10/15"	"9:00"	2015-06-10 09:00:00
"38"	490	"6/10/15 9:15"	30.117	"6/10/15"	"9:15"	2015-06-10 09:15:00
"39"	491	"6/10/15 9:30"	30.091	"6/10/15"	"9:30"	2015-06-10 09:30:00
"40"	492	"6/10/15 9:45"	30.091	"6/10/15"	"9:45"	2015-06-10 09:45:00
"41"	493	"6/10/15 10:00"	30.142	"6/10/15"	"10:00"	2015-06-10 10:00:00
"42"	494	"6/10/15 10:15"	30.167	"6/10/15"	"10:15"	2015-06-10 10:15:00
"43"	495	"6/10/15 10:30"	30.217	"6/10/15"	"10:30"	2015-06-10 10:30:00
"44"	496	"6/10/15 10:45"	30.217	"6/10/15"	"10:45"	2015-06-10 10:45:00
"45"	497	"6/10/15 11:00"	30.243	"6/10/15"	"11:00"	2015-06-10 11:00:00
"46"	498	"6/10/15 11:15"	30.217	"6/10/15"	"11:15"	2015-06-10 11:15:00
"47"	499	"6/10/15 11:30"	30.243	"6/10/15"	"11:30"	2015-06-10 11:30:00
"48"	500	"6/10/15 11:45"	30.268	"6/10/15"	"11:45"	2015-06-10 11:45:00
"49"	501	"6/10/15 12:00"	30.268	"6/10/15"	"12:00"	2015-06-10 12:00:00
"50"	502	"6/10/15 12:15"	30.268	"6/10/15"	"12:15"	2015-06-10 12:15:00
"51"	503	"6/10/15 12:30"	30.293	"6/10/15"	"12:30"	2015-06-10 12:30:00
"52"	504	"6/10/15 12:45"	30.343	"6/10/15"	"12:45"	2015-06-10 12:45:00
"53"	505	"6/10/15 13:00"	30.444	"6/10/15"	"13:00"	2015-06-10 13:00:00
"54"	506	"6/10/15 13:15"	30.469	"6/10/15"	"13:15"	2015-06-10 13:15:00
"55"	507	"6/10/15 13:30"	30.495	"6/10/15"	"13:30"	2015-06-10 13:30:00
"56"	508	"6/10/15 13:45"	30.52	"6/10/15"	"13:45"	2015-06-10 13:45:00
"57"	509	"6/10/15 14:00"	30.596	"6/10/15"	"14:00"	2015-06-10 14:00:00
"58"	510	"6/10/15 14:15"	30.621	"6/10/15"	"14:15"	2015-06-10 14:15:00
"59"	511	"6/10/15 14:30"	30.646	"6/10/15"	"14:30"	2015-06-10 14:30:00
"60"	512	"6/10/15 14:45"	30.646	"6/10/15"	"14:45"	2015-06-10 14:45:00
"61"	513	"6/10/15 15:00"	30.621	"6/10/15"	"15:00"	2015-06-10 15:00:00
"62"	514	"6/10/15 15:15"	30.621	"6/10/15"	"15:15"	2015-06-10 15:15:00
"63"	515	"6/10/15 15:30"	30.596	"6/10/15"	"15:30"	2015-06-10 15:30:00
"64"	516	"6/10/15 15:45"	30.697	"6/10/15"	"15:45"	2015-06-10 15:45:00
"65"	517	"6/10/15 16:00"	30.722	"6/10/15"	"16:00"	2015-06-10 16:00:00
"66"	518	"6/10/15 16:15"	30.722	"6/10/15"	"16:15"	2015-06-10 16:15:00
"67"	519	"6/10/15 16:30"	30.621	"6/10/15"	"16:30"	2015-06-10 16:30:00
"68"	520	"6/10/15 16:45"	30.545	"6/10/15"	"16:45"	2015-06-10 16:45:00
"69"	521	"6/10/15 17:00"	30.469	"6/10/15"	"17:00"	2015-06-10 17:00:00
"70"	522	"6/10/15 17:15"	30.545	"6/10/15"	"17:15"	2015-06-10 17:15:00
"71"	523	"6/10/15 17:30"	30.52	"6/10/15"	"17:30"	2015-06-10 17:30:00
"72"	524	"6/10/15 17:45"	30.495	"6/10/15"	"17:45"	2015-06-10 17:45:00
"73"	525	"6/10/15 18:00"	30.495	"6/10/15"	"18:00"	2015-06-10 18:00:00
"74"	526	"6/10/15 18:15"	30.495	"6/10/15"	"18:15"	2015-06-10 18:15:00
"75"	527	"6/10/15 18:30"	30.469	"6/10/15"	"18:30"	2015-06-10 18:30:00
"76"	528	"6/10/15 18:45"	30.469	"6/10/15"	"18:45"	2015-06-10 18:45:00
"77"	529	"6/10/15 19:00"	30.444	"6/10/15"	"19:00"	2015-06-10 19:00:00
"78"	530	"6/10/15 19:15"	30.444	"6/10/15"	"19:15"	2015-06-10 19:15:00
"79"	531	"6/10/15 19:30"	30.444	"6/10/15"	"19:30"	2015-06-10 19:30:00
"80"	532	"6/10/15 19:45"	30.444	"6/10/15"	"19:45"	2015-06-10 19:45:00
"81"	533	"6/10/15 20:00"	30.469	"6/10/15"	"20:00"	2015-06-10 20:00:00
"82"	534	"6/10/15 20:15"	30.444	"6/10/15"	"20:15"	2015-06-10 20:15:00
"83"	535	"6/10/15 20:30"	30.419	"6/10/15"	"20:30"	2015-06-10 20:30:00
"84"	536	"6/10/15 20:45"	30.394	"6/10/15"	"20:45"	2015-06-10 20:45:00
"85"	537	"6/10/15 21:00"	30.394	"6/10/15"	"21:00"	2015-06-10 21:00:00
"86"	538	"6/10/15 21:15"	30.369	"6/10/15"	"21:15"	2015-06-10 21:15:00
"87"	539	"6/10/15 21:30"	30.394	"6/10/15"	"21:30"	2015-06-10 21:30:00
"88"	540	"6/10/15 21:45"	30.369	"6/10/15"	"21:45"	2015-06-10 21:45:00
"89"	541	"6/10/15 22:00"	30.369	"6/10/15"	"22:00"	2015-06-10 22:00:00
"90"	542	"6/10/15 22:15"	30.369	"6/10/15"	"22:15"	2015-06-10 22:15:00
"91"	543	"6/10/15 22:30"	30.369	"6/10/15"	"22:30"	2015-06-10 22:30:00
"92"	544	"6/10/15 22:45"	30.369	"6/10/15"	"22:45"	2015-06-10 22:45:00
"93"	545	"6/10/15 23:00"	30.369	"6/10/15"	"23:00"	2015-06-10 23:00:00
"94"	546	"6/10/15 23:15"	30.343	"6/10/15"	"23:15"	2015-06-10 23:15:00
"95"	547	"6/10/15 23:30"	30.343	"6/10/15"	"23:30"	2015-06-10 23:30:00
"96"	548	"6/10/15 23:45"	30.343	"6/10/15"	"23:45"	2015-06-10 23:45:00
"97"	549	"6/11/15 0:00"	30.369	"6/11/15"	"0:00"	2015-06-11 00:00:00
"98"	550	"6/11/15 0:15"	30.394	"6/11/15"	"0:15"	2015-06-11 00:15:00
"99"	551	"6/11/15 0:30"	30.394	"6/11/15"	"0:30"	2015-06-11 00:30:00
"100"	552	"6/11/15 0:45"	30.419	"6/11/15"	"0:45"	2015-06-11 00:45:00
"101"	553	"6/11/15 1:00"	30.444	"6/11/15"	"1:00"	2015-06-11 01:00:00
"102"	554	"6/11/15 1:15"	30.444	"6/11/15"	"1:15"	2015-06-11 01:15:00
"103"	555	"6/11/15 1:30"	30.419	"6/11/15"	"1:30"	2015-06-11 01:30:00
"104"	556	"6/11/15 1:45"	30.419	"6/11/15"	"1:45"	2015-06-11 01:45:00
"105"	557	"6/11/15 2:00"	30.419	"6/11/15"	"2:00"	2015-06-11 02:00:00
"106"	558	"6/11/15 2:15"	30.419	"6/11/15"	"2:15"	2015-06-11 02:15:00
"107"	559	"6/11/15 2:30"	30.444	"6/11/15"	"2:30"	2015-06-11 02:30:00
"108"	560	"6/11/15 2:45"	30.419	"6/11/15"	"2:45"	2015-06-11 02:45:00
"109"	561	"6/11/15 3:00"	30.318	"6/11/15"	"3:00"	2015-06-11 03:00:00
"110"	562	"6/11/15 3:15"	30.268	"6/11/15"	"3:15"	2015-06-11 03:15:00
"111"	563	"6/11/15 3:30"	30.217	"6/11/15"	"3:30"	2015-06-11 03:30:00
"112"	564	"6/11/15 3:45"	30.016	"6/11/15"	"3:45"	2015-06-11 03:45:00
"113"	565	"6/11/15 4:00"	29.865	"6/11/15"	"4:00"	2015-06-11 04:00:00
"114"	566	"6/11/15 4:15"	29.865	"6/11/15"	"4:15"	2015-06-11 04:15:00
"115"	567	"6/11/15 4:30"	29.815	"6/11/15"	"4:30"	2015-06-11 04:30:00
"116"	568	"6/11/15 4:45"	29.765	"6/11/15"	"4:45"	2015-06-11 04:45:00
"117"	569	"6/11/15 5:00"	29.74	"6/11/15"	"5:00"	2015-06-11 05:00:00
"118"	570	"6/11/15 5:15"	29.715	"6/11/15"	"5:15"	2015-06-11 05:15:00
"119"	571	"6/11/15 5:30"	29.69	"6/11/15"	"5:30"	2015-06-11 05:30:00
"120"	572	"6/11/15 5:45"	29.69	"6/11/15"	"5:45"	2015-06-11 05:45:00
"121"	573	"6/11/15 6:00"	29.69	"6/11/15"	"6:00"	2015-06-11 06:00:00
"122"	574	"6/11/15 6:15"	29.69	"6/11/15"	"6:15"	2015-06-11 06:15:00
"123"	575	"6/11/15 6:30"	29.715	"6/11/15"	"6:30"	2015-06-11 06:30:00
"124"	576	"6/11/15 6:45"	29.74	"6/11/15"	"6:45"	2015-06-11 06:45:00
"125"	577	"6/11/15 7:00"	29.815	"6/11/15"	"7:00"	2015-06-11 07:00:00
"126"	578	"6/11/15 7:15"	29.815	"6/11/15"	"7:15"	2015-06-11 07:15:00
"127"	579	"6/11/15 7:30"	30.041	"6/11/15"	"7:30"	2015-06-11 07:30:00
"128"	580	"6/11/15 7:45"	30.117	"6/11/15"	"7:45"	2015-06-11 07:45:00
"129"	581	"6/11/15 8:00"	30.142	"6/11/15"	"8:00"	2015-06-11 08:00:00
"130"	582	"6/11/15 8:15"	30.243	"6/11/15"	"8:15"	2015-06-11 08:15:00
"131"	583	"6/11/15 8:30"	30.343	"6/11/15"	"8:30"	2015-06-11 08:30:00
"132"	584	"6/11/15 8:45"	30.394	"6/11/15"	"8:45"	2015-06-11 08:45:00
"133"	585	"6/11/15 9:00"	30.419	"6/11/15"	"9:00"	2015-06-11 09:00:00
"134"	586	"6/11/15 9:15"	30.444	"6/11/15"	"9:15"	2015-06-11 09:15:00
"135"	587	"6/11/15 9:30"	30.495	"6/11/15"	"9:30"	2015-06-11 09:30:00
"136"	588	"6/11/15 9:45"	30.495	"6/11/15"	"9:45"	2015-06-11 09:45:00
"137"	589	"6/11/15 10:00"	30.545	"6/11/15"	"10:00"	2015-06-11 10:00:00
"138"	590	"6/11/15 10:15"	30.52	"6/11/15"	"10:15"	2015-06-11 10:15:00
"139"	591	"6/11/15 10:30"	30.596	"6/11/15"	"10:30"	2015-06-11 10:30:00
"140"	592	"6/11/15 10:45"	30.646	"6/11/15"	"10:45"	2015-06-11 10:45:00
"141"	593	"6/11/15 11:00"	30.646	"6/11/15"	"11:00"	2015-06-11 11:00:00
"142"	594	"6/11/15 11:15"	30.545	"6/11/15"	"11:15"	2015-06-11 11:15:00
"143"	595	"6/11/15 11:30"	30.571	"6/11/15"	"11:30"	2015-06-11 11:30:00
"144"	596	"6/11/15 11:45"	30.545	"6/11/15"	"11:45"	2015-06-11 11:45:00
"145"	597	"6/11/15 12:00"	30.798	"6/11/15"	"12:00"	2015-06-11 12:00:00
"146"	598	"6/11/15 12:15"	30.798	"6/11/15"	"12:15"	2015-06-11 12:15:00
"147"	599	"6/11/15 12:30"	30.849	"6/11/15"	"12:30"	2015-06-11 12:30:00
"148"	600	"6/11/15 12:45"	30.874	"6/11/15"	"12:45"	2015-06-11 12:45:00
"149"	601	"6/11/15 13:00"	30.824	"6/11/15"	"13:00"	2015-06-11 13:00:00
"150"	602	"6/11/15 13:15"	30.824	"6/11/15"	"13:15"	2015-06-11 13:15:00
"151"	603	"6/11/15 13:30"	30.824	"6/11/15"	"13:30"	2015-06-11 13:30:00
