"obv"	"datetime"	"temp"	"date"	"time"	"datetimew"
"1"	1209	"6/10/15 0:00"	29.615	"6/10/15"	"0:00"	2015-06-10 00:00:00
"2"	1210	"6/10/15 0:15"	29.54	"6/10/15"	"0:15"	2015-06-10 00:15:00
"3"	1211	"6/10/15 0:30"	29.54	"6/10/15"	"0:30"	2015-06-10 00:30:00
"4"	1212	"6/10/15 0:45"	29.54	"6/10/15"	"0:45"	2015-06-10 00:45:00
"5"	1213	"6/10/15 1:00"	29.54	"6/10/15"	"1:00"	2015-06-10 01:00:00
"6"	1214	"6/10/15 1:15"	29.54	"6/10/15"	"1:15"	2015-06-10 01:15:00
"7"	1215	"6/10/15 1:30"	29.64	"6/10/15"	"1:30"	2015-06-10 01:30:00
"8"	1216	"6/10/15 1:45"	29.59	"6/10/15"	"1:45"	2015-06-10 01:45:00
"9"	1217	"6/10/15 2:00"	29.59	"6/10/15"	"2:00"	2015-06-10 02:00:00
"10"	1218	"6/10/15 2:15"	29.565	"6/10/15"	"2:15"	2015-06-10 02:15:00
"11"	1219	"6/10/15 2:30"	29.54	"6/10/15"	"2:30"	2015-06-10 02:30:00
"12"	1220	"6/10/15 2:45"	29.54	"6/10/15"	"2:45"	2015-06-10 02:45:00
"13"	1221	"6/10/15 3:00"	29.54	"6/10/15"	"3:00"	2015-06-10 03:00:00
"14"	1222	"6/10/15 3:15"	29.54	"6/10/15"	"3:15"	2015-06-10 03:15:00
"15"	1223	"6/10/15 3:30"	29.565	"6/10/15"	"3:30"	2015-06-10 03:30:00
"16"	1224	"6/10/15 3:45"	29.615	"6/10/15"	"3:45"	2015-06-10 03:45:00
"17"	1225	"6/10/15 4:00"	29.565	"6/10/15"	"4:00"	2015-06-10 04:00:00
"18"	1226	"6/10/15 4:15"	29.615	"6/10/15"	"4:15"	2015-06-10 04:15:00
"19"	1227	"6/10/15 4:30"	29.59	"6/10/15"	"4:30"	2015-06-10 04:30:00
"20"	1228	"6/10/15 4:45"	29.59	"6/10/15"	"4:45"	2015-06-10 04:45:00
"21"	1229	"6/10/15 5:00"	29.54	"6/10/15"	"5:00"	2015-06-10 05:00:00
"22"	1230	"6/10/15 5:15"	29.59	"6/10/15"	"5:15"	2015-06-10 05:15:00
"23"	1231	"6/10/15 5:30"	29.59	"6/10/15"	"5:30"	2015-06-10 05:30:00
"24"	1232	"6/10/15 5:45"	29.615	"6/10/15"	"5:45"	2015-06-10 05:45:00
"25"	1233	"6/10/15 6:00"	29.615	"6/10/15"	"6:00"	2015-06-10 06:00:00
"26"	1234	"6/10/15 6:15"	29.615	"6/10/15"	"6:15"	2015-06-10 06:15:00
"27"	1235	"6/10/15 6:30"	29.615	"6/10/15"	"6:30"	2015-06-10 06:30:00
"28"	1236	"6/10/15 6:45"	29.615	"6/10/15"	"6:45"	2015-06-10 06:45:00
"29"	1237	"6/10/15 7:00"	29.615	"6/10/15"	"7:00"	2015-06-10 07:00:00
"30"	1238	"6/10/15 7:15"	29.615	"6/10/15"	"7:15"	2015-06-10 07:15:00
"31"	1239	"6/10/15 7:30"	29.615	"6/10/15"	"7:30"	2015-06-10 07:30:00
"32"	1240	"6/10/15 7:45"	29.615	"6/10/15"	"7:45"	2015-06-10 07:45:00
"33"	1241	"6/10/15 8:00"	29.64	"6/10/15"	"8:00"	2015-06-10 08:00:00
"34"	1242	"6/10/15 8:15"	29.665	"6/10/15"	"8:15"	2015-06-10 08:15:00
"35"	1243	"6/10/15 8:30"	29.615	"6/10/15"	"8:30"	2015-06-10 08:30:00
"36"	1244	"6/10/15 8:45"	29.64	"6/10/15"	"8:45"	2015-06-10 08:45:00
"37"	1245	"6/10/15 9:00"	29.665	"6/10/15"	"9:00"	2015-06-10 09:00:00
"38"	1246	"6/10/15 9:15"	29.665	"6/10/15"	"9:15"	2015-06-10 09:15:00
"39"	1247	"6/10/15 9:30"	29.69	"6/10/15"	"9:30"	2015-06-10 09:30:00
"40"	1248	"6/10/15 9:45"	29.69	"6/10/15"	"9:45"	2015-06-10 09:45:00
"41"	1249	"6/10/15 10:00"	29.665	"6/10/15"	"10:00"	2015-06-10 10:00:00
"42"	1250	"6/10/15 10:15"	29.665	"6/10/15"	"10:15"	2015-06-10 10:15:00
"43"	1251	"6/10/15 10:30"	29.64	"6/10/15"	"10:30"	2015-06-10 10:30:00
"44"	1252	"6/10/15 10:45"	29.69	"6/10/15"	"10:45"	2015-06-10 10:45:00
"45"	1253	"6/10/15 11:00"	29.665	"6/10/15"	"11:00"	2015-06-10 11:00:00
"46"	1254	"6/10/15 11:15"	29.665	"6/10/15"	"11:15"	2015-06-10 11:15:00
"47"	1255	"6/10/15 11:30"	29.665	"6/10/15"	"11:30"	2015-06-10 11:30:00
"48"	1256	"6/10/15 11:45"	29.615	"6/10/15"	"11:45"	2015-06-10 11:45:00
"49"	1257	"6/10/15 12:00"	29.59	"6/10/15"	"12:00"	2015-06-10 12:00:00
"50"	1258	"6/10/15 12:15"	29.59	"6/10/15"	"12:15"	2015-06-10 12:15:00
"51"	1259	"6/10/15 12:30"	29.615	"6/10/15"	"12:30"	2015-06-10 12:30:00
"52"	1260	"6/10/15 12:45"	29.64	"6/10/15"	"12:45"	2015-06-10 12:45:00
"53"	1261	"6/10/15 13:00"	29.615	"6/10/15"	"13:00"	2015-06-10 13:00:00
"54"	1262	"6/10/15 13:15"	29.615	"6/10/15"	"13:15"	2015-06-10 13:15:00
"55"	1263	"6/10/15 13:30"	29.615	"6/10/15"	"13:30"	2015-06-10 13:30:00
"56"	1264	"6/10/15 13:45"	29.64	"6/10/15"	"13:45"	2015-06-10 13:45:00
"57"	1265	"6/10/15 14:00"	29.615	"6/10/15"	"14:00"	2015-06-10 14:00:00
"58"	1266	"6/10/15 14:15"	29.665	"6/10/15"	"14:15"	2015-06-10 14:15:00
"59"	1267	"6/10/15 14:30"	29.715	"6/10/15"	"14:30"	2015-06-10 14:30:00
"60"	1268	"6/10/15 14:45"	29.69	"6/10/15"	"14:45"	2015-06-10 14:45:00
"61"	1269	"6/10/15 15:00"	29.715	"6/10/15"	"15:00"	2015-06-10 15:00:00
"62"	1270	"6/10/15 15:15"	29.715	"6/10/15"	"15:15"	2015-06-10 15:15:00
"63"	1271	"6/10/15 15:30"	29.69	"6/10/15"	"15:30"	2015-06-10 15:30:00
"64"	1272	"6/10/15 15:45"	29.715	"6/10/15"	"15:45"	2015-06-10 15:45:00
