"logger","date","max","min","mean","range","season"
"Cayo.OR3.arr3",2015-07-01,30.167,29.115,29.6718020833333,1.052,"julaugsep"
"Cayo.OR3.arr3",2015-07-02,30.369,29.215,29.82453125,1.154,"julaugsep"
"Cayo.OR3.arr3",2015-07-03,30.293,29.315,29.7922604166667,0.977999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-04,29.865,29.29,29.4896041666667,0.574999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-05,29.79,28.965,29.3621145833333,0.824999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-06,29.615,29.215,29.3590104166667,0.399999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-07,29.24,28.941,29.0819375,0.298999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-08,29.015,28.766,28.891875,0.249000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-09,29.414,28.593,29.0286666666667,0.821000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-10,29.59,28.941,29.2266354166667,0.649000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-11,29.265,28.866,29.0791770833333,0.399000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-12,29.54,28.891,29.1424479166667,0.649000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-13,29.015,28.295,28.79496875,0.719999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-14,28.891,28.468,28.66271875,0.422999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-15,29.865,28.369,29.10590625,1.496,"julaugsep"
"Cayo.OR3.arr3",2015-07-16,30.041,28.766,29.3926458333333,1.275,"julaugsep"
"Cayo.OR3.arr3",2015-07-17,29.765,29.115,29.3875,0.650000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-18,29.665,28.99,29.3383229166667,0.675000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-19,29.815,29.04,29.3794479166667,0.775000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-20,29.59,28.841,29.2197395833333,0.748999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-21,29.015,28.32,28.7133958333333,0.695,"julaugsep"
"Cayo.OR3.arr3",2015-07-22,28.965,28.295,28.6811458333333,0.669999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-23,29.59,28.394,28.974125,1.196,"julaugsep"
"Cayo.OR3.arr3",2015-07-24,29.665,28.866,29.2271041666667,0.798999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-25,29.315,28.816,29.0117291666667,0.499000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-26,29.464,28.717,29.0167604166666,0.747,"julaugsep"
"Cayo.OR3.arr3",2015-07-27,29.04,28.717,28.8734479166667,0.323,"julaugsep"
"Cayo.OR3.arr3",2015-07-28,29.265,28.468,28.8156041666667,0.797000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-29,29.215,28.27,28.7470520833333,0.945,"julaugsep"
"Cayo.OR3.arr3",2015-07-30,29.54,28.394,29.01646875,1.146,"julaugsep"
"Cayo.OR3.arr3",2015-07-31,29.414,28.816,29.059,0.598000000000003,"julaugsep"
"Cayo.OR3.arr3",2015-08-01,29.265,28.593,28.8435,0.672000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-08-02,28.791,28.345,28.57728125,0.446000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-08-03,29.09,28.147,28.5982708333333,0.943000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-08-04,29.515,28.369,28.9074375,1.146,"julaugsep"
"Cayo.OR3.arr3",2015-08-05,29.215,28.419,28.9295729166667,0.795999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-08-06,29.464,27.974,28.8836770833333,1.49,"julaugsep"
"Cayo.OR3.arr3",2015-08-07,29.24,28.295,28.892625,0.944999999999997,"julaugsep"
"Cayo.OR3.arr3",2015-08-08,29.115,28.518,28.7898541666667,0.596999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-09,29.315,28.345,28.8618333333334,0.970000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-08-10,29.59,28.122,28.83940625,1.468,"julaugsep"
"Cayo.OR3.arr3",2015-08-11,29.79,28.593,29.2409479166667,1.197,"julaugsep"
"Cayo.OR3.arr3",2015-08-12,29.865,28.742,29.2286041666667,1.123,"julaugsep"
"Cayo.OR3.arr3",2015-08-13,28.99,28.32,28.7557395833333,0.669999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-14,29.565,28.394,28.9770208333333,1.171,"julaugsep"
"Cayo.OR3.arr3",2015-08-15,29.665,28.667,29.0932395833333,0.997999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-16,29.815,28.866,29.1528020833333,0.949000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-08-17,29.79,28.742,29.1948541666667,1.048,"julaugsep"
"Cayo.OR3.arr3",2015-08-18,29.29,28.444,28.7792916666667,0.846,"julaugsep"
"Cayo.OR3.arr3",2015-08-19,29.615,28.345,28.9588333333333,1.27,"julaugsep"
"Cayo.OR3.arr3",2015-08-20,29.165,28.295,28.5941354166666,0.869999999999997,"julaugsep"
"Cayo.OR3.arr3",2015-08-21,28.791,28.122,28.4841458333334,0.669,"julaugsep"
"Cayo.OR3.arr3",2015-08-22,29.815,28.27,28.98165625,1.545,"julaugsep"
"Cayo.OR3.arr3",2015-08-23,29.815,28.617,29.0844791666667,1.198,"julaugsep"
"Cayo.OR3.arr3",2015-08-24,29.464,28.841,29.1446770833333,0.622999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-25,29.715,28.617,29.0878854166667,1.098,"julaugsep"
"Cayo.OR3.arr3",2015-08-26,29.79,29.04,29.41028125,0.75,"julaugsep"
"Cayo.OR3.arr3",2015-08-27,29.49,28.816,29.0285833333333,0.673999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-08-28,29.64,28.419,28.98359375,1.221,"julaugsep"
"Cayo.OR3.arr3",2015-08-29,29.916,28.941,29.3924895833333,0.975000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-08-30,29.464,28.742,29.1131041666666,0.721999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-31,29.365,28.941,29.1936666666667,0.423999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-09-01,29.89,28.742,29.3143333333333,1.148,"julaugsep"
"Cayo.OR3.arr3",2015-09-02,29.14,28.543,28.91271875,0.597000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-09-03,29.966,28.419,29.1972708333333,1.547,"julaugsep"
"Cayo.OR3.arr3",2015-09-04,29.49,28.692,29.0389895833333,0.797999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-05,29.215,28.27,28.7464791666667,0.945,"julaugsep"
"Cayo.OR3.arr3",2015-09-06,28.99,28.32,28.5784375,0.669999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-07,28.667,28.147,28.3954583333333,0.520000000000003,"julaugsep"
"Cayo.OR3.arr3",2015-09-08,28.916,28.221,28.6239583333333,0.695,"julaugsep"
"Cayo.OR3.arr3",2015-09-09,29.115,28.221,28.7347604166667,0.893999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-10,28.941,28.295,28.59659375,0.645999999999997,"julaugsep"
"Cayo.OR3.arr3",2015-09-11,28.568,27.899,28.2399270833333,0.669,"julaugsep"
"Cayo.OR3.arr3",2015-09-12,29.09,27.875,28.423125,1.215,"julaugsep"
"Cayo.OR3.arr3",2015-09-13,29.464,28.27,28.7465104166667,1.194,"julaugsep"
"Cayo.OR3.arr3",2015-09-14,28.841,27.998,28.3924166666666,0.843,"julaugsep"
"Cayo.OR3.arr3",2015-09-15,28.468,27.825,28.04521875,0.643000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-09-16,29.715,27.85,28.72890625,1.865,"julaugsep"
"Cayo.OR3.arr3",2015-09-17,29.79,28.841,29.2424166666667,0.948999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-18,30.142,29.24,29.65903125,0.902000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-09-19,29.74,29.265,29.4158854166666,0.474999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-20,30.925,29.115,29.9062604166667,1.81,"julaugsep"
"Cayo.OR3.arr3",2015-09-21,31.026,29.64,30.25415625,1.386,"julaugsep"
"Cayo.OR3.arr3",2015-09-22,30.469,29.14,29.5378541666667,1.329,"julaugsep"
"Cayo.OR3.arr3",2015-09-23,29.414,28.916,29.21053125,0.498000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-09-24,29.34,28.791,29.0768333333333,0.548999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-09-25,29.815,28.742,29.2262395833334,1.073,"julaugsep"
"Cayo.OR3.arr3",2015-09-26,29.365,28.866,29.0997395833333,0.498999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-09-27,29.065,28.642,28.8338333333333,0.423000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-09-28,28.816,28.518,28.6314166666667,0.297999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-09-29,28.518,28.097,28.33559375,0.420999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-09-30,28.667,28.072,28.3459479166667,0.595000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-10-01,28.444,27.924,28.2348125,0.52,"octnovdec"
"Cayo.OR3.arr3",2015-10-02,28.369,27.776,28.1316666666667,0.593,"octnovdec"
"Cayo.OR3.arr3",2015-10-03,29.79,27.751,28.8076354166666,2.039,"octnovdec"
"Cayo.OR3.arr3",2015-10-04,31.128,28.717,29.70471875,2.411,"octnovdec"
"Cayo.OR3.arr3",2015-10-05,30.066,29.34,29.7933229166667,0.725999999999999,"octnovdec"
"Cayo.OR3.arr3",2015-10-06,30.192,29.165,29.684125,1.027,"octnovdec"
"Cayo.OR3.arr3",2015-10-07,29.84,29.04,29.3747291666667,0.800000000000001,"octnovdec"
"Cayo.OR3.arr3",2015-10-08,30.066,28.766,29.3598541666667,1.3,"octnovdec"
"Cayo.OR3.arr3",2015-10-09,30.925,29.29,30.1254895833333,1.635,"octnovdec"
"Cayo.OR3.arr3",2015-10-10,31.535,29.565,30.5287395833333,1.97,"octnovdec"
"Cayo.OR3.arr3",2015-10-11,31.791,29.414,30.6826875,2.377,"octnovdec"
"Cayo.OR3.arr3",2015-10-12,31.204,30.268,30.5899791666667,0.936,"octnovdec"
