"logger","date","max","min","mean","range","season"
"Cayo.OR3.arr3",2015-07-01,30.167,29.14,29.8785909090909,1.027,"julaugsep"
"Cayo.OR3.arr3",2015-07-02,30.369,29.215,30.0468863636364,1.154,"julaugsep"
"Cayo.OR3.arr3",2015-07-03,30.293,29.439,29.9443409090909,0.853999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-04,29.54,29.365,29.4326363636364,0.175000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-05,29.79,28.965,29.3115454545454,0.824999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-06,29.615,29.215,29.3815909090909,0.399999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-07,29.24,28.965,29.0871590909091,0.274999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-08,29.015,28.816,28.9128181818182,0.199000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-09,29.414,28.742,29.1736363636364,0.672000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-10,29.59,28.941,29.3125454545455,0.649000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-11,29.215,28.866,29.0510454545455,0.349,"julaugsep"
"Cayo.OR3.arr3",2015-07-12,29.54,28.916,29.2818636363636,0.623999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-13,29.015,28.742,28.8634772727273,0.273,"julaugsep"
"Cayo.OR3.arr3",2015-07-14,28.891,28.568,28.7348409090909,0.322999999999997,"julaugsep"
"Cayo.OR3.arr3",2015-07-15,29.865,28.394,29.2348181818182,1.471,"julaugsep"
"Cayo.OR3.arr3",2015-07-16,29.715,28.766,29.3985909090909,0.949000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-17,29.765,29.115,29.4654545454545,0.650000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-18,29.665,28.99,29.3779545454545,0.675000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-19,29.815,29.04,29.4245681818182,0.775000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-20,29.59,28.841,29.3331818181818,0.748999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-21,29.015,28.32,28.614,0.695,"julaugsep"
"Cayo.OR3.arr3",2015-07-22,28.965,28.295,28.6587954545454,0.669999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-23,29.59,28.518,29.1067272727273,1.072,"julaugsep"
"Cayo.OR3.arr3",2015-07-24,29.665,28.866,29.2391363636364,0.798999999999999,"julaugsep"
