"logger","date","max","min","mean","range","season"
"Cayo.OR3.arr3",2015-07-01,30.066,29.115,29.4968269230769,0.951000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-02,30.192,29.215,29.6363846153846,0.977,"julaugsep"
"Cayo.OR3.arr3",2015-07-03,30.066,29.315,29.6635769230769,0.750999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-04,29.865,29.29,29.5378076923077,0.574999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-05,29.715,29.09,29.4049038461539,0.625,"julaugsep"
"Cayo.OR3.arr3",2015-07-06,29.565,29.215,29.3399038461538,0.350000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-07,29.215,28.941,29.0775192307692,0.274000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-08,28.965,28.766,28.8741538461538,0.199000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-09,29.215,28.593,28.906,0.622,"julaugsep"
"Cayo.OR3.arr3",2015-07-10,29.464,28.941,29.1539423076923,0.523,"julaugsep"
"Cayo.OR3.arr3",2015-07-11,29.265,28.99,29.1029807692308,0.275000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-12,29.29,28.891,29.0244807692308,0.399000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-13,28.99,28.295,28.737,0.694999999999997,"julaugsep"
"Cayo.OR3.arr3",2015-07-14,28.717,28.468,28.6016923076923,0.248999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-15,29.84,28.369,28.9968269230769,1.471,"julaugsep"
"Cayo.OR3.arr3",2015-07-16,30.041,28.816,29.3876153846154,1.225,"julaugsep"
"Cayo.OR3.arr3",2015-07-17,29.59,29.115,29.3215384615385,0.475000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-18,29.64,28.99,29.3047884615385,0.650000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-07-19,29.665,29.115,29.3412692307692,0.550000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-20,29.365,28.916,29.12375,0.448999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-07-21,28.941,28.692,28.7975,0.248999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-22,28.891,28.543,28.7000576923077,0.347999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-23,29.54,28.394,28.8619230769231,1.146,"julaugsep"
"Cayo.OR3.arr3",2015-07-24,29.565,28.916,29.2169230769231,0.649000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-25,29.165,28.816,28.9377307692308,0.349,"julaugsep"
"Cayo.OR3.arr3",2015-07-26,29.389,28.717,28.9569423076923,0.672000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-27,29.04,28.766,28.8845192307692,0.274000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-07-28,29.015,28.568,28.7325961538462,0.446999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-29,28.99,28.27,28.6752884615385,0.719999999999999,"julaugsep"
"Cayo.OR3.arr3",2015-07-30,29.439,28.394,28.9554615384616,1.045,"julaugsep"
"Cayo.OR3.arr3",2015-07-31,29.315,28.841,29.0556730769231,0.474,"julaugsep"
"Cayo.OR3.arr3",2015-08-01,28.965,28.593,28.7879615384615,0.372,"julaugsep"
"Cayo.OR3.arr3",2015-08-02,28.791,28.468,28.6221538461539,0.323,"julaugsep"
"Cayo.OR3.arr3",2015-08-03,29.065,28.245,28.5716923076923,0.82,"julaugsep"
"Cayo.OR3.arr3",2015-08-04,29.315,28.369,28.82675,0.946000000000002,"julaugsep"
"Cayo.OR3.arr3",2015-08-05,29.065,28.419,28.8339423076923,0.646000000000001,"julaugsep"
"Cayo.OR3.arr3",2015-08-06,29.439,27.974,28.8333269230769,1.465,"julaugsep"
"Cayo.OR3.arr3",2015-08-07,29.24,28.742,28.9971346153846,0.497999999999998,"julaugsep"
"Cayo.OR3.arr3",2015-08-08,29.115,28.568,28.8727692307692,0.546999999999997,"julaugsep"
